"","Consensus_vector_0.15","Region","Value_MO","Value_YM","helper_vector","Middle","Old","Young","movers_tot"
"91","2","Precentral_R_3_91",0.0590245027143724,0.156520333090791,91,"Provincial","Provincial","Provincial",1
"92","4","Precentral_R_5_92",0.0299305067273375,0.0863044708545558,92,"Satellite","Satellite","Provincial",0
"93","4","Precentral_R_5_93",0.030421170772048,0.087719298245614,93,"Satellite","Satellite","Satellite",1
"94","2","Precuneus_L_1_94",0.249695597743136,0.463497453310696,94,"Satellite","Satellite","Satellite",1
"95","1","Precuneus_L_2_95",0.194119217888318,0.362600048508368,95,"Satellite","Satellite","Satellite",1
"96","1","Precuneus_L_3_96",0.479681608713867,0.622119815668203,96,"Provincial","Provincial","Provincial",1
"97","1","Precuneus_L_4_97",0.083713683034566,0.185544506427359,97,"Provincial","Provincial","Provincial",1
"98","1","Precuneus_L_5_98",0.0777848825387027,0.181906378850352,98,"Provincial","Provincial","Provincial",1
"99","4","Precuneus_L_6_99",0.0995915987427025,0.250666990055785,99,"Satellite","Satellite","Satellite",1
"100","2","Precuneus_L_7_100",0.0989178714136268,0.233163554046406,100,"Satellite","Satellite","Satellite",1
"101","3","Putamen_L_1_101",0.0383167106426868,0.123696337618239,101,"Peripheral","Connector","Peripheral",0
"102","3","Putamen_L_1_102",0.039381063716095,0.127132346996524,102,"Satellite","Connector","Peripheral",0
"103","3","Putamen_L_2_103",0.0477837365217106,0.140512571751961,103,"Satellite","Satellite","Satellite",1
"104","3","Putamen_R_1_104",0.0361224011478679,0.120543293718166,104,"Peripheral","Connector","Peripheral",0
"105","3","Putamen_R_1_105",0.0357165314720492,0.120543293718166,105,"Peripheral","Peripheral","Peripheral",1
"106","3","Putamen_R_2_106",0.0492065941981052,0.162381760853747,106,"Peripheral","Peripheral","Peripheral",1
"107","2","Rolandic_Oper_L_1_107",0.0990289343430262,0.222815102271809,107,"Satellite","Satellite","Satellite",1
"108","2","Rolandic_Oper_L_2_108",0.0988944610902734,0.187080604737651,108,"Satellite","Satellite","Satellite",1
"109","2","Rolandic_Oper_L_2_109",0.101116808530504,0.191284663271081,109,"Satellite","Satellite","Connector",0
"110","2","Rolandic_Oper_L_3_110",0.0813397129186604,0.191729323308271,110,"Connector","Connector","Connector",1
"111","3","Rolandic_Oper_R_1_111",0.468315352299506,0.743794971299216,111,"Connector","Connector","Connector",1
"112","2","Rolandic_Oper_R_2_112",0.049618996987418,0.150375939849624,112,"Connector","Satellite","Connector",0
"113","2","Rolandic_Oper_R_3_113",0.0793392191241655,0.199692780337942,113,"Connector","Connector","Connector",1
"114","2","Supp_Motor_Area_L_1_114",0.167101118714022,0.274193548387097,114,"Connector","Connector","Connector",1
"115","2","Supp_Motor_Area_L_2_115",0.170129625138114,0.285471743875819,115,"Connector","Connector","Connector",1
"116","1","Supp_Motor_Area_L_3_116",0.165274705172838,0.314657611771364,116,"Satellite","Satellite","Satellite",1
"117","3","Supp_Motor_Area_L_4_117",0.441318349637535,0.633195892958202,117,"Connector","Connector","Connector",1
"118","2","Supp_Motor_Area_R_1_118",0.0920303365125097,0.203977686150861,118,"Connector","Connector","Connector",1
"119","2","Supp_Motor_Area_R_2_119",0.0459175798734372,0.16044142614601,119,"Provincial","Connector","Provincial",0
"120","2","Supp_Motor_Area_R_2_120",0.0442969594073159,0.16044142614601,120,"Provincial","Peripheral","Provincial",0
"121","2","Supp_Motor_Area_R_2_121",0.0453773730513968,0.16044142614601,121,"Provincial","Provincial","Provincial",1
"122","2","Supp_Motor_Area_R_3_122",0.153346328784925,0.295739348370927,122,"Provincial","Connector","Provincial",0
"123","2","Supp_Motor_Area_R_4_123",0.109413318241841,0.246179966044143,123,"Satellite","Satellite","Satellite",1
"124","3","Supp_Motor_Area_R_5_124",0.284545675038035,0.485690031530439,124,"Connector","Connector","Connector",1
"125","3","SupraMarginal_L_1_125",0.363872644574399,0.498019241652518,125,"Connector","Connector","Connector",1
"126","3","SupraMarginal_L_2_126",0.164329581420696,0.316921335597057,126,"Connector","Connector","Connector",1
"127","2","SupraMarginal_L_3_127",0.0965165438849651,0.229323308270677,127,"Satellite","Connector","Satellite",0
"128","4","SupraMarginal_R_2_128",0.115843943517967,0.216387743552429,128,"Satellite","Satellite","Satellite",1
"129","1","Temporal_Inf_L_2_129",0.251524869521474,0.38907753254103,129,"Peripheral","Peripheral","Peripheral",1
"130","4","Temporal_Inf_L_3_130",0.149096266243974,0.303298569003153,130,"Satellite","Satellite","Satellite",1
"131","1","Temporal_Inf_R_2_131",0.333461954005248,0.487872908076643,131,"Peripheral","Peripheral","Peripheral",1
"132","1","Temporal_Inf_R_5_132",0.13379979763681,0.239388794567063,132,"Peripheral","Peripheral","Peripheral",1
"133","1","Temporal_Mid_L_1_133",0.209815295270869,0.33866925377961,133,"Provincial","Provincial","Provincial",1
"134","1","Temporal_Mid_L_4_134",0.0607146736178995,0.158177702320317,134,"Provincial","Provincial","Provincial",1
"135","1","Temporal_Mid_L_5_135",0.0673046796419744,0.173821650901447,135,"Connector","Connector","Connector",1
"136","1","Temporal_Mid_L_5_136",0.0661341634742879,0.173821650901447,136,"Connector","Provincial","Connector",0
"137","1","Temporal_Mid_L_5_137",0.0688699047499272,0.177864014875899,137,"Provincial","Connector","Connector",0
"138","1","Temporal_Mid_L_5_138",0.0676721672760155,0.177864014875899,138,"Provincial","Provincial","Connector",0
"139","1","Temporal_Mid_L_6_139",0.0349992500530137,0.102918586789555,139,"Peripheral","Provincial","Peripheral",0
"140","1","Temporal_Mid_L_7_140",0.182687085912892,0.311827956989247,140,"Provincial","Provincial","Provincial",1
"141","1","Temporal_Mid_L_8_141",0.0623651014143373,0.166868784865389,141,"Satellite","Satellite","Satellite",1
"142","3","Temporal_Mid_L_9_142",0.233155387654539,0.438273102110114,142,"Satellite","Satellite","Satellite",1
"143","1","Temporal_Mid_R_1_143",0.0769540882727076,0.17446842913736,143,"Peripheral","Peripheral","Provincial",0
"144","1","Temporal_Mid_R_4_144",0.0597167405316812,0.15158864904196,144,"Satellite","Satellite","Satellite",1
"145","1","Temporal_Mid_R_5_145",0.103094164214707,0.193790928935241,145,"Satellite","Satellite","Satellite",1
"146","2","Temporal_Mid_R_6_146",0.159781173363516,0.322823186999757,146,"Satellite","Satellite","Satellite",1
"147","1","Temporal_Pole_Mid_R_1_147",0.0698667489838967,0.192133559705716,147,"Provincial","Provincial","Provincial",1
"148","3","Temporal_Pole_Sup_L_148",0.510389692053529,0.685908319185059,148,"Connector","Connector","Connector",1
"149","3","Temporal_Sup_L_1_149",0.0928845411018587,0.208990217479182,149,"Connector","Connector","Connector",1
"150","3","Temporal_Sup_L_2_150",0.0794030530872638,0.191729323308271,150,"Connector","Connector","Satellite",0
"151","3","Temporal_Sup_L_2_151",0.076289207868155,0.184210526315789,151,"Satellite","Connector","Satellite",0
