"","Consensus_vector_0.15","1st_network","Region","Age_group","MODULAR","freq"
"72","1","DMN","Cingulum_Ant_L_2","Young","Peripheral",0.138248847926267
"73","1","CON","Cingulum_Ant_L_3","Middle","Connector",0.307017543859649
"74","1","CON","Cingulum_Ant_L_3","Middle","Provincial",0.289473684210526
"75","1","CON","Cingulum_Ant_L_3","Middle","Satellite",0.315789473684211
"76","1","CON","Cingulum_Ant_L_3","Middle","Peripheral",0.087719298245614
"77","1","CON","Cingulum_Ant_L_3","Old","Connector",0.252525252525253
"78","1","CON","Cingulum_Ant_L_3","Old","Provincial",0.228956228956229
"79","1","CON","Cingulum_Ant_L_3","Old","Satellite",0.286195286195286
"80","1","CON","Cingulum_Ant_L_3","Old","Peripheral",0.232323232323232
"81","1","CON","Cingulum_Ant_L_3","Young","Connector",0.258064516129032
"82","1","CON","Cingulum_Ant_L_3","Young","Provincial",0.225806451612903
"83","1","CON","Cingulum_Ant_L_3","Young","Satellite",0.410138248847926
"84","1","CON","Cingulum_Ant_L_3","Young","Peripheral",0.105990783410138
"85","3","CON","Cingulum_Ant_L_4","Middle","Connector",0.43859649122807
"86","3","CON","Cingulum_Ant_L_4","Middle","Provincial",0.0701754385964912
"87","3","CON","Cingulum_Ant_L_4","Middle","Satellite",0.333333333333333
"88","3","CON","Cingulum_Ant_L_4","Middle","Peripheral",0.157894736842105
"89","3","CON","Cingulum_Ant_L_4","Old","Connector",0.353535353535354
"90","3","CON","Cingulum_Ant_L_4","Old","Provincial",0.127946127946128
"91","3","CON","Cingulum_Ant_L_4","Old","Satellite",0.276094276094276
"92","3","CON","Cingulum_Ant_L_4","Old","Peripheral",0.242424242424242
"93","3","CON","Cingulum_Ant_L_4","Young","Connector",0.566820276497696
"94","3","CON","Cingulum_Ant_L_4","Young","Provincial",0.124423963133641
"95","3","CON","Cingulum_Ant_L_4","Young","Satellite",0.235023041474654
"96","3","CON","Cingulum_Ant_L_4","Young","Peripheral",0.0737327188940092
"97","3","CON","Cingulum_Ant_L_5","Middle","Connector",0.596491228070175
"98","3","CON","Cingulum_Ant_L_5","Middle","Provincial",0.114035087719298
"99","3","CON","Cingulum_Ant_L_5","Middle","Satellite",0.228070175438596
"100","3","CON","Cingulum_Ant_L_5","Middle","Peripheral",0.0614035087719298
"101","3","CON","Cingulum_Ant_L_5","Old","Connector",0.582491582491583
"102","3","CON","Cingulum_Ant_L_5","Old","Provincial",0.121212121212121
"103","3","CON","Cingulum_Ant_L_5","Old","Satellite",0.205387205387205
"104","3","CON","Cingulum_Ant_L_5","Old","Peripheral",0.0909090909090909
"105","3","CON","Cingulum_Ant_L_5","Young","Connector",0.649769585253456
"106","3","CON","Cingulum_Ant_L_5","Young","Provincial",0.142857142857143
"107","3","CON","Cingulum_Ant_L_5","Young","Satellite",0.15668202764977
"108","3","CON","Cingulum_Ant_L_5","Young","Peripheral",0.0506912442396313
"109","3","CON","Cingulum_Ant_R_2","Middle","Connector",0.587719298245614
"110","3","CON","Cingulum_Ant_R_2","Middle","Provincial",0.0526315789473684
"111","3","CON","Cingulum_Ant_R_2","Middle","Satellite",0.236842105263158
"112","3","CON","Cingulum_Ant_R_2","Middle","Peripheral",0.12280701754386
"113","3","CON","Cingulum_Ant_R_2","Old","Connector",0.400673400673401
"114","3","CON","Cingulum_Ant_R_2","Old","Provincial",0.107744107744108
"115","3","CON","Cingulum_Ant_R_2","Old","Satellite",0.225589225589226
"116","3","CON","Cingulum_Ant_R_2","Old","Peripheral",0.265993265993266
"117","3","CON","Cingulum_Ant_R_2","Young","Connector",0.576036866359447
"118","3","CON","Cingulum_Ant_R_2","Young","Provincial",0.142857142857143
"119","3","CON","Cingulum_Ant_R_2","Young","Satellite",0.175115207373272
"120","3","CON","Cingulum_Ant_R_2","Young","Peripheral",0.105990783410138
"121","2","SMN","Cingulum_Mid_L_1","Middle","Connector",0.447368421052632
"122","2","SMN","Cingulum_Mid_L_1","Middle","Provincial",0.105263157894737
"123","2","SMN","Cingulum_Mid_L_1","Middle","Satellite",0.289473684210526
"124","2","SMN","Cingulum_Mid_L_1","Middle","Peripheral",0.157894736842105
