	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_185	29	2	20	13	12	28	38	44	35	19	42	38	47	52	29	9	30	22	26	9	45	17	35	23	28	29	24	33	30	19	26	33	25	25	26	24	2	6	23	11	6	28	35	19	29	20	9	21	28	45	28	41	24	28	12	25	17	35	14	22	14	8	1	33	1	27	30	45	24	16	31	19	39	36	23	30	27	16	10	19	26	30	17	36	52	30	56	17	48	48	28	20	33	41	32	40	47	35	21	18	3	32	23	9	9	23	20	26	24	10	18	12	26	12	37	24	13	31	43	52	33	31	53	7	37	24	20	46	17	34	19
Subject_186	21	27	20	13	16	22	21	26	29	34	35	49	13	44	25	19	29	24	29	40	25	21	13	29	18	6	21	38	34	23	16	24	17	31	25	24	27	16	17	12	16	26	39	19	38	13	21	14	27	26	27	23	19	19	26	21	23	34	32	33	39	33	23	26	20	33	34	35	20	31	29	31	14	23	17	14	16	21	23	26	32	35	18	37	36	37	39	30	38	18	34	35	52	38	27	39	38	43	43	42	25	11	11	13	10	14	32	19	30	26	20	29	30	13	20	19	29	28	38	15	37	30	35	17	25	26	32	22	28	19	15
Subject_187	35	2	34	26	25	28	26	36	34	22	23	34	43	22	24	24	31	28	23	26	34	22	34	31	27	8	24	35	41	28	27	44	22	21	33	41	34	21	28	10	13	29	38	23	34	33	26	33	36	32	26	22	20	29	15	18	25	33	35	26	33	30	2	31	10	35	30	29	10	19	26	18	40	15	42	26	4	37	5	28	25	20	22	24	18	23	29	18	39	28	27	15	35	26	36	32	37	34	22	22	25	29	6	10	9	14	44	37	32	21	26	22	38	14	23	29	39	21	35	34	34	14	38	28	36	10	13	13	11	25	17
Subject_188	34	10	29	11	12	38	40	17	22	27	44	38	19	19	19	38	31	10	27	23	45	25	18	6	18	12	22	29	44	44	15	20	30	37	30	27	41	10	15	10	20	37	32	28	30	6	13	38	33	44	29	19	19	21	17	16	14	30	36	22	35	16	11	39	5	30	26	41	23	40	42	20	17	31	33	28	34	20	13	21	10	16	11	26	38	36	39	44	32	47	37	16	34	54	43	28	23	33	24	30	25	16	24	21	20	17	43	25	31	11	21	29	34	14	23	29	30	38	32	28	29	26	32	30	28	27	13	17	11	16	10
Subject_189	34	11	34	31	17	32	42	32	34	30	35	34	11	24	16	35	41	28	55	45	38	20	27	39	23	21	21	29	26	10	12	46	20	19	24	25	36	26	15	24	16	42	30	34	17	6	17	26	19	28	17	40	19	24	18	16	20	23	26	19	22	16	0	19	11	32	17	28	13	11	10	18	28	23	40	14	23	10	17	30	20	11	24	31	31	24	34	33	20	35	23	24	21	32	24	21	14	30	33	47	28	42	31	33	7	22	40	46	45	24	41	42	34	26	41	46	34	39	33	35	40	32	34	37	31	9	5	4	8	6	18
Subject_190	35	16	16	29	12	27	41	37	30	45	31	33	28	39	23	17	30	28	29	21	37	19	26	25	22	23	20	37	27	39	16	32	29	32	43	43	35	11	19	8	16	14	33	26	36	22	15	23	29	32	19	22	26	33	20	25	21	39	38	26	30	14	6	35	17	36	29	35	21	32	32	34	21	18	37	25	33	24	14	33	27	16	34	15	28	38	34	29	24	32	44	31	36	33	25	38	26	41	31	30	27	28	9	17	6	14	19	35	33	20	26	24	21	7	23	20	18	17	32	18	19	27	21	15	20	19	16	19	15	40	18
Subject_191	32	6	33	26	25	29	27	16	22	28	39	33	33	33	26	27	25	25	27	23	30	22	30	19	32	31	29	24	34	22	20	30	34	22	39	18	33	13	6	2	0	27	33	22	10	10	9	34	36	23	30	32	24	30	13	34	25	36	26	38	32	28	25	25	17	15	28	30	28	41	38	31	40	36	31	19	30	32	32	21	18	16	15	36	44	32	31	37	23	40	28	17	28	41	38	38	28	38	22	22	34	29	20	28	22	15	15	29	32	29	19	31	19	25	9	16	31	11	36	21	17	46	36	22	27	9	19	20	20	22	9
Subject_192	18	10	31	17	31	31	28	42	36	14	28	49	8	23	17	18	46	31	36	21	19	37	47	46	35	21	20	46	30	24	32	21	30	9	26	25	15	19	19	11	9	24	26	11	36	15	20	5	24	31	21	35	19	20	31	17	18	34	33	23	32	30	19	41	9	33	38	30	43	41	29	19	23	25	25	17	19	27	14	10	18	15	15	28	16	39	41	50	45	44	49	43	50	38	12	30	38	40	39	38	37	14	18	22	9	10	26	24	33	14	29	12	19	25	19	36	21	35	45	17	41	31	21	28	22	11	16	15	13	6	6
Subject_193	41	1	35	32	36	31	26	12	11	16	15	21	35	16	33	31	38	12	34	6	39	18	37	34	15	16	24	19	39	29	14	22	11	31	12	35	45	1	9	4	6	36	25	4	35	28	13	10	23	54	31	31	27	32	16	13	14	23	34	37	35	35	31	58	28	33	19	31	46	15	55	13	11	32	38	24	30	9	20	23	24	19	11	17	36	28	24	36	36	35	16	46	22	13	25	34	28	14	31	26	34	16	6	34	23	9	43	58	57	53	5	55	46	23	37	32	38	7	23	29	39	22	21	35	39	15	19	11	11	20	11
Subject_194	20	19	18	14	15	22	20	40	42	37	25	46	37	43	20	24	35	32	21	37	18	20	16	32	36	24	18	37	7	16	23	35	18	26	26	31	30	3	17	16	17	23	46	16	45	12	10	26	18	14	19	23	35	16	16	24	11	37	26	27	22	6	8	18	19	31	17	16	32	32	14	30	17	15	24	23	13	27	8	29	29	29	33	37	46	31	43	42	23	35	53	22	43	35	24	31	44	45	49	43	17	30	8	31	16	26	26	30	24	8	9	41	47	3	38	37	23	6	52	41	41	41	48	35	32	6	12	10	15	13	25
