	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_001	301.2805	39.8272	219.759	82.5519	274.1808	138.9007	162.8607	169.8425	379.8964	156.2717	156.1551	155.4111	63.4459	176.224	155.3449	111.9373	249.6715	210.7511	206.6704	78.9924	113.6311	111.435	144.2552	77.1759	129.2447	0	158.7053	220.4235	298.8576	238.8016	36.9446	139.2641	60.5189	163.9296	275.0284	36.8044	84.574	21.9734	61.3029	19.8075	51.074	232.1648	385.6946	280.9141	53.1182	368.1287	74.938	85.9779	30.9795	96.1103	35.0052	220.6689	208.4732	164.9161	105.4482	300.8007	153.2661	125.0201	261.0172	26.772	64.3123	132.3941	95.2537	166.8407	35.9496	217.7188	122.0951	67.2257	56.2436	215.7938	84.8201	174.1076	189.486	48.5293	111.9458	216.7249	258.4552	107.9866	80.2557	53.4087	181.7757	50.4049	48.5136	224.7944	436.3157	213.5314	260.0271	379.7022	155.1118	147.4114	354.9566	191.9563	480.261	129.2858	124.4492	435.4312	3.6728	104.1538	67.2827	296.0707	227.3209	58.4727	21.0991	100.2465	39.0566	120.1968	176.9774	262.2081	187.0309	136.8204	40.9872	185.7338	303.0957	25.894	100.6667	480.0445	34.1866	37.6186	156.7984	124.1051	40.9655	260.5262	278.0517	84.9473	177.4865	146.5988	120.3412	61.107	143.1054	117.4642	84.0504
Subject_002	572.0003	146.2636	69.585	103.6712	139.4649	149.7437	247.9499	120.0351	104.4637	9.7519	121.5523	125.8227	143.7512	107.5497	105.5162	91.4844	148.8271	126.3475	96.2932	37.7865	280.7175	206.8268	81.4641	144.5825	171.1694	198.5552	275.0555	166.835	142.937	174.2379	105.5027	309.1478	31.3086	58.6008	186.8481	38.1819	67.9832	24.8447	178.6613	0	4.6917	270.5459	235.1345	186.0853	51.6572	85.4575	125.1096	24.6981	44.1917	67.3378	31.7492	206.598	149.7439	95.3248	117.6231	89.997	93.7776	101.5235	164.0422	67.015	61.7644	10.0173	126.0099	46.4304	76.2585	182.2756	191.5692	352.0802	126.859	153.9203	109.6818	53.0351	96.4601	17.2673	335.2425	250.6698	403.6749	238.7739	49.538	164.5741	316.2914	188.9943	107.664	32.1907	275.1361	137.5611	303.2658	80.0802	176.6479	153.4288	236.9607	61.4723	255.1122	315.4107	195.4852	130.3289	77.2073	175.0576	281.4931	130.5192	108.4824	112.2806	114.1029	84.8645	213.6254	513.9885	122.7022	81.5755	79.4288	168.2051	60.8426	64.4966	571.5204	42.0635	222.1754	261.4917	186.5483	85.4943	531.4845	67.2664	113.84	214.561	225.2864	76.6032	132.4889	223.9056	118.2938	90.2077	94.0861	44.4683	44.5866
Subject_003	107.2529	81.6819	130.1163	75.4905	111.5258	397.1061	157.3288	122.6427	98.5858	126.4062	209.4639	236.8073	48.7376	170.7166	312.9178	129.4632	313.9525	78.4553	336.6186	37.9191	71.0001	63.8201	52.0097	43.1414	92.2465	6.1804	118.3795	147.5529	151.6826	401.2832	35.6492	165.3469	69.0177	114.6907	105.0172	179.862	84.8845	1.2203	428.663	51.0354	32.8179	242.828	381.3912	88.773	207.3371	109.0158	234.8492	110.5134	31.4766	249.0905	104.9411	172.3702	231.006	111.9128	192.4167	46.8057	200.3916	75.8832	235.8709	190.5341	40.8343	362.49	50.4409	19.7543	17.158	346.3228	233.2452	261.2725	95.1576	381.2719	27.0916	106.5479	107.3609	84.5476	249.1118	181.4457	93.6085	43.0279	3.848	35.5839	34.4574	120.2733	4.706	135.1988	610.4797	226.3808	212.9639	786.4488	169.9655	63.5697	464.4801	143.0357	365.9037	68.1526	151.0046	102.8555	37.0186	235.1617	45.6514	128.6172	203.4036	59.1751	54.0417	44.5902	56.8403	234.532	171.1547	271.6528	41.885	53.7774	102.9787	438.4554	186.8098	18.9461	69.4265	179.3414	120.2262	145.175	351.1547	247.4071	415.4696	107.6591	118.8559	322.9534	53.5983	114.3309	28.0854	84.7176	66.8154	37.1867	65.8105
Subject_004	125.2469	36.806	181.0659	38.8323	0	60.0275	601.178	140.2681	542.1472	75.2029	5.6256	407.2691	260.8188	102.3332	83.1705	71.1063	5.7556	43.9289	135.7472	135.1295	77.0502	97.605	29.7196	38.943	110.8568	0.49104	137.1007	314.315	331.5276	34.2346	68.6655	287.786	2.0265	110.808	2.9091	64.3872	91.0445	0	9.9827	38.203	175.1097	43.1713	330.6523	28.5194	296.7388	79.5512	180.6527	0	207.2388	132.4158	23.8424	543.718	70.2272	171.4904	85.0638	85.8179	96.1016	122.5074	67.836	119.4744	208.4303	37.9946	41.5719	44.4379	22.0763	167.5536	65.0101	143.3471	57.0792	259.1704	110.2625	19.7735	115.4033	1.7618	99.1707	13.7215	58.1548	48.7076	0	284.9264	324.6763	273.4082	507.5185	68.523	205.3256	38.15	445.2081	396.8835	39.5688	632.8753	366.6663	265.8137	100.01	87.0535	6.3938	378.9458	240.0991	198.4372	125.8677	0	218.1134	35.7225	38.283	465.3744	0	106.7565	224.1447	8.3565	209.0557	1.1233	74.4654	110.991	236.8736	95.6189	386.1643	250.1217	321.5988	8.1951	295.0636	59.2359	417.8576	207.6568	273.1605	56.3369	330.3972	310.7352	427.0976	156.8341	18.8061	267.1584	174.2786
Subject_005	134.7105	156.8406	93.5281	116.7023	131.7388	226.2585	207.5709	158.5416	399.5942	109.5143	172.0503	122.7382	71.1282	154.8195	367.7422	107.3969	67.1955	121.7579	176.3054	47.4244	140.5364	101.6004	326.2256	177.7439	160.7394	221.0885	124.5979	134.4247	69.1827	59.0891	42.075	117.908	290.6419	59.8384	140.7638	187.4513	23.2023	35.5999	172.3085	17.1506	46.61	361.0714	201.8362	71.4801	257.9458	188.6875	196.9491	282.6293	27.6076	83.7501	250.284	160.197	198.6116	172.3869	70.935	191.7787	73.8224	207.1388	58.9256	11.9732	102.6726	263.8347	130.2452	132.4967	8.7616	301.4363	257.4338	135.4468	133.8914	205.6354	142.1014	199.4241	87.8327	265.9186	112.5211	81.3048	165.1817	149.4295	154.704	37.6822	30.6063	76.5659	20.9067	152.264	223.2828	113.6689	52.8193	141.9962	262.5267	705.4981	197.8275	143.4575	273.3629	54.8582	136.427	187.8039	100.7951	224.2127	180.2703	201.5337	131.3573	173.3984	113.0822	95.4457	87.1683	93.4732	129.9515	209.791	327.1039	62.4683	132.6462	228.6677	100.5575	113.6481	101.1044	69.3243	227.592	120.1614	329.9844	132.1039	102.552	73.6068	147.8214	89.0081	154.3945	199.6219	116.2161	364.759	70.4056	155.5632	37.0367
Subject_006	254.3925	4.4432	38.311	4.0142	95.7436	193.3981	86.4987	67.4711	299.6774	119.2023	205.3254	184.5724	173.2539	360.9331	256.7285	357.1828	190.5226	148.1574	146.5772	136.5509	318.2101	184.053	160.6705	758.1182	63.8649	6.3175	133.2633	294.971	252.7039	223.1838	171.3182	238.085	72.447	51.605	181.0814	215.8161	14.2102	0	66.0446	130.2191	194.3254	100.91	94.4459	168.3267	112.1985	0	87.5621	386.7534	99.9603	73.0683	244.3006	145.8815	199.9128	355.539	164.8757	141.9022	238.5028	177.6829	55.4246	125.2303	53.0834	304.2951	4.5314	248.8607	335.7983	280.2796	262.7549	518.8184	147.5543	250.3744	256.3352	73.135	85.0358	2.3645	349.8703	12.9189	191.5952	0.6606	3.974	24.5109	88.4292	10.105	345.5193	434.0903	59.6337	160.7119	14.305	376.5465	268.1401	106.7199	314.3229	174.1433	337.5631	198.8829	171.9488	249.2525	129.7281	159.4363	143.5257	169.0109	91.1254	140.0883	35.4675	1.3796	15.8861	307.6564	238.7526	41.6645	240.4103	54.2541	230.2298	52.4257	14.2143	8.3304	173.7912	271.1969	131.2638	150.9841	68.2584	105.4011	65.642	147.4765	256.2783	66.3669	78.7078	24.7926	120.6711	16.7982	107.4098	150.9052	29.4627
Subject_007	295.9873	0	238.3886	8.8004	51.1003	489.1243	485.7462	334.0519	90.3976	95.5132	180.797	207.4698	17.2216	198.2059	158.8193	157.8889	451.9945	704.8538	128.5194	323.9872	256.2884	285.9042	132.8655	185.3122	191.7723	240.869	367.7709	129.4429	391.1672	260.4047	1061.8767	678.4265	168.1892	37.6023	72.0486	448.6168	28.4342	0	18.1303	0	827.2457	179.8324	341.677	60.4893	2.0903	0.89683	33.3753	224.8323	154.352	254.8888	128.3385	339.6639	0	291.1022	555.8878	26.3503	17.083	31.8265	150.6819	47.9647	115.9943	41.3691	0	214.3297	6.4994	268.6037	95.9855	99.0213	36.1693	66.6755	475.7904	79.611	35.2485	545.0656	178.3101	196.0959	180.9674	95.436	38.2764	72.8102	2.8336	50.0161	8.3372	2.5929	250.1672	476.0053	425.6335	37.6806	156.6708	351.0859	172.2716	452.9028	170.1415	63.5502	182.1254	56.7119	111.6825	399.4899	326.2609	115.8995	180.1404	83.0559	44.9888	26.5307	6.9683	264.9537	464.6566	150.7839	55.8767	71.9513	82.1195	256.6988	86.6055	221.2104	80.3188	119.5022	34.1211	62.2647	261.9774	294.9121	11.4363	2.7859	89.9303	70.8434	369.7632	71.9374	3.0623	0	3.6359	478.0823	258
Subject_008	267.0663	104.9871	418.8922	36.3767	39.0553	315.1406	131.8286	52.1656	116.1191	266.563	273.2058	169.0732	178.897	245.1384	126.4269	92.2974	27.3264	204.5742	129.5037	246.1581	149.7924	194.7495	397.7298	274.2171	102.9404	67.657	31.9998	383.4847	409.8656	536.0724	87.0809	278.3048	73.2814	79.1257	127.8444	239.5235	57.6462	0	7.7442	4.7919	77.5962	143.4644	278.7908	5.6479	88.3123	43.08	35.6711	53.5483	25.5884	215.1596	205.2948	205.59	115.7586	208.7109	120.9268	153.3703	114.1792	252.4993	67.332	15.1911	24.562	10.9484	81.0079	124.7594	0	38.5618	246.9671	11.3866	3.6455	394.547	144.5971	396.7628	194.7692	67.8596	319.6376	70.5687	253.327	69.3378	246.627	5.4168	41.7733	75.437	75.5488	215.2719	82.8489	69.6238	143.1385	110.0746	46.3173	740.6759	406.0866	79.8734	120.9421	264.883	163.5216	123.3977	39.9079	566.921	424.7742	414.0264	458.6155	210.7988	65.036	140.3649	21.4591	86.368	37.7168	93.9582	491.0934	350.8512	89.015	0	307.4938	133.6099	118.5385	151.3647	4.4464	14.1643	314.323	310.8293	153.8286	99.537	7.5901	153.5813	397.0214	471.4431	64.242	103.8527	221.0998	261.6092	103.4553
Subject_009	381.8282	0	44.2217	78.5273	4.9083	85.9915	110.9927	14.5061	136.9421	18.4783	69.4719	545.6617	258.425	368.6564	76.2175	257.937	288.314	153.4585	242.7584	234.6505	554.2002	76.7008	145.7204	309.9752	140.8541	27.1953	55.0626	388.1008	86.8191	97.2478	176.3199	119.2107	35.6083	127.8373	72.4519	40.0071	64.7797	1.2406	61.4626	0	0	65.2408	475.9261	132.0138	3.6115	0	18.2308	41.2174	49.6421	234.8111	147.221	156.327	17.3853	278.5297	240.927	55.2746	47.4036	88.7495	4.8681	92.1035	82.1414	39.9314	0	114.4102	66.6433	225.9494	382.2663	363.446	3.9237	244.0367	225.8973	622.634	28.8871	538.9012	71.8461	145.9053	118.7426	33.1801	209.8498	0	0	754	254	71.9198	54.4867	171.4283	1511.5176	49.1104	94.1011	275.5099	342.8108	144.5014	405.5811	115.2636	420.8279	293.7321	222.6377	181.6795	160.22	10.3193	121.8909	392.5967	0	53.7603	0	259.4938	17.71	401.8555	1012.2527	199.516	5.4961	3.1405	32.0134	208.012	314.2442	547.0107	108.609	357.2511	292.6428	227.6669	401.3855	20.1655	365.9327	20.4476	595.2126	98.102	133.6827	296.4468	38.1645	21.8337	0
Subject_010	336.509	253.9793	167.5568	75.0481	132.16	99.0567	164.1713	388.5259	209.194	141.7344	32.7381	114.4971	132.4947	158.6229	64.1803	151.6884	241.3264	134.5928	275.318	107.6469	107.0327	242.2751	100.6839	76.0584	250.7197	21.5158	114.1613	152.0094	250.939	304.0269	167.7914	444.2248	93.5136	74.2236	64.672	249.7384	68.8056	0	163.0849	69.9832	8.0541	292.213	49.0368	164.3991	157.4525	425.1507	33.6855	76.5751	250.8665	351.0155	85.1935	51.1786	102.1194	107.4516	33.6808	108.232	140.7253	287.4096	188.272	100.0245	171.4432	181.6827	34.6857	152.337	23.2298	166.1825	210.208	229.8431	123.7165	186.5499	105.898	74.7737	48.8015	373.9172	192.0398	257.0281	161.1251	53.4862	132.0305	49.6517	141.0394	94.0975	60.1151	119.6711	259.9718	155.6045	196.347	91.3523	77.815	166.5538	95.5072	383.9571	116.612	236.5948	82.6423	171.3358	110.6358	69.1422	360.0173	249.4382	77.996	137.8128	74.8984	180.5901	5.7633	55.1939	328.3687	58.3606	265.105	248.2521	228.9758	548.7331	136.7291	52.6534	100.2409	81.5635	117.4142	199.2743	319.9542	203.5022	64.9868	257.6706	115.8985	160.4882	84.7663	66.81	255.9307	0.47705	49.9574	1.2548	11.0607
