	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_001	201.8233	43.7885	165.1464	90.4881	250.4812	81.4575	90.0713	134.3371	132.4648	144.4586	175.6283	120.9236	59.4747	153.0894	136.782	122.4996	142.1705	104.1711	181.1923	111.8668	112.2001	86.8825	116.0779	85.5253	82.3063	42.8974	229.5741	119.4321	262.0177	116.0365	24.556	110.1555	56.5762	95.5181	113.3937	43.6137	72.66	31.5978	86.8489	16.6872	87.4405	104.7441	252.8694	236.9776	42.6037	193.4527	51.9721	81.0069	89.5613	106.9265	17.201	132.2229	193.7851	71.3217	92.3157	158.9669	164.1044	121.8022	122.154	30.2753	61.7434	73.5702	50.4977	178.4306	36.3832	278.3747	85.9722	40.0919	40.6155	139.0359	99.5151	156.8251	132.0031	109.4366	104.5431	153.4863	142.4748	152.8292	90.6499	63.7205	134.1408	38.2897	23.5797	212.7254	223.7291	112.8705	199.6234	374.147	93.5439	94.0586	226.1034	164.2139	286.7367	123.0977	187.2349	228.44	16.7599	56.8584	90.9767	217.0993	143.1263	69.4103	79.1468	166.4623	47.6252	131.7949	136.1554	256.6786	120.4811	91.498	73.5024	164.4297	303.5994	15.6711	93.2186	201.4419	34.793	42.8325	217.588	178.6172	33.9591	363.2576	156.4347	130.5022	151.8759	87.2103	109.2165	35.5897	115.9574	65.8766	151.0433
Subject_002	289.7336	85.3414	102.566	103.0401	126.8294	161.5105	158.8111	132.1191	80.3341	49.35	83.8222	121.8728	102.3743	60.24	75.2667	160.5912	148.6668	125.4311	126.0889	62.6764	231.2407	217.4287	124.0716	118.5879	271.982	133.4324	201.7146	113.3968	139.0722	134.1097	122.3803	242.7707	51.5793	90.3882	110.6417	32.0645	62.8038	88.2411	77.6521	21.4975	38.0044	150.9978	126.31	123.9853	35.7865	98.0743	88.7174	72.5266	54.0559	46.5642	37.5014	219.034	108.4063	70.3125	103.8	53.0119	88.9328	87.2769	147.8066	50.3882	70.7107	67.8391	62.8297	26.7558	81.1733	120.5469	136.2066	232.3403	139.24	151.8197	172.1523	78.202	52.5982	32.2386	246.1148	129.3916	232.6298	123.1497	51.1664	141.7278	258.7901	186.8041	87.5988	84.5169	167.8031	117.0532	182.2499	109.9143	158.8987	170.4492	287.1972	65.5657	149.5813	178.4202	223.3414	115.5155	58.0569	268.6868	219.7521	147.9347	41.7062	28.966	74.2364	92.4401	171.234	244.2387	73.9386	119.3902	78.9091	98.4189	74.5146	65.8827	401.1155	22.9374	291.4092	184.1603	118.4249	83.403	304.4164	72.6895	81.6914	104.2902	221.0471	45.0855	80.2865	186.1722	143.5031	63.3856	119.9266	104.094	21.9084
Subject_003	88.2335	36.1442	62.4456	96.3166	99.1416	270.7092	128.5045	98.9636	86.3476	186.3641	132.9457	205.494	52.3644	129.8077	233.8359	89.7513	284.8209	86.9353	196.8614	36.6969	79.1169	61.4678	85.6737	39.6644	67.662	23.7149	97.688	107.2859	176.9499	209.3269	62.675	115.1842	96.567	124.4123	55.2777	146.7826	120.4951	21.3968	238.6173	39.9348	7.2043	140.0954	259.29	89.0683	85.1591	136.1641	233.092	67.7955	28.374	159.5016	72.8519	81.652	114.0467	109.6692	88.0404	69.7479	218.9826	82.5125	390.4619	333.4422	108.476	361.143	45.8571	82.2078	11.9577	251.4613	240.0785	233.2653	108.7054	107.9104	46.6988	136.8151	37.9764	53.4581	170.485	102.1189	85.2425	39.7351	4.747	75.4464	24.2066	126.1796	52.1223	107.0223	466.6999	181.7709	113.4213	597.6021	190.6757	57.3665	238.4678	163.9294	297.9305	56.4851	103.9584	113.2443	32.3497	181.1194	59.3793	70.9934	100.4027	125.9917	47.1519	121.37	49.9595	373.3058	120.9265	170.6597	42.1245	75.665	124.2676	205.5174	188.8641	26.0336	60.6462	110.6127	138.8442	113.4863	192.8282	138.4669	269.918	111.5969	64.1033	244.0091	15.7466	42.3159	20.7035	65.9135	104.4561	41.1931	54.4806
Subject_004	80.2044	58.1116	118.4126	18.9349	1.8541	31.7538	480.6533	157.8285	347.6081	61.2094	25.3109	170.5214	212.0338	200.0805	55.8714	48.7659	10.2761	41.6763	147.7567	142.406	373.589	142.179	34.9718	45.5298	112.4895	0.87798	64.5637	129.0722	378.326	119.713	38.1628	200.4628	11.7062	67.5702	17.0002	85.7701	189.0124	6.1126	14.9637	66.9073	81.4032	49.1009	144.2139	21.1637	133.3031	42.8895	91.5577	2.6021	81.6955	61.7648	35.9306	301.0489	65.2935	151.2384	125.0924	133.1397	127.7401	185.9415	94.2419	87.4198	187.7238	72.516	19.308	27.5333	159.226	74.3405	185.5092	133.9524	143.0608	234.3772	279.4484	33.4302	86.1253	8.9773	159.556	51.7838	97.9	74.964	1.5687	212.3383	369.8987	172.5074	488.0479	48.3273	122.1864	118.7975	255.7008	167.5291	16.5818	404.4372	294.5033	159.2725	60.0125	96.1096	26.1418	354.3808	67.8299	184.6663	160.1315	5.3085	257.8306	11.833	23.2379	280.1447	0	189.0072	144.3734	5.9915	167.6498	8.4154	91.7014	90.9061	194.4611	69.0097	198.8435	223.0337	198.7752	2.0547	212.4211	58.7674	283.7931	193.9991	172.2008	79.1985	301.5777	226.2601	286.894	233.9732	14.1153	220.2906	122.1985
Subject_005	116.0034	94.4554	45.3346	186.5996	82.014	158.8183	95.3003	106.3159	191.8715	113.3814	238.6936	200.3305	73.1837	67.8426	206.5868	86.898	20.5438	139.5268	231.7325	40.7699	157.7172	52.7857	225.9042	179.7652	132.7176	162.8254	56.9972	175.6906	82.0837	29.0574	65.4849	67.9564	139.8974	30.9119	124.4621	180.6334	87.7833	30.5774	146.2705	36.0968	55.4273	347.0272	175.8102	80.547	107.9044	158.2155	136.6106	116.6084	65.4548	68.5542	185.0408	120.0596	115.6117	68.7815	101.9879	155.0011	72.9462	124.8513	144.9353	82.582	89.3354	117.0177	63.8255	83.3393	12.0259	144.3658	150.1643	170.8595	120.0169	161.9338	111.9901	161.2612	89.6872	202.0981	86.9488	109.5066	114.6432	100.874	99.267	61.9398	50.5483	78.213	22.8819	121.4979	176.7799	66.3063	34.0151	166.1901	113.5107	339.2073	211.3418	160.2211	279.8181	57.4393	87.737	69.2572	78.8496	173.7734	214.3219	150.5276	192.7811	142.6141	41.4923	88.853	58.7109	74.7874	168.2215	206.5815	196.0689	144.962	202.4315	162.9429	101.6043	82.4133	98.8998	50.5351	100.1183	102.084	279.1425	64.6273	62.9016	71.7484	125.3728	101.4858	188.0989	121.9463	122.68	171.5277	79.8865	135.0134	66.1516
Subject_006	118.5365	12.0103	86.1955	3.0774	84.2789	181.37	100.0101	139.846	288.9354	132.4131	208.1309	127.9877	76.179	247.3719	176.3409	221.3507	114.07	81.7736	142.4478	195.0109	221.5055	140.4438	175.792	522.0425	98.389	20.1454	60.2921	179.2924	155.9549	232.4581	132.8336	192.0784	88.2635	143.8015	117.8706	99.2807	84.7005	5.9872	88.0337	136.7975	195.9099	206.8078	35.6367	128.0707	56.6142	9.9819	76.3843	306.4547	63.4296	58.739	159.5976	165.0816	205.7362	290.636	166.4651	81.4092	111.8664	83.3082	60.5403	119.9351	45.2798	238.1875	47.1948	152.4655	176.0485	294.3968	134.7512	408.0662	137.9391	267.9139	214.2461	66.5233	59.8143	73.3704	168.4617	80.9686	145.2146	18.3444	21.5318	52.0001	59.3438	11.8471	119.5791	289.3228	56.2425	269.4408	39.516	264.7373	173.3976	204.7845	245.9001	140.8577	267.5144	159.1487	100.084	112.3089	100.732	95.5489	95.0782	87.2757	98.2107	102.6614	42.5834	1.0839	31.3901	155.5302	310.056	93.0908	187.283	61.1301	159.971	36.132	90.6015	43.3365	128.7345	193.2291	83.0895	131.573	37.2165	123.0685	40.3951	132.4289	194.9251	39.2134	38.7323	76.8835	49.4969	96.9024	115.1219	112.2059	70.44
Subject_007	129.9898	5.3839	60.7547	81.8421	29.7625	253.7785	276.5746	247.431	88.0389	104.9278	151.4055	137.6429	83.0027	338.0887	147.4017	46.0657	198.645	386.2115	126.2655	198.0101	226.3216	280.4669	75.7462	110.0602	279.4558	325.2502	193.1934	79.2028	368.659	128.0022	289.2068	664.4815	193.4753	23.5798	136.0719	190.7948	22.692	26.007	47.7363	0	377.0039	123.5423	267.8368	117.2399	94.7114	24.4308	3.7666	122.8245	330.3225	256.296	106.6967	225.6644	44.4525	207.3969	278.2843	27.762	116.122	94.8687	164.5195	49.1103	36.075	30.0424	0	353.2846	6.2997	239.2827	156.0354	104.7298	18.394	49.3425	176.7871	84.1297	38.4165	232.5933	163.7248	60.3338	332.6697	75.9237	46.0822	20.7943	56.0825	152.5452	106.694	19.364	291.0357	292.3899	204.657	77.5109	457.91	213.6062	130.2316	250.5404	167.474	41.6997	200.0671	61.1496	108.1166	177.5452	216.1937	70.8502	91.0491	65.866	60.301	31.5807	28.2791	83.149	175.0658	172.8111	71.137	48.1554	123.0212	188.6774	39.3135	63.676	80.5604	59.8272	44.8865	84.7737	226.6586	130.7631	33.9013	3.9976	156.1742	82.9471	215.0154	120.1391	1.0354	0.81061	140.3023	399.17	53.8717
Subject_008	276.1409	108.6861	459.0683	68.5301	115.0317	298.7811	140.4754	224.2287	113.0606	157.7451	198.1694	157.7665	136.0459	122.7174	156.793	93.6646	91.763	134.6816	68.0651	212.4739	108.006	107.3956	196.9682	130.7929	210.0399	82.3059	65.5334	286.3047	170.3168	283.6502	31.9799	152.3704	23.5381	49.6237	166.8693	212.1258	62.7128	259.3081	5.2723	6.5492	50.8944	174.6457	235.9424	25.067	177.7008	64.9705	78.3608	23.9923	55.9171	144.621	134.494	225.2086	93.3772	213.6321	83.4125	96.8783	75.5253	158.7696	67.2058	25.554	73.4004	43.8775	52.4783	133.5018	0	47.7834	251.8462	21.5724	20.3993	242.3324	84.5039	185.4579	179.5001	566.7427	212.4271	160.9104	137.4964	95.5488	276.7932	7.1546	70.7435	58.7517	24.2925	182.1106	83.0306	134.7607	101.5422	118.026	67.3198	306.8255	247.6361	79.3996	140.9369	257.5812	171.483	70.6997	46.4541	592.9861	264.9022	250.185	276.1974	163.121	30.0644	194.9992	9.9583	25.9685	242.8393	59.59	221.6344	282.5811	138.6765	18.3795	166.3849	90.1712	93.6607	89.0245	24.0527	14.0005	221.4525	349.5739	93.5708	109.8793	22.8787	145.5648	324.3697	461.3675	314.7718	45.4312	141.1094	147.4268	144.1845
Subject_009	410.4908	0	63.818	120.9843	131.186	52.0282	236.2747	208.3369	95.5363	153.3769	131.7803	141.517	111.4674	228.0363	44.9463	102.7762	250.9112	96.9697	192.0046	176.026	283.5826	98.7457	117.7994	86.4348	152.0335	28.0374	80.0072	289.9089	56.7528	127.8674	92.7445	121.024	45.8744	163.1454	59.2363	85.7308	45.2505	13.2483	98.9017	0.59487	0	121.745	464.2096	132.9003	73.0889	0	22.6729	46.8594	131.975	127.1936	58.6367	132.5778	20.8832	164.7298	286.9201	180.9389	36.3673	73.6404	24.5411	142.7435	144.5254	63.9635	188.7126	58.2397	58.0023	174.0473	235.7178	141.2437	7.055	104.4291	88.9967	202.2229	37.0489	424.5071	64.3775	111.965	142.0025	226.7195	58.5522	2.3862	13.7775	453.5134	2.3862	214.0331	97.3797	92.1337	254.1034	74.5713	129.2736	151.6515	296.6238	43.9465	268.4236	83.5573	235.626	110.2038	245.868	232.7184	96.1466	15.0541	125.1444	252.6171	0	97.5789	8.7469	329.5189	107.5762	166.611	585.6523	166.7102	56.6857	79.1489	176.5473	297.8502	190.0394	432.1206	103.8288	319.9421	326.448	136.2949	297.2146	30.4078	257.6119	9.9467	550.4375	90.5639	52.9955	264.9238	175.7987	107.3203	0
Subject_010	141.8248	150.6065	138.4704	92.4141	96.5553	123.2316	98.1485	206.939	149.2623	66.2434	87.6772	103.4849	101.5408	184.8413	49.0607	88.2935	225.3132	100.1072	174.7061	161.1742	116.6345	109.4312	96.2571	77.4312	194.0309	23.7987	137.841	110.2992	150.2167	243.6778	118.0634	230.8459	120.1281	46.1396	52.7707	137.1227	42.2295	15.4822	118.6314	32.3295	31.6484	193.8477	47.4142	172.3821	196.2738	166.3864	58.1772	46.5541	224.1476	304.352	91.9823	87.2938	93.7371	68.4511	43.8611	92.4738	82.0001	175.7004	61.8101	80.7269	106.1651	187.031	46.7945	75.8853	13.9499	151.285	164.4411	121.4315	87.6086	88.4635	119.7092	49.3769	54.7183	278.3035	130.6375	153.1159	99.3208	47.0287	88.7205	46.4235	129.7582	43.3096	57.2272	46.8444	218.6086	123.8936	214.6322	54.9011	117.8968	243.2043	59.2991	208.6353	105.2531	139.2252	107.4637	176.7434	137.6472	64.5263	281.1875	205.7196	96.4289	148.4748	28.5284	204.5726	31.1181	99.884	250.4121	37.1373	136.3451	131.1851	278.1205	332.2827	162.0526	93.068	66.3461	55.694	100.8974	294.8285	252.9247	223.4145	62.6744	122.1679	120.3174	95.0933	116.3325	72.7123	227.4602	65.923	49.0093	32.4455	51.2856
