	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_553	198.3451	0	26.6075	68.6739	9.0115	2.3173	466.8395	0	790.8824	40.6898	0	410.4701	631.4492	82.0056	138.9709	0	5.5743	114.7265	280.0079	203.6578	252.5639	26.3498	117.8917	358.0239	393.282	97.9517	218.1792	432.1118	84.9766	456.5244	471.982	99.8041	218.3565	280.3292	721.1906	422.0283	546.793	0	0	124	0	51.5045	139.7862	3.8556	56.7472	1.0009	229.463	55.0294	218.4028	119.6275	250	463.4917	126.4684	177.29	250.9641	41.8601	0	288.1469	219.0788	45.3987	52.9546	0.60379	0.2967	144.4095	63.0212	6.6829	4.2431	307.3286	5.6358	254.4867	78.7398	23.0257	492.9563	164.6304	195.6397	372.338	17.5229	506.7628	973.7559	0	0	42.5207	461.5185	18.7048	968.8373	38.7777	49.8878	59.8084	438.631	751.9052	655.0951	310.4605	191.1869	5.1335	192.5927	119.9943	64.861	346.4582	5.6601	263.004	46.1297	17.4648	743.5472	137.7198	0	124	533.6539	322.9832	641.7588	557.525	0	466.2855	285.633	2.3518	0	122.1638	174.846	500.7175	260.4087	0	20.1589	4.9311	711.5466	6.9463	175.9145	394.8574	117.0205	0.84572	359.5084	42.3257	0
Subject_554	235.0966	132.5806	59.0905	61.102	48.5952	11.106	459.0017	60.8313	3.4952	71.8673	2.4448	447.9621	169.4278	104.502	230.2747	0	203.6371	181.5008	143.1816	2.5721	160.283	21.0072	35.0758	12.1786	53.7896	0	103.6919	230.9923	156.0545	174.28	199.0382	238.3323	344.7096	162.9845	78.0667	101.1918	104.9821	250.3015	200.4528	28.2735	101.1861	82.9106	79.8343	12.9933	134.1775	5.0368	433.5068	24.7813	545.02	299.8095	168.8804	1.4795	26.8871	124.2885	24.7433	84.6587	380.6549	296.3942	198.3824	111.0994	90.2731	18.7984	0	353.9479	114.2002	389.8262	0	301.5971	70.0939	122.6036	33.1642	315.4449	130.4307	57.8278	119.326	307.0927	409.45	21.3111	11.4077	13.1244	68.3951	104.4875	85.2139	3.1668	54.0518	422.4371	165.3925	30.8172	127.9643	343.3227	195.8608	262.602	242.707	8.965	2.0202	157.6487	21.8432	164.4567	535.7962	147.614	433.1398	629.2322	50.943	0	49.7093	32.5855	264.6455	411.351	425.5418	208.8681	312.3028	186.0656	1438.8292	169.9829	87.4229	96.6976	0.15385	0	346.7322	321.3287	45.3487	0	45.4532	16.5727	308.3579	160.929	67.0833	0	86.9034	255.2949	153.1624
Subject_555	180.9532	252.1397	0	153.9848	45.2785	170.5238	121.9837	114.9355	45.9317	42.9157	328.6291	94.8089	296.3116	62.5066	474.8505	128.7786	913.9637	89.772	40.6921	122.6421	132.9065	117.8413	61.2058	213.4	202.8058	0	146.9827	36.8882	163.2417	178.8151	364.8573	157.4624	972.3059	135.3494	267.542	41.5014	104.6108	2.2766	0	90.3783	58.4464	80.7329	332.9095	373.8541	78.2039	8.5888	206.0213	0.25	567.1642	177.3157	38.4366	331.7108	611.1174	225.5245	261.9814	49.8005	206.5783	577.3664	244.4614	245.3933	165.362	0	316.9338	391.3974	493.9343	174.1044	210.9116	312.3672	341.4328	775.3516	3.1746	40.0699	114.1571	210.7252	337.8718	307.0072	115.1281	147.1074	4.7311	38.4153	6.0531	50.1067	7.4335	164.7268	5.1794	453.0903	224.4715	0.31333	277.5891	584.1209	321.0034	136.7	485.8896	81.6163	268.0706	309.0366	179.6445	411.2823	430.4246	87.15	163.801	102.3574	23.0731	0	40.5235	19.5586	145.7878	71.5178	77.3504	117.4105	0	0	0.77565	93.7115	188.7814	162.5312	11.2579	0	84.4489	329.6168	454.2084	93.327	592.5376	264.4314	5.351	36.9127	37.293	4.6059	218.8176	0	16.0965
Subject_556	437.4437	194.5297	407.4565	157.6583	168.5287	274.8004	261.8305	442.2997	164.7311	66.2898	79.6106	147.3632	20.2212	179.0157	576.6246	20.4412	155.4259	612.8281	212.0882	245.61	161.4075	346.2818	157.747	226.7262	40.3721	241.9683	144.074	189.8528	80.1087	14.9579	168.7565	453.4654	197.5462	569.4718	38.5962	376.6025	217.7881	58.5232	157.5256	47.2289	142.4457	38.2666	414.9264	290.4735	193.4479	0	134.3802	63.9434	321.6126	89.0288	193.7132	76.1312	285.9382	440.484	65.2678	184.6309	125.959	143.3809	494.5944	231.068	129.5551	0	4.1397	85.9669	103.8405	305.7425	113.2543	164.5141	232.4019	59.8671	73.2641	37.1111	106.7102	10.2042	185.746	0	0	149.7979	27.2883	277.4495	95.2774	193.2417	1.5897	308.8589	324.5411	86.1986	149.9702	16.3556	116.1877	116.6053	220.0954	202.7167	324.2862	228.7018	160.5199	254.8379	110.1667	151.7247	270.696	6.9187	91.356	189.2024	79.1931	122.0347	152.5764	92.502	131.247	429.0552	115.9066	178.9692	239.5888	117.6104	345.1886	41.3869	133.9013	170.2656	52.2288	304.933	103.0126	11.9085	355.8857	499.3514	170.0697	293.1686	104.072	74.4287	184.6827	61.6814	286.0964	82.375	24.287
Subject_557	291.2828	41.223	62.6	109.4116	27.0997	276.2075	63.6305	147.432	279.2035	17.2177	252.1857	240.747	76.346	204.2533	399.0411	50.4046	106.5171	77.3876	130.4254	52.2589	164.2056	232.9566	332.956	182.0304	6.2969	554.1549	74.2229	235.9451	281.2249	217.4527	92.4282	275.209	200.6761	193.0688	187.8593	34.8048	30.675	99.2589	68.1855	17.1539	23.9977	45.4002	38.3065	16.1582	205.5019	14.5021	83.0233	160.0504	28.9109	38.483	613.3687	448.1035	234.3965	225.1052	175.6074	0	86.1894	417.2237	215.5929	262.1574	203.3327	1.62	120.2779	32.6786	202.3597	236.5365	105.4708	439.2787	297.3909	194.9512	249.867	22.8045	256.7904	444.1899	350.9759	136.435	359.0954	138.7572	184.0765	181.1922	56.7652	150.5572	41.4196	233.2339	250.5636	104.88	156.9686	25.5651	597.5654	292.2376	259.052	296.2784	417.765	462.4145	46.304	279.0158	43.1679	237.017	22.9385	11.7006	305.8684	291.5122	200.3941	300.0762	84.8807	329.0051	167.8386	370.7758	78.1747	60.5966	176.2979	536.7751	360.4468	76.2532	122.3276	22.2769	70.8347	382.2859	258.0371	412.8911	18.4461	183.7794	137.0197	150.4659	401.1765	3.6494	215.601	13.9778	52.4698	201.5082	41.1472
Subject_558	213.3093	1.3054	215.3332	52.4094	103.0585	213.7652	377.1143	341.1523	289.3865	260.2936	174.436	186.2362	21.4048	32.4736	312.3266	11.4384	111.2137	243.1209	92.0034	157.8022	240.7091	322.3245	203.3155	10.0583	172.0618	74.8044	147.6275	187.0271	151.9205	120.0191	466.3974	156.9819	71.7473	111.2236	137.4189	64.6659	134.548	0	163.5095	64.4502	4.5333	168.0685	683.84	169.4626	80.5645	26.6979	4.7768	83.7712	235.7205	334.7094	43.2317	462.4683	35.306	145.8798	53.5332	63.5418	100.9937	74.0544	175.6274	64.4687	47.4116	230.0684	0.45497	166.7808	286.7061	162.1463	245.4149	38.5308	296.4791	544.7883	109.5022	174.9938	111.8865	157.8446	225.2599	338.4277	102.482	155.8775	3.473	33.129	69.5679	7.9159	21.1021	215.2294	61.7446	115.0701	72.3957	127.7444	300.6622	459.8591	310.3077	0.97752	354.6634	256.4855	104.9623	60.5136	353.6436	635.3897	513.0418	105.5285	86.2738	144.1587	343.9488	5.1169	0.51111	341.1342	140.9721	288.2113	10.2002	239.5848	852.8675	328.546	277.1788	161.9404	132.6221	47.6347	107.4093	354.81	333.432	65.5346	343.1239	691.7559	227.3652	40.0597	261.4352	18.0155	337.1088	182.6381	262.2071	259.343	102.7547
Subject_559	584.5563	312.8215	146.0205	563.3682	131.6005	66.3093	64.7279	253.0997	23.6081	188.4897	92.5167	404.1038	767.442	621.7919	315.7752	0	120.8905	144.3269	27.5076	756.0769	198.372	258.0344	3.4334	118.0111	174.3245	0	18.1249	75.8688	73.4409	289.5405	303.0652	111.152	49.598	102.6234	78.2725	185.2783	50.1456	0	298.6811	0	0	0	161.2203	99.2868	144.4147	0	24.8667	135.3164	9.2223	6.966	31.9636	147.8742	100.5693	67.2818	40.1429	92.2811	43.346	29.3142	78.4812	33.6619	46.1003	2.4531	418.9333	485.002	0	335.2859	187.5214	118.7028	97.959	166.1511	549.1084	44.4413	130.6257	53.5161	168.8339	76.1235	27.8347	158.617	0.75786	306.1004	89.4743	105.5802	447.3563	329.2083	462.4174	235.9721	183.8176	197.2484	272.9082	73.7988	108.0545	113.2484	46.693	610.2657	59.329	150.1191	167.6611	471.9543	405.0028	69.9205	171.3096	268.7825	0	35.4393	0	496	120.6181	484.9392	68.4408	1067.3164	0	34.4291	33.6624	250	222.9043	139.0868	122.7491	49.6374	77.9161	421.2035	93.6692	314.1108	394.7801	336.3379	152.0673	48.8927	120.679	0	64.6196	100.229	68.8733
Subject_560	177.2109	107.4217	21.7153	597.7893	221.1979	278.8636	499.9978	157.0732	102.1571	41.3733	50.0794	93.2872	155.0839	268.4277	244.2635	77.7772	120.0227	267.0118	65.6415	5.6907	272.115	63.4965	261.4741	0	260.9189	0	172.1551	24.9393	135.557	58.0123	34.675	445.7099	174.1109	99.4937	152.9002	410.4268	86.57	509.4438	258	468.2836	0	292.6719	421.0286	433.1254	553.0626	258.2911	0	124.3843	259.446	435.1182	46.4665	226.5403	105.9166	131.2457	117.4391	26.8297	141.8878	289.727	23.0088	230.4146	44.2022	9.964	9.1876	301.1335	57.1397	372.246	592.8138	240.79	600.9669	70.0854	89.3867	181.3606	243.3745	841.5511	218.6982	68.5821	250.7326	349.8768	1.2294	311.635	42.2781	23.1262	4.9922	211.8494	500.3272	666.0327	3.7162	27.3795	243.8737	7.2818	194.0338	427.0579	306.2265	77.3662	12.1599	1045.7979	56.187	210.697	306.8818	90.0517	92.3925	150.2957	373.268	651.2671	10.8244	61.3146	324.3223	74.5147	727.6773	184.4894	90.6346	478.1071	53.0009	30.4747	107.1172	175.2627	73.6651	0.16667	13.1511	111.219	837.2344	178.2565	287.184	24.462	345.7863	57.3449	475.4447	0	42.8733	127.0043	0
Subject_561	409.0993	238.3647	177.5845	207.2869	6.0639	31.7051	152.2727	143.9608	93.3413	411.5254	299.5873	195.1428	360.4043	188.6385	504.6477	33.6275	89.2865	188.8098	283.3194	18.7454	409.135	95.9438	96.3731	80.8703	139.0273	7.0233	177.4623	126.9836	84.3854	227.8034	201.8553	143.9457	203.5346	235.3199	60.6186	113.5738	128.4216	23.2302	96.9026	82.4163	68.1626	287.3401	140.312	24.0969	72.9756	165.5982	143.8236	155.7932	27.4922	23.8499	159.0506	138.8522	17.0307	145.6075	106.8829	129.3399	232.6351	170.9507	166.6521	124.9127	202.1986	24.7093	242.3899	72.6604	14.1906	344.8866	109.8348	453.4725	181.1482	267.8672	26.2708	123.7184	133.5712	92.3749	199.9884	157.1504	140.2338	408.8402	24.1135	42.7819	277.5658	496.0015	38.6184	484.6891	27.7798	94.2163	281.7542	279.3839	162.9798	240.3342	99.5647	219.389	288.6119	168.0684	6.6193	5.582	12.7941	597.1488	183.4948	252.4529	85.1719	119.9118	173.6422	30.4697	39.7854	140.811	110.511	94.7942	362.4684	24.005	215.5694	317.8979	52.2589	50.7363	9.397	158.009	51.5042	67.8873	200.296	251.8798	166.536	163.4654	234.5796	238.7898	68.6082	15.3392	594.4753	183.504	399.1818	86.2447	75.221
Subject_562	280.2886	16.8035	78.3582	26.3277	6.8071	447.4787	0	156.2247	303.2091	518.7578	148.6144	525.3005	162.726	105.9547	181.6952	9.255	113.8942	58.0024	193.2961	169.4997	130.1424	141.7254	186.5428	55.1383	44.7269	18.5844	147.0713	265.4472	369.2389	272.7989	510	290.5995	369.0061	291.7148	136.5975	462.2254	288.9601	0	337.3822	91.9731	41.1102	24.8352	22.8486	713.3489	431.1441	0	292.3025	577.577	31.7878	297.9044	88.2939	301.0118	109.2448	165.6727	32.7045	28.2514	262.6943	416.7552	153.7831	284.8169	267.4768	0	0	270.1469	144.8668	350.6941	31.5344	162.9251	104.3298	367.2271	98.7081	477.4493	93.8026	33.5776	376.5418	292.9082	12.2532	236.7601	47.5366	1411.6128	18.9237	383.4293	195.6984	113.6056	302.6312	241.27	131.2544	115.3662	278.7196	394.0141	196.7302	749.032	92.9856	130.2329	148.8332	135.9805	68.5798	312.1764	550.6903	175.1682	99.317	54.7883	293.1793	0	0	149.1816	268.5131	5.2429	345.7855	0	337.2083	7.594	219.6679	2.0484	288.5171	581.7415	27.8114	116.4056	831.2259	103.2585	189.8626	21.4877	12.1004	88.5455	205.624	0	7.6775	36.2867	11.5657	10.0449	69.1898
