	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_001	0.45769	0.35828	0.47828
Subject_002	0.4293	0.36789	0.48789
Subject_003	0.45616	0.35258	0.47258
Subject_004	0.42517	0.35371	0.47371
Subject_005	0.42689	0.35514	0.47514
Subject_006	0.48881	0.35182	0.47182
Subject_007	0.50299	0.31071	0.43071
Subject_008	0.49464	0.32661	0.44661
Subject_009	0.51255	0.27797	0.39797
Subject_010	0.44989	0.35497	0.47497
Subject_011	0.47979	0.34316	0.46316
Subject_012	0.48852	0.34766	0.46766
Subject_013	0.49212	0.34655	0.46655
Subject_014	0.48033	0.34156	0.46156
Subject_015	0.48503	0.33335	0.45335
Subject_016	0.50867	0.3105	0.4305
Subject_017	0.46026	0.34222	0.46222
Subject_018	0.49285	0.32814	0.44814
Subject_019	0.45531	0.35067	0.47067
Subject_020	0.50533	0.32567	0.44567
Subject_021	0.47906	0.35667	0.47667
Subject_022	0.44542	0.35533	0.47533
Subject_023	0.47389	0.34968	0.46968
Subject_024	0.52588	0.30677	0.42677
Subject_025	0.45346	0.35593	0.47593
Subject_026	0.50468	0.34171	0.46171
Subject_027	0.46329	0.34475	0.46475
Subject_028	0.42761	0.36009	0.48009
Subject_029	0.45266	0.35273	0.47273
Subject_030	0.53439	0.30593	0.42593
Subject_031	0.47622	0.34988	0.46988
Subject_032	0.41801	0.3614	0.4814
Subject_033	0.56985	0.32911	0.44911
Subject_034	0.49367	0.33858	0.45858
Subject_035	0.43044	0.35465	0.47465
Subject_036	0.47138	0.35974	0.47974
Subject_037	0.49405	0.33752	0.45752
Subject_038	0.47981	0.34537	0.46537
Subject_039	0.58154	0.30265	0.42265
Subject_040	0.45947	0.3511	0.4711
Subject_041	0.48735	0.34264	0.46264
Subject_042	0.50728	0.32221	0.44221
Subject_043	0.4635	0.35032	0.47032
Subject_044	0.50343	0.33914	0.45914
Subject_045	0.46455	0.33776	0.45776
Subject_046	0.47962	0.3445	0.4645
Subject_047	0.46891	0.35003	0.47003
Subject_048	0.45314	0.35688	0.47688
Subject_049	0.46562	0.341	0.461
Subject_050	0.49907	0.34271	0.46271
Subject_051	0.47135	0.32966	0.44966
Subject_052	0.53762	0.30538	0.42538
Subject_053	0.48854	0.34223	0.46223
Subject_054	0.4989	0.3352	0.4552
Subject_055	0.45646	0.35298	0.47298
Subject_056	0.50919	0.33157	0.45157
Subject_057	0.47816	0.33612	0.45612
Subject_058	0.46022	0.34032	0.46032
Subject_059	0.44783	0.35205	0.47205
Subject_060	0.52701	0.32714	0.44714
Subject_061	0.47726	0.34655	0.46655
Subject_062	0.52266	0.29299	0.41299
Subject_063	0.4517	0.36182	0.48182
Subject_064	0.50255	0.33786	0.45786
Subject_065	0.52098	0.33126	0.45126
Subject_066	0.56501	0.32405	0.44405
Subject_067	0.50248	0.33159	0.45159
Subject_068	0.48378	0.34803	0.46803
Subject_069	0.42185	0.36803	0.48803
Subject_070	0.57205	0.3148	0.4348
Subject_071	0.55642	0.27787	0.39787
Subject_072	0.51945	0.33325	0.45325
Subject_073	0.44061	0.33718	0.45718
Subject_074	0.49843	0.35478	0.47478
Subject_075	0.49454	0.32946	0.44946
Subject_076	0.45807	0.36112	0.48112
Subject_077	0.51274	0.32099	0.44099
Subject_078	0.48212	0.34253	0.46253
Subject_079	0.49133	0.32115	0.44115
Subject_080	0.47864	0.33305	0.45305
Subject_081	0.53374	0.30086	0.42086
Subject_082	0.51109	0.32551	0.44551
Subject_083	0.45739	0.35197	0.47197
Subject_084	0.49922	0.33598	0.45598
Subject_085	0.46947	0.34459	0.46459
Subject_086	0.51609	0.33927	0.45927
Subject_087	0.5616	0.27801	0.39801
Subject_088	0.51057	0.30514	0.42514
Subject_089	0.50233	0.3369	0.4569
Subject_090	0.48347	0.31447	0.43447
Subject_091	0.45013	0.34652	0.46652
Subject_092	0.51652	0.32335	0.44335
Subject_093	0.46068	0.35327	0.47327
Subject_094	0.45971	0.3487	0.4687
Subject_095	0.5517	0.30329	0.42329
Subject_096	0.48116	0.35959	0.47959
Subject_097	0.49511	0.34782	0.46782
Subject_098	0.53552	0.34029	0.46029
Subject_099	0.50713	0.34276	0.46276
Subject_100	0.44952	0.29571	0.41571
Subject_101	0.5222	0.33921	0.45921
Subject_102	0.41186	0.367	0.487
Subject_103	0.41126	0.37047	0.49047
Subject_104	0.50017	0.32189	0.44189
Subject_105	0.47387	0.34566	0.46566
Subject_106	0.40256	0.37176	0.49176
Subject_107	0.47759	0.36028	0.48028
Subject_108	0.49578	0.31763	0.43763
Subject_109	0.49121	0.33978	0.45978
Subject_110	0.49482	0.31383	0.43383
Subject_111	0.42517	0.35657	0.47657
Subject_112	0.43704	0.35828	0.47828
Subject_113	0.53119	0.32036	0.44036
Subject_114	0.50463	0.30119	0.42119
Subject_115	0.43658	0.36489	0.48489
Subject_116	0.492	0.3339	0.4539
Subject_117	0.4846	0.33874	0.45874
Subject_118	0.51756	0.30695	0.42695
Subject_119	0.44342	0.35545	0.47545
Subject_120	0.51396	0.32324	0.44324
Subject_121	0.52015	0.34248	0.46248
Subject_122	0.4859	0.34613	0.46613
Subject_123	0.46902	0.35362	0.47362
Subject_124	0.52284	0.316	0.436
Subject_125	0.4352	0.36428	0.48428
Subject_126	0.43361	0.35664	0.47664
Subject_127	0.54488	0.30498	0.42498
Subject_128	0.45381	0.33876	0.45876
Subject_129	0.53371	0.34656	0.46656
Subject_130	0.52951	0.31759	0.43759
Subject_131	0.50171	0.33535	0.45535
Subject_132	0.47563	0.33111	0.45111
Subject_133	0.48967	0.34765	0.46765
Subject_134	0.44672	0.3308	0.4508
Subject_135	0.50443	0.35008	0.47008
Subject_136	0.4554	0.34159	0.46159
Subject_137	0.47541	0.34234	0.46234
Subject_138	0.46929	0.35151	0.47151
Subject_139	0.53174	0.33582	0.45582
Subject_140	0.51915	0.34244	0.46244
Subject_141	0.54366	0.28364	0.40364
Subject_142	0.46558	0.34102	0.46102
Subject_143	0.45447	0.3617	0.4817
Subject_144	0.47599	0.33324	0.45324
Subject_145	0.4911	0.34266	0.46266
Subject_146	0.49066	0.34313	0.46313
Subject_147	0.42863	0.36218	0.48218
Subject_148	0.42275	0.33924	0.45924
Subject_149	0.52434	0.33887	0.45887
Subject_150	0.49185	0.33495	0.45495
Subject_151	0.46088	0.35015	0.47015
Subject_152	0.52139	0.32352	0.44352
Subject_153	0.44691	0.36616	0.48616
Subject_154	0.49211	0.34949	0.46949
Subject_155	0.44849	0.35034	0.47034
Subject_156	0.45554	0.34133	0.46133
Subject_157	0.39499	0.37238	0.49238
Subject_158	0.47296	0.35524	0.47524
Subject_159	0.46177	0.25386	0.37386
Subject_160	0.45302	0.34598	0.46598
Subject_161	0.45996	0.33326	0.45326
Subject_162	0.48274	0.34117	0.46117
Subject_163	0.51681	0.32637	0.44637
Subject_164	0.43314	0.34962	0.46962
Subject_165	0.51113	0.30371	0.42371
Subject_166	0.46005	0.34695	0.46695
Subject_167	0.4914	0.33381	0.45381
Subject_168	0.56976	0.31739	0.43739
Subject_169	0.54029	0.30111	0.42111
Subject_170	0.439	0.34713	0.46713
Subject_171	0.46216	0.34125	0.46125
Subject_172	0.49621	0.35003	0.47003
Subject_173	0.44217	0.35704	0.47704
