	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_174	0.49769	0.33198	0.45198
Subject_175	0.44699	0.35436	0.47436
Subject_176	0.52562	0.30885	0.42885
Subject_177	0.48347	0.32982	0.44982
Subject_178	0.4772	0.32483	0.44483
Subject_179	0.5232	0.32257	0.44257
Subject_180	0.45382	0.3542	0.4742
Subject_181	0.51703	0.31883	0.43883
Subject_182	0.47585	0.34425	0.46425
Subject_183	0.53876	0.28584	0.40584
Subject_184	0.48474	0.33503	0.45503
Subject_185	0.47375	0.33432	0.45432
Subject_186	0.41923	0.36094	0.48094
Subject_187	0.43857	0.35075	0.47075
Subject_188	0.45932	0.35192	0.47192
Subject_189	0.50128	0.33453	0.45453
Subject_190	0.42535	0.36531	0.48531
Subject_191	0.4567	0.34385	0.46385
Subject_192	0.43537	0.35395	0.47395
Subject_193	0.47384	0.3266	0.4466
Subject_194	0.47567	0.33454	0.45454
Subject_195	0.47584	0.3356	0.4556
Subject_196	0.51432	0.30502	0.42502
Subject_197	0.50399	0.30665	0.42665
Subject_198	0.50763	0.30091	0.42091
Subject_199	0.50039	0.3303	0.4503
Subject_200	0.5048	0.31724	0.43724
Subject_201	0.41575	0.36162	0.48162
Subject_202	0.53687	0.32095	0.44095
Subject_203	0.46225	0.33595	0.45595
Subject_204	0.43122	0.35453	0.47453
Subject_205	0.45034	0.35485	0.47485
Subject_206	0.47197	0.33013	0.45013
Subject_207	0.44594	0.35705	0.47705
Subject_208	0.54711	0.30943	0.42943
Subject_209	0.48135	0.32767	0.44767
Subject_210	0.49465	0.31539	0.43539
Subject_211	0.49654	0.29301	0.41301
Subject_212	0.542	0.25973	0.37973
Subject_213	0.44844	0.33871	0.45871
Subject_214	0.50981	0.31032	0.43032
Subject_215	0.49445	0.32634	0.44634
Subject_216	0.55076	0.32884	0.44884
Subject_217	0.43789	0.35977	0.47977
Subject_218	0.52388	0.31211	0.43211
Subject_219	0.5615	0.30957	0.42957
Subject_220	0.49613	0.3457	0.4657
Subject_221	0.52188	0.3161	0.4361
Subject_222	0.47038	0.33096	0.45096
Subject_223	0.46763	0.34117	0.46117
Subject_224	0.47184	0.32869	0.44869
Subject_225	0.41726	0.3485	0.4685
Subject_226	0.50899	0.24725	0.36725
Subject_227	0.47244	0.35068	0.47068
Subject_228	0.47924	0.34356	0.46356
Subject_229	0.42818	0.35418	0.47418
Subject_230	0.55197	0.27583	0.39583
Subject_231	0.52513	0.33348	0.45348
Subject_232	0.41468	0.3643	0.4843
Subject_233	0.47843	0.36034	0.48034
Subject_234	0.4748	0.354	0.474
Subject_235	0.49094	0.30283	0.42283
Subject_236	0.4965	0.33426	0.45426
Subject_237	0.48297	0.3416	0.4616
Subject_238	0.49824	0.31242	0.43242
Subject_239	0.4946	0.3414	0.4614
Subject_240	0.44763	0.36689	0.48689
Subject_241	0.46375	0.34261	0.46261
Subject_242	0.49764	0.25416	0.37416
Subject_243	0.48554	0.34785	0.46785
Subject_244	0.47437	0.35848	0.47848
Subject_245	0.43229	0.36255	0.48255
Subject_246	0.49558	0.34117	0.46117
Subject_247	0.5054	0.34257	0.46257
Subject_248	0.491	0.35078	0.47078
Subject_249	0.44921	0.34368	0.46368
Subject_250	0.43489	0.3523	0.4723
Subject_251	0.46023	0.35434	0.47434
Subject_252	0.47713	0.32171	0.44171
Subject_253	0.45599	0.36124	0.48124
Subject_254	0.48138	0.31554	0.43554
Subject_255	0.50351	0.34415	0.46415
Subject_256	0.48415	0.31717	0.43717
Subject_257	0.4796	0.3496	0.4696
Subject_258	0.4776	0.35542	0.47542
Subject_259	0.46173	0.3388	0.4588
Subject_260	0.44541	0.31675	0.43675
Subject_261	0.52057	0.32132	0.44132
Subject_262	0.43841	0.36134	0.48134
Subject_263	0.48555	0.33416	0.45416
Subject_264	0.58295	0.27109	0.39109
Subject_265	0.4312	0.35404	0.47404
Subject_266	0.57422	0.32617	0.44617
Subject_267	0.47168	0.33402	0.45402
Subject_268	0.44397	0.34438	0.46438
Subject_269	0.51826	0.30065	0.42065
Subject_270	0.38738	0.38029	0.50029
Subject_271	0.5178	0.33234	0.45234
Subject_272	0.47466	0.33675	0.45675
Subject_273	0.44783	0.36396	0.48396
Subject_274	0.49512	0.32978	0.44978
Subject_275	0.47554	0.34418	0.46418
Subject_276	0.45075	0.33207	0.45207
Subject_277	0.52245	0.31123	0.43123
Subject_278	0.4787	0.3506	0.4706
Subject_279	0.51642	0.33373	0.45373
Subject_280	0.48206	0.35038	0.47038
Subject_281	0.48498	0.32736	0.44736
Subject_282	0.44981	0.3451	0.4651
Subject_283	0.41404	0.34453	0.46453
Subject_284	0.41197	0.35141	0.47141
Subject_285	0.49763	0.31859	0.43859
Subject_286	0.46752	0.3453	0.4653
Subject_287	0.44276	0.34899	0.46899
Subject_288	0.41698	0.35402	0.47402
Subject_289	0.47055	0.34655	0.46655
Subject_290	0.4496	0.30637	0.42637
Subject_291	0.40188	0.36489	0.48489
Subject_292	0.5228	0.34079	0.46079
Subject_293	0.43804	0.32133	0.44133
Subject_294	0.53145	0.32691	0.44691
Subject_295	0.48227	0.34623	0.46623
Subject_296	0.48175	0.34976	0.46976
Subject_297	0.49611	0.31996	0.43996
Subject_298	0.48155	0.33966	0.45966
Subject_299	0.47412	0.36125	0.48125
Subject_300	0.52286	0.31728	0.43728
Subject_301	0.48949	0.3524	0.4724
Subject_302	0.48955	0.34683	0.46683
Subject_303	0.45536	0.28147	0.40147
Subject_304	0.50978	0.3217	0.4417
Subject_305	0.42213	0.35657	0.47657
Subject_306	0.4769	0.32771	0.44771
Subject_307	0.52511	0.33195	0.45195
Subject_308	0.44393	0.34452	0.46452
Subject_309	0.53312	0.30773	0.42773
Subject_310	0.49054	0.21809	0.33809
Subject_311	0.48493	0.33727	0.45727
Subject_312	0.42615	0.35448	0.47448
Subject_313	0.44574	0.35721	0.47721
Subject_314	0.47193	0.3479	0.4679
Subject_315	0.5247	0.32689	0.44689
Subject_316	0.50255	0.35216	0.47216
Subject_317	0.52518	0.27807	0.39807
Subject_318	0.54129	0.29973	0.41973
Subject_319	0.47159	0.35224	0.47224
Subject_320	0.50728	0.32815	0.44815
Subject_321	0.46879	0.32484	0.44484
Subject_322	0.46286	0.3449	0.4649
Subject_323	0.46256	0.31711	0.43711
Subject_324	0.53114	0.28365	0.40365
Subject_325	0.44843	0.35103	0.47103
Subject_326	0.53104	0.31673	0.43673
Subject_327	0.50548	0.34029	0.46029
Subject_328	0.44879	0.36161	0.48161
Subject_329	0.46867	0.3377	0.4577
Subject_330	0.50611	0.3007	0.4207
Subject_331	0.47845	0.33821	0.45821
Subject_332	0.44182	0.34829	0.46829
Subject_333	0.45405	0.33294	0.45294
Subject_334	0.47664	0.3305	0.4505
Subject_335	0.46322	0.35036	0.47036
Subject_336	0.48641	0.35087	0.47087
Subject_337	0.51479	0.32078	0.44078
Subject_338	0.51449	0.31528	0.43528
Subject_339	0.46402	0.34207	0.46207
Subject_340	0.42869	0.36205	0.48205
Subject_341	0.42679	0.36077	0.48077
Subject_342	0.46152	0.34902	0.46902
Subject_343	0.50974	0.32894	0.44894
Subject_344	0.50983	0.28567	0.40567
Subject_345	0.47839	0.33207	0.45207
Subject_346	0.48119	0.34633	0.46633
Subject_347	0.4705	0.34703	0.46703
Subject_348	0.48235	0.3171	0.4371
Subject_349	0.53697	0.3321	0.4521
Subject_350	0.48681	0.33124	0.45124
Subject_351	0.48586	0.35387	0.47387
Subject_352	0.4248	0.3573	0.4773
Subject_353	0.4511	0.34671	0.46671
Subject_354	0.49754	0.3246	0.4446
Subject_355	0.43628	0.3595	0.4795
Subject_356	0.42252	0.35326	0.47326
Subject_357	0.4287	0.33748	0.45748
Subject_358	0.52193	0.31088	0.43088
Subject_359	0.50512	0.31496	0.43496
Subject_360	0.50281	0.34621	0.46621
Subject_361	0.51004	0.33471	0.45471
Subject_362	0.50659	0.28365	0.40365
Subject_363	0.43684	0.33075	0.45075
Subject_364	0.47997	0.33307	0.45307
Subject_365	0.36517	0.37867	0.49867
Subject_366	0.45592	0.34443	0.46443
Subject_367	0.49539	0.35353	0.47353
Subject_368	0.54201	0.30647	0.42647
Subject_369	0.43923	0.35184	0.47184
Subject_370	0.50776	0.33181	0.45181
Subject_371	0.4723	0.35242	0.47242
Subject_372	0.49589	0.3319	0.4519
Subject_373	0.41868	0.36302	0.48302
Subject_374	0.43544	0.35911	0.47911
Subject_375	0.53615	0.31824	0.43824
Subject_376	0.54792	0.30521	0.42521
Subject_377	0.50646	0.30196	0.42196
Subject_378	0.50552	0.34392	0.46392
Subject_379	0.52443	0.25019	0.37019
Subject_380	0.45073	0.35017	0.47017
Subject_381	0.46682	0.34911	0.46911
Subject_382	0.44121	0.32675	0.44675
Subject_383	0.44685	0.34499	0.46499
Subject_384	0.51322	0.30382	0.42382
Subject_385	0.49565	0.33987	0.45987
Subject_386	0.4745	0.31993	0.43993
Subject_387	0.49936	0.33334	0.45334
Subject_388	0.4654	0.3581	0.4781
Subject_389	0.46273	0.33142	0.45142
Subject_390	0.45266	0.35939	0.47939
Subject_391	0.48725	0.31677	0.43677
Subject_392	0.4595	0.33708	0.45708
Subject_393	0.47536	0.3248	0.4448
Subject_394	0.53745	0.33496	0.45496
Subject_395	0.38962	0.3713	0.4913
Subject_396	0.47386	0.32195	0.44195
Subject_397	0.486	0.34398	0.46398
Subject_398	0.45248	0.35756	0.47756
Subject_399	0.52033	0.33213	0.45213
Subject_400	0.50118	0.31407	0.43407
Subject_401	0.44148	0.36312	0.48312
Subject_402	0.38373	0.3717	0.4917
Subject_403	0.46722	0.34615	0.46615
Subject_404	0.4738	0.35383	0.47383
Subject_405	0.46767	0.3005	0.4205
Subject_406	0.53878	0.30972	0.42972
Subject_407	0.4904	0.34626	0.46626
Subject_408	0.39528	0.36303	0.48303
Subject_409	0.46166	0.34767	0.46767
Subject_410	0.46364	0.33866	0.45866
Subject_411	0.50275	0.3441	0.4641
Subject_412	0.45949	0.33139	0.45139
Subject_413	0.46556	0.34874	0.46874
Subject_414	0.52719	0.29745	0.41745
Subject_415	0.45766	0.34243	0.46243
Subject_416	0.45566	0.35531	0.47531
Subject_417	0.46979	0.34065	0.46065
Subject_418	0.48295	0.33646	0.45646
Subject_419	0.47301	0.34626	0.46626
Subject_420	0.47415	0.328	0.448
Subject_421	0.46919	0.32137	0.44137
Subject_422	0.51351	0.30337	0.42337
Subject_423	0.46735	0.35165	0.47165
Subject_424	0.49917	0.31417	0.43417
Subject_425	0.38705	0.36257	0.48257
Subject_426	0.43181	0.35665	0.47665
Subject_427	0.49131	0.34747	0.46747
Subject_428	0.37983	0.37492	0.49492
Subject_429	0.533	0.27261	0.39261
Subject_430	0.4234	0.35723	0.47723
Subject_431	0.41892	0.36221	0.48221
Subject_432	0.43798	0.36023	0.48023
Subject_433	0.389	0.36561	0.48561
Subject_434	0.51355	0.34933	0.46933
Subject_435	0.43609	0.36125	0.48125
Subject_436	0.4651	0.34891	0.46891
Subject_437	0.43626	0.34035	0.46035
Subject_438	0.47243	0.35146	0.47146
Subject_439	0.52845	0.32298	0.44298
Subject_440	0.42449	0.3325	0.4525
Subject_441	0.41991	0.36962	0.48962
Subject_442	0.45636	0.33684	0.45684
Subject_443	0.42879	0.36605	0.48605
Subject_444	0.47363	0.33976	0.45976
Subject_445	0.45799	0.35691	0.47691
Subject_446	0.45356	0.33903	0.45903
Subject_447	0.44973	0.30175	0.42175
Subject_448	0.4905	0.30251	0.42251
Subject_449	0.50808	0.34338	0.46338
Subject_450	0.44469	0.34792	0.46792
Subject_451	0.50229	0.33258	0.45258
Subject_452	0.54016	0.31732	0.43732
Subject_453	0.49065	0.30583	0.42583
Subject_454	0.51468	0.33262	0.45262
Subject_455	0.47254	0.32286	0.44286
Subject_456	0.41536	0.36202	0.48202
Subject_457	0.44658	0.36258	0.48258
Subject_458	0.48031	0.3115	0.4315
Subject_459	0.46685	0.31769	0.43769
Subject_460	0.47957	0.33581	0.45581
Subject_461	0.49329	0.33308	0.45308
Subject_462	0.38915	0.3666	0.4866
Subject_463	0.50143	0.31542	0.43542
Subject_464	0.51343	0.26441	0.38441
Subject_465	0.43037	0.3613	0.4813
Subject_466	0.4456	0.33424	0.45424
Subject_467	0.48458	0.32407	0.44407
Subject_468	0.49255	0.33891	0.45891
Subject_469	0.45348	0.31843	0.43843
Subject_470	0.55326	0.23793	0.35793
Subject_471	0.40516	0.37322	0.49322
Subject_472	0.48614	0.32583	0.44583
Subject_473	0.4323	0.3626	0.4826
Subject_474	0.44986	0.2932	0.4132
Subject_475	0.39415	0.33719	0.45719
Subject_476	0.42903	0.34463	0.46463
Subject_477	0.45438	0.33628	0.45628
Subject_478	0.44673	0.33388	0.45388
Subject_479	0.50657	0.29578	0.41578
Subject_480	0.39464	0.35645	0.47645
Subject_481	0.46517	0.33325	0.45325
Subject_482	0.40271	0.36647	0.48647
Subject_483	0.39697	0.37045	0.49045
Subject_484	0.46085	0.34469	0.46469
Subject_485	0.47657	0.31249	0.43249
Subject_486	0.41143	0.35387	0.47387
Subject_487	0.40176	0.36726	0.48726
Subject_488	0.48632	0.32085	0.44085
Subject_489	0.39891	0.3613	0.4813
Subject_490	0.45358	0.31153	0.43153
Subject_491	0.42471	0.36052	0.48052
Subject_492	0.48461	0.29976	0.41976
Subject_493	0.44797	0.35135	0.47135
Subject_494	0.45585	0.35764	0.47764
Subject_495	0.46696	0.34035	0.46035
Subject_496	0.45677	0.34436	0.46436
Subject_497	0.49926	0.33709	0.45709
Subject_498	0.51621	0.2653	0.3853
Subject_499	0.46214	0.35967	0.47967
Subject_500	0.47938	0.27124	0.39124
Subject_501	0.45492	0.35455	0.47455
Subject_502	0.43754	0.35696	0.47696
Subject_503	0.46924	0.32318	0.44318
Subject_504	0.43057	0.36591	0.48591
Subject_505	0.43707	0.3604	0.4804
Subject_506	0.45398	0.34677	0.46677
Subject_507	0.42351	0.35348	0.47348
Subject_508	0.43563	0.36013	0.48013
Subject_509	0.43229	0.34646	0.46646
Subject_510	0.49517	0.2993	0.4193
Subject_511	0.4872	0.33346	0.45346
Subject_512	0.4396	0.32817	0.44817
Subject_513	0.51309	0.31286	0.43286
Subject_514	0.50152	0.32808	0.44808
Subject_515	0.41776	0.34828	0.46828
Subject_516	0.38998	0.34834	0.46834
Subject_517	0.52685	0.3086	0.4286
Subject_518	0.52139	0.34819	0.46819
Subject_519	0.39783	0.36493	0.48493
Subject_520	0.41689	0.36772	0.48772
Subject_521	0.46004	0.32717	0.44717
Subject_522	0.46982	0.33284	0.45284
Subject_523	0.50533	0.31014	0.43014
Subject_524	0.33892	0.38149	0.50149
Subject_525	0.49789	0.32281	0.44281
Subject_526	0.4758	0.32437	0.44437
Subject_527	0.53314	0.3114	0.4314
Subject_528	0.52042	0.33708	0.45708
Subject_529	0.48581	0.34027	0.46027
Subject_530	0.45779	0.35451	0.47451
Subject_531	0.46841	0.33869	0.45869
Subject_532	0.44054	0.35425	0.47425
Subject_533	0.49586	0.31645	0.43645
Subject_534	0.40639	0.33951	0.45951
Subject_535	0.46513	0.29095	0.41095
Subject_536	0.47179	0.2864	0.4064
Subject_537	0.51095	0.35723	0.47723
Subject_538	0.41803	0.36004	0.48004
Subject_539	0.44883	0.29996	0.41996
Subject_540	0.45795	0.35352	0.47352
Subject_541	0.46853	0.33872	0.45872
Subject_542	0.45583	0.3585	0.4785
Subject_543	0.42425	0.35695	0.47695
Subject_544	0.43465	0.35351	0.47351
Subject_545	0.44941	0.3435	0.4635
Subject_546	0.4091	0.35053	0.47053
Subject_547	0.41328	0.36068	0.48068
Subject_548	0.44321	0.35491	0.47491
Subject_549	0.4078	0.36173	0.48173
Subject_550	0.46559	0.34344	0.46344
Subject_551	0.42071	0.35333	0.47333
Subject_552	0.4274	0.34114	0.46114
Subject_553	0.5244	0.30662	0.42662
Subject_554	0.46404	0.32475	0.44475
Subject_555	0.47517	0.32139	0.44139
Subject_556	0.43684	0.3633	0.4833
Subject_557	0.44649	0.35719	0.47719
Subject_558	0.4423	0.35878	0.47878
Subject_559	0.46757	0.33336	0.45336
Subject_560	0.48814	0.33892	0.45892
Subject_561	0.40395	0.37711	0.49711
Subject_562	0.45261	0.3361	0.4561
Subject_563	0.46058	0.34935	0.46935
Subject_564	0.48573	0.3461	0.4661
Subject_565	0.50771	0.30722	0.42722
Subject_566	0.45498	0.32199	0.44199
Subject_567	0.53101	0.28151	0.40151
Subject_568	0.53177	0.3178	0.4378
Subject_569	0.44693	0.34931	0.46931
Subject_570	0.48312	0.32826	0.44826
Subject_571	0.38889	0.37338	0.49338
Subject_572	0.42215	0.36425	0.48425
Subject_573	0.45509	0.33599	0.45599
Subject_574	0.38151	0.37057	0.49057
Subject_575	0.54183	0.28614	0.40614
Subject_576	0.49184	0.33273	0.45273
Subject_577	0.47587	0.33872	0.45872
Subject_578	0.54298	0.27138	0.39138
Subject_579	0.49909	0.33994	0.45994
Subject_580	0.47721	0.33943	0.45943
Subject_581	0.42865	0.33712	0.45712
Subject_582	0.42253	0.36125	0.48125
Subject_583	0.49859	0.32204	0.44204
Subject_584	0.40848	0.36944	0.48944
Subject_585	0.47229	0.34176	0.46176
Subject_586	0.47191	0.33007	0.45007
Subject_587	0.45402	0.32853	0.44853
Subject_588	0.50162	0.30748	0.42748
Subject_589	0.40448	0.34647	0.46647
Subject_590	0.4824	0.3215	0.4415
Subject_591	0.48027	0.31171	0.43171
Subject_592	0.44967	0.34211	0.46211
Subject_593	0.43636	0.35391	0.47391
Subject_594	0.49915	0.31994	0.43994
Subject_595	0.47015	0.34383	0.46383
Subject_596	0.48316	0.34559	0.46559
Subject_597	0.39361	0.37712	0.49712
Subject_598	0.41897	0.36854	0.48854
Subject_599	0.35992	0.37753	0.49753
Subject_600	0.45015	0.35393	0.47393
Subject_601	0.47132	0.32314	0.44314
Subject_602	0.42818	0.33297	0.45297
Subject_603	0.43167	0.35073	0.47073
Subject_604	0.50254	0.32226	0.44226
Subject_605	0.43605	0.34074	0.46074
Subject_606	0.516	0.33351	0.45351
Subject_607	0.49307	0.33778	0.45778
Subject_608	0.44227	0.34041	0.46041
Subject_609	0.48091	0.32162	0.44162
Subject_610	0.48662	0.35031	0.47031
Subject_611	0.51977	0.28881	0.40881
Subject_612	0.48466	0.32766	0.44766
Subject_613	0.45863	0.33546	0.45546
Subject_614	0.37815	0.35636	0.47636
Subject_615	0.43721	0.35725	0.47725
Subject_616	0.46832	0.32788	0.44788
Subject_617	0.42504	0.35043	0.47043
Subject_618	0.39034	0.37123	0.49123
Subject_619	0.49298	0.29864	0.41864
Subject_620	0.43424	0.35054	0.47054
Subject_621	0.41926	0.35372	0.47372
Subject_622	0.45444	0.35647	0.47647
Subject_623	0.46508	0.33077	0.45077
Subject_624	0.48528	0.3455	0.4655
Subject_625	0.50375	0.34146	0.46146
Subject_626	0.46829	0.328	0.448
Subject_627	0.54977	0.32556	0.44556
Subject_628	0.5001	0.31602	0.43602
