	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_107	0.46499	0.37546	0.54546
Subject_108	0.52093	0.35157	0.52157
Subject_109	0.50225	0.365	0.535
Subject_110	0.50378	0.34607	0.51607
Subject_111	0.43576	0.37307	0.54307
Subject_112	0.45348	0.3731	0.5431
Subject_113	0.55328	0.34416	0.51416
Subject_114	0.50588	0.34715	0.51715
Subject_115	0.44857	0.37938	0.54938
Subject_116	0.48696	0.35498	0.52498
Subject_117	0.51118	0.3614	0.5314
Subject_118	0.53242	0.32717	0.49717
Subject_119	0.46404	0.37257	0.54257
Subject_120	0.51809	0.35358	0.52358
Subject_121	0.52214	0.36218	0.53218
Subject_122	0.50991	0.36486	0.53486
Subject_123	0.48503	0.37303	0.54303
Subject_124	0.53081	0.35002	0.52002
Subject_125	0.44625	0.37912	0.54912
Subject_126	0.47338	0.37011	0.54011
Subject_127	0.56605	0.33671	0.50671
Subject_128	0.4781	0.35281	0.52281
Subject_129	0.49515	0.36913	0.53913
Subject_130	0.53476	0.34899	0.51899
Subject_131	0.52022	0.35205	0.52205
Subject_132	0.49612	0.36323	0.53323
Subject_133	0.49783	0.36718	0.53718
Subject_134	0.47832	0.35151	0.52151
Subject_135	0.5174	0.36444	0.53444
Subject_136	0.47414	0.35859	0.52859
Subject_137	0.49237	0.36695	0.53695
Subject_138	0.48607	0.36616	0.53616
Subject_139	0.53206	0.35776	0.52776
Subject_140	0.51506	0.3646	0.5346
Subject_141	0.56863	0.32641	0.49641
Subject_142	0.47925	0.36551	0.53551
Subject_143	0.46312	0.37666	0.54666
Subject_144	0.50061	0.3585	0.5285
Subject_145	0.47536	0.36823	0.53823
Subject_146	0.53825	0.35856	0.52856
Subject_147	0.42313	0.37897	0.54897
Subject_148	0.46982	0.36574	0.53574
Subject_149	0.52768	0.35707	0.52707
Subject_150	0.50743	0.35946	0.52946
Subject_151	0.47186	0.36918	0.53918
Subject_152	0.53966	0.34196	0.51196
Subject_153	0.45316	0.37903	0.54903
Subject_154	0.51251	0.36435	0.53435
Subject_155	0.47371	0.36707	0.53707
Subject_156	0.47641	0.36312	0.53312
Subject_157	0.39212	0.38714	0.55714
Subject_158	0.49057	0.37311	0.54311
Subject_159	0.52979	0.29067	0.46067
Subject_160	0.47921	0.3632	0.5332
Subject_161	0.48981	0.35518	0.52518
Subject_162	0.50977	0.36691	0.53691
Subject_163	0.51928	0.34628	0.51628
Subject_164	0.44806	0.36905	0.53905
Subject_165	0.5341	0.34472	0.51472
Subject_166	0.48076	0.36627	0.53627
Subject_167	0.47673	0.36384	0.53384
Subject_168	0.58582	0.33817	0.50817
Subject_169	0.55674	0.32994	0.49994
Subject_170	0.46355	0.36893	0.53893
Subject_171	0.49254	0.35729	0.52729
Subject_172	0.51196	0.36524	0.53524
Subject_173	0.48689	0.37199	0.54199
Subject_174	0.48845	0.35861	0.52861
Subject_175	0.46393	0.37289	0.54289
Subject_176	0.5525	0.33335	0.50335
Subject_177	0.5073	0.35884	0.52884
Subject_178	0.50688	0.35935	0.52935
Subject_179	0.55074	0.35097	0.52097
Subject_180	0.4574	0.3737	0.5437
Subject_181	0.54359	0.33547	0.50547
Subject_182	0.50476	0.36246	0.53246
Subject_183	0.57008	0.32256	0.49256
Subject_184	0.50016	0.36261	0.53261
Subject_185	0.50177	0.36248	0.53248
Subject_186	0.44136	0.37573	0.54573
Subject_187	0.43398	0.37041	0.54041
Subject_188	0.46746	0.36988	0.53988
Subject_189	0.48748	0.36042	0.53042
Subject_190	0.43923	0.37891	0.54891
Subject_191	0.48712	0.35983	0.52983
Subject_192	0.45402	0.37186	0.54186
Subject_193	0.527	0.3498	0.5198
Subject_194	0.49664	0.35806	0.52806
Subject_195	0.50442	0.36849	0.53849
Subject_196	0.53847	0.34247	0.51247
Subject_197	0.55131	0.34142	0.51142
Subject_198	0.54074	0.33808	0.50808
Subject_199	0.52379	0.35148	0.52148
Subject_200	0.5341	0.34658	0.51658
Subject_201	0.43798	0.37686	0.54686
Subject_202	0.53261	0.35551	0.52551
Subject_203	0.51029	0.35448	0.52448
Subject_204	0.44981	0.37628	0.54628
Subject_205	0.48428	0.36685	0.53685
Subject_206	0.53034	0.35411	0.52411
Subject_207	0.45765	0.37495	0.54495
Subject_208	0.54867	0.34882	0.51882
Subject_209	0.49498	0.35845	0.52845
Subject_210	0.5454	0.3497	0.5197
Subject_211	0.52949	0.34275	0.51275
Subject_212	0.57062	0.32536	0.49536
Subject_213	0.48035	0.36558	0.53558
Subject_214	0.51889	0.35323	0.52323
Subject_215	0.51343	0.35814	0.52814
Subject_216	0.53491	0.3603	0.5303
Subject_217	0.46414	0.37575	0.54575
Subject_218	0.55273	0.3383	0.5083
Subject_219	0.57773	0.33943	0.50943
Subject_220	0.49892	0.36542	0.53542
Subject_221	0.52776	0.33974	0.50974
Subject_222	0.48112	0.35851	0.52851
Subject_223	0.46812	0.36201	0.53201
Subject_224	0.49496	0.36044	0.53044
Subject_225	0.43489	0.37735	0.54735
Subject_226	0.56903	0.31277	0.48277
Subject_227	0.46748	0.37008	0.54008
Subject_228	0.49701	0.3596	0.5296
Subject_229	0.44364	0.37322	0.54322
Subject_230	0.55862	0.32457	0.49457
Subject_231	0.50748	0.35478	0.52478
Subject_232	0.45748	0.36947	0.53947
Subject_233	0.46766	0.37557	0.54557
Subject_234	0.48353	0.36675	0.53675
Subject_235	0.52742	0.35443	0.52443
Subject_236	0.52037	0.356	0.526
Subject_237	0.48897	0.36625	0.53625
Subject_238	0.52477	0.34364	0.51364
Subject_239	0.49546	0.36402	0.53402
Subject_240	0.45774	0.37789	0.54789
Subject_241	0.48745	0.35847	0.52847
Subject_242	0.52269	0.29242	0.46242
Subject_243	0.51928	0.36077	0.53077
Subject_244	0.47127	0.37244	0.54244
Subject_245	0.4332	0.37826	0.54826
Subject_246	0.51014	0.36369	0.53369
Subject_247	0.51946	0.36449	0.53449
Subject_248	0.48387	0.37391	0.54391
Subject_249	0.46331	0.37582	0.54582
Subject_250	0.44098	0.37571	0.54571
Subject_251	0.48736	0.36667	0.53667
Subject_252	0.50428	0.34948	0.51948
Subject_253	0.44255	0.37806	0.54806
Subject_254	0.51393	0.34078	0.51078
Subject_255	0.53841	0.358	0.528
Subject_256	0.53744	0.3494	0.5194
Subject_257	0.49093	0.36591	0.53591
Subject_258	0.48303	0.36725	0.53725
Subject_259	0.48414	0.36052	0.53052
Subject_260	0.47283	0.35896	0.52896
Subject_261	0.53738	0.34939	0.51939
Subject_262	0.43306	0.37943	0.54943
Subject_263	0.52082	0.35737	0.52737
Subject_264	0.58187	0.32115	0.49115
Subject_265	0.44779	0.37073	0.54073
Subject_266	0.56615	0.34676	0.51676
Subject_267	0.51203	0.35347	0.52347
Subject_268	0.47661	0.36651	0.53651
Subject_269	0.5666	0.34105	0.51105
Subject_270	0.39602	0.38925	0.55925
Subject_271	0.53351	0.34726	0.51726
Subject_272	0.48986	0.364	0.534
Subject_273	0.45787	0.37762	0.54762
Subject_274	0.5221	0.36048	0.53048
Subject_275	0.50748	0.3638	0.5338
Subject_276	0.4923	0.35508	0.52508
Subject_277	0.57934	0.34487	0.51487
Subject_278	0.48468	0.37068	0.54068
Subject_279	0.52058	0.35466	0.52466
Subject_280	0.45933	0.37102	0.54102
Subject_281	0.50385	0.35565	0.52565
Subject_282	0.47926	0.37231	0.54231
Subject_283	0.44478	0.36369	0.53369
Subject_284	0.43659	0.37121	0.54121
Subject_285	0.51897	0.34317	0.51317
Subject_286	0.5061	0.35931	0.52931
Subject_287	0.46791	0.37514	0.54514
Subject_288	0.45539	0.37455	0.54455
Subject_289	0.49449	0.36594	0.53594
Subject_290	0.49968	0.32091	0.49091
Subject_291	0.42898	0.37895	0.54895
Subject_292	0.51374	0.36269	0.53269
Subject_293	0.46413	0.36156	0.53156
Subject_294	0.53858	0.35039	0.52039
Subject_295	0.48415	0.35508	0.52508
Subject_296	0.48816	0.36757	0.53757
Subject_297	0.51229	0.35039	0.52039
Subject_298	0.51129	0.35945	0.52945
Subject_299	0.4738	0.3718	0.5418
Subject_300	0.54414	0.35085	0.52085
Subject_301	0.49004	0.36679	0.53679
Subject_302	0.49127	0.36768	0.53768
Subject_303	0.50499	0.30829	0.47829
Subject_304	0.51667	0.35358	0.52358
Subject_305	0.45184	0.37537	0.54537
Subject_306	0.50574	0.34592	0.51592
Subject_307	0.53272	0.34652	0.51652
Subject_308	0.47895	0.36561	0.53561
Subject_309	0.54455	0.33851	0.50851
Subject_310	0.55146	0.27774	0.44774
Subject_311	0.50246	0.35913	0.52913
Subject_312	0.4455	0.37284	0.54284
Subject_313	0.45815	0.37381	0.54381
Subject_314	0.47193	0.37278	0.54278
Subject_315	0.55813	0.34511	0.51511
Subject_316	0.49091	0.36872	0.53872
Subject_317	0.55895	0.31957	0.48957
Subject_318	0.57488	0.33422	0.50422
Subject_319	0.50131	0.36453	0.53453
Subject_320	0.50948	0.35907	0.52907
Subject_321	0.48982	0.34583	0.51583
Subject_322	0.5006	0.36252	0.53252
Subject_323	0.48596	0.35621	0.52621
Subject_324	0.56662	0.32666	0.49666
Subject_325	0.46034	0.37468	0.54468
Subject_326	0.56269	0.34771	0.51771
Subject_327	0.49651	0.36572	0.53572
Subject_328	0.45151	0.37567	0.54567
Subject_329	0.51145	0.36189	0.53189
Subject_330	0.55591	0.34121	0.51121
Subject_331	0.49818	0.3555	0.5255
Subject_332	0.45713	0.37293	0.54293
Subject_333	0.47835	0.35129	0.52129
Subject_334	0.48847	0.36282	0.53282
Subject_335	0.46892	0.36982	0.53982
Subject_336	0.48369	0.36931	0.53931
Subject_337	0.52491	0.35407	0.52407
Subject_338	0.55548	0.33465	0.50465
Subject_339	0.47263	0.36295	0.53295
Subject_340	0.44499	0.3772	0.5472
Subject_341	0.44808	0.37463	0.54463
Subject_342	0.47504	0.36843	0.53843
Subject_343	0.52053	0.35396	0.52396
Subject_344	0.552	0.30587	0.47587
Subject_345	0.50572	0.35692	0.52692
Subject_346	0.50409	0.36082	0.53082
Subject_347	0.51387	0.36141	0.53141
Subject_348	0.54079	0.34298	0.51298
Subject_349	0.53121	0.35537	0.52537
Subject_350	0.51017	0.34702	0.51702
Subject_351	0.48986	0.36706	0.53706
Subject_352	0.44223	0.37543	0.54543
Subject_353	0.46275	0.36641	0.53641
Subject_354	0.50634	0.34727	0.51727
Subject_355	0.45352	0.37484	0.54484
Subject_356	0.4564	0.36929	0.53929
Subject_357	0.49058	0.35275	0.52275
Subject_358	0.55216	0.34663	0.51663
Subject_359	0.53149	0.33462	0.50462
Subject_360	0.48908	0.36535	0.53535
Subject_361	0.52171	0.36245	0.53245
Subject_362	0.51894	0.32954	0.49954
Subject_363	0.47689	0.36421	0.53421
Subject_364	0.49396	0.36126	0.53126
Subject_365	0.39901	0.38808	0.55808
Subject_366	0.49142	0.3676	0.5376
Subject_367	0.49666	0.37005	0.54005
Subject_368	0.55636	0.34721	0.51721
Subject_369	0.46141	0.36467	0.53467
Subject_370	0.53477	0.35026	0.52026
Subject_371	0.50056	0.36154	0.53154
Subject_372	0.51199	0.36384	0.53384
Subject_373	0.42844	0.37793	0.54793
Subject_374	0.43976	0.37571	0.54571
Subject_375	0.55988	0.34308	0.51308
Subject_376	0.56991	0.3367	0.5067
Subject_377	0.54221	0.34654	0.51654
Subject_378	0.49581	0.36417	0.53417
Subject_379	0.57397	0.28109	0.45109
Subject_380	0.46647	0.36867	0.53867
Subject_381	0.49943	0.36376	0.53376
Subject_382	0.47526	0.35234	0.52234
Subject_383	0.47166	0.36522	0.53522
Subject_384	0.5464	0.34424	0.51424
Subject_385	0.49276	0.36121	0.53121
Subject_386	0.50085	0.35578	0.52578
Subject_387	0.51462	0.36666	0.53666
Subject_388	0.47392	0.37084	0.54084
Subject_389	0.52163	0.35517	0.52517
Subject_390	0.45751	0.37493	0.54493
Subject_391	0.54828	0.35156	0.52156
Subject_392	0.48953	0.35771	0.52771
Subject_393	0.49833	0.35101	0.52101
Subject_394	0.51342	0.36036	0.53036
Subject_395	0.43088	0.38099	0.55099
Subject_396	0.50975	0.3508	0.5208
Subject_397	0.48045	0.36545	0.53545
Subject_398	0.46716	0.37125	0.54125
Subject_399	0.5288	0.35499	0.52499
Subject_400	0.51596	0.3487	0.5187
Subject_401	0.44479	0.37701	0.54701
Subject_402	0.41773	0.38234	0.55234
Subject_403	0.49287	0.36839	0.53839
Subject_404	0.47521	0.36922	0.53922
Subject_405	0.50023	0.30495	0.47495
Subject_406	0.53875	0.34924	0.51924
Subject_407	0.49007	0.36564	0.53564
Subject_408	0.41683	0.37997	0.54997
Subject_409	0.47431	0.36611	0.53611
Subject_410	0.50031	0.3676	0.5376
Subject_411	0.50152	0.36429	0.53429
Subject_412	0.49955	0.35839	0.52839
Subject_413	0.47689	0.3585	0.5285
Subject_414	0.56677	0.33681	0.50681
Subject_415	0.49379	0.35596	0.52596
Subject_416	0.45675	0.37545	0.54545
Subject_417	0.48746	0.36385	0.53385
Subject_418	0.49788	0.36477	0.53477
Subject_419	0.48024	0.37047	0.54047
Subject_420	0.50914	0.35123	0.52123
Subject_421	0.48515	0.34818	0.51818
Subject_422	0.52858	0.34836	0.51836
Subject_423	0.47891	0.36866	0.53866
Subject_424	0.52685	0.34455	0.51455
Subject_425	0.43413	0.37526	0.54526
Subject_426	0.46349	0.37042	0.54042
Subject_427	0.48606	0.36799	0.53799
Subject_428	0.38779	0.38619	0.55619
Subject_429	0.5606	0.30401	0.47401
Subject_430	0.46027	0.37039	0.54039
Subject_431	0.4379	0.37701	0.54701
Subject_432	0.45283	0.37522	0.54522
Subject_433	0.42105	0.37814	0.54814
Subject_434	0.53496	0.36058	0.53058
Subject_435	0.47079	0.3754	0.5454
Subject_436	0.47879	0.36683	0.53683
Subject_437	0.46347	0.36814	0.53814
Subject_438	0.49801	0.36302	0.53302
Subject_439	0.54313	0.33933	0.50933
Subject_440	0.45999	0.36348	0.53348
Subject_441	0.43347	0.38006	0.55006
Subject_442	0.47142	0.35779	0.52779
Subject_443	0.4437	0.37986	0.54986
Subject_444	0.4909	0.36304	0.53304
Subject_445	0.46528	0.37071	0.54071
Subject_446	0.48383	0.3632	0.5332
Subject_447	0.51252	0.34239	0.51239
Subject_448	0.53938	0.32107	0.49107
Subject_449	0.50244	0.3684	0.5384
Subject_450	0.47032	0.3569	0.5269
Subject_451	0.52254	0.35934	0.52934
Subject_452	0.55685	0.34558	0.51558
Subject_453	0.49697	0.33461	0.50461
Subject_454	0.53865	0.35667	0.52667
Subject_455	0.4946	0.3497	0.5197
Subject_456	0.44814	0.37173	0.54173
Subject_457	0.44512	0.37587	0.54587
Subject_458	0.49706	0.33403	0.50403
Subject_459	0.50338	0.35157	0.52157
Subject_460	0.49762	0.35723	0.52723
Subject_461	0.52061	0.36044	0.53044
Subject_462	0.40959	0.37846	0.54846
Subject_463	0.50273	0.34173	0.51173
Subject_464	0.54888	0.31292	0.48292
Subject_465	0.45757	0.37615	0.54615
Subject_466	0.47716	0.35716	0.52716
Subject_467	0.49255	0.35703	0.52703
Subject_468	0.51181	0.35288	0.52288
Subject_469	0.52281	0.34182	0.51182
Subject_470	0.5919	0.29457	0.46457
Subject_471	0.41567	0.38493	0.55493
Subject_472	0.50723	0.34628	0.51628
Subject_473	0.45514	0.37548	0.54548
Subject_474	0.50633	0.32893	0.49893
Subject_475	0.43056	0.3722	0.5422
Subject_476	0.47311	0.36835	0.53835
Subject_477	0.47218	0.36133	0.53133
Subject_478	0.47235	0.36085	0.53085
Subject_479	0.53798	0.33167	0.50167
Subject_480	0.43363	0.36982	0.53982
Subject_481	0.50974	0.35227	0.52227
Subject_482	0.42332	0.38294	0.55294
Subject_483	0.41252	0.38315	0.55315
Subject_484	0.4814	0.368	0.538
Subject_485	0.52491	0.33758	0.50758
Subject_486	0.44032	0.3668	0.5368
Subject_487	0.43099	0.38023	0.55023
Subject_488	0.50715	0.34979	0.51979
Subject_489	0.42928	0.37788	0.54788
Subject_490	0.49143	0.32374	0.49374
Subject_491	0.44482	0.37262	0.54262
Subject_492	0.52804	0.34178	0.51178
Subject_493	0.45427	0.36549	0.53549
Subject_494	0.47038	0.37473	0.54473
Subject_495	0.48043	0.35708	0.52708
Subject_496	0.46363	0.36403	0.53403
Subject_497	0.50794	0.3629	0.5329
Subject_498	0.55777	0.30938	0.47938
Subject_499	0.50391	0.36772	0.53772
Subject_500	0.54789	0.31315	0.48315
Subject_501	0.48171	0.36967	0.53967
Subject_502	0.44926	0.37521	0.54521
Subject_503	0.4917	0.35467	0.52467
Subject_504	0.43824	0.38004	0.55004
Subject_505	0.43433	0.37769	0.54769
Subject_506	0.47222	0.36929	0.53929
Subject_507	0.44839	0.37344	0.54344
Subject_508	0.45407	0.37825	0.54825
Subject_509	0.45878	0.36901	0.53901
Subject_510	0.5378	0.33734	0.50734
Subject_511	0.47244	0.36233	0.53233
Subject_512	0.49373	0.3616	0.5316
Subject_513	0.52317	0.35106	0.52106
Subject_514	0.51884	0.35435	0.52435
Subject_515	0.45874	0.37228	0.54228
Subject_516	0.45128	0.37164	0.54164
Subject_517	0.5516	0.34163	0.51163
Subject_518	0.52084	0.36647	0.53647
Subject_519	0.41831	0.37658	0.54658
Subject_520	0.44378	0.37643	0.54643
Subject_521	0.51025	0.3516	0.5216
Subject_522	0.49845	0.36132	0.53132
Subject_523	0.54196	0.34088	0.51088
Subject_524	0.3699	0.39067	0.56067
Subject_525	0.53566	0.35404	0.52404
Subject_526	0.48878	0.36087	0.53087
Subject_527	0.5426	0.34736	0.51736
Subject_528	0.53469	0.35995	0.52995
Subject_529	0.49642	0.35893	0.52893
Subject_530	0.48746	0.37015	0.54015
Subject_531	0.48358	0.36049	0.53049
Subject_532	0.45715	0.37013	0.54013
Subject_533	0.52212	0.34518	0.51518
Subject_534	0.45395	0.36845	0.53845
Subject_535	0.48678	0.32657	0.49657
Subject_536	0.50542	0.32789	0.49789
Subject_537	0.5017	0.36973	0.53973
Subject_538	0.44497	0.37409	0.54409
Subject_539	0.4932	0.31828	0.48828
Subject_540	0.47857	0.36864	0.53864
Subject_541	0.48227	0.35894	0.52894
Subject_542	0.46791	0.375	0.545
Subject_543	0.47422	0.36543	0.53543
Subject_544	0.46313	0.37038	0.54038
Subject_545	0.47648	0.36937	0.53937
Subject_546	0.44974	0.36887	0.53887
Subject_547	0.44658	0.37528	0.54528
Subject_548	0.45255	0.37457	0.54457
Subject_549	0.4287	0.37988	0.54988
Subject_550	0.49862	0.36553	0.53553
Subject_551	0.46338	0.36641	0.53641
Subject_552	0.46611	0.36225	0.53225
Subject_553	0.55817	0.34381	0.51381
Subject_554	0.48637	0.3467	0.5167
Subject_555	0.50907	0.3485	0.5185
Subject_556	0.43656	0.37723	0.54723
Subject_557	0.46601	0.37094	0.54094
Subject_558	0.45577	0.37338	0.54338
Subject_559	0.48673	0.35533	0.52533
Subject_560	0.51365	0.35793	0.52793
Subject_561	0.41471	0.38651	0.55651
Subject_562	0.46224	0.36369	0.53369
Subject_563	0.44504	0.37521	0.54521
Subject_564	0.48982	0.36465	0.53465
Subject_565	0.51434	0.33644	0.50644
Subject_566	0.51217	0.35682	0.52682
Subject_567	0.59651	0.31334	0.48334
Subject_568	0.51995	0.3461	0.5161
Subject_569	0.47906	0.37071	0.54071
Subject_570	0.52	0.35382	0.52382
Subject_571	0.40941	0.38511	0.55511
Subject_572	0.44007	0.37817	0.54817
Subject_573	0.47565	0.34937	0.51937
Subject_574	0.41017	0.37807	0.54807
Subject_575	0.56549	0.32586	0.49586
Subject_576	0.48656	0.35642	0.52642
Subject_577	0.50395	0.36526	0.53526
Subject_578	0.5992	0.31738	0.48738
Subject_579	0.5056	0.35809	0.52809
Subject_580	0.49002	0.35944	0.52944
Subject_581	0.46525	0.36623	0.53623
Subject_582	0.44491	0.37443	0.54443
Subject_583	0.50975	0.34842	0.51842
Subject_584	0.43269	0.37978	0.54978
Subject_585	0.48346	0.36495	0.53495
Subject_586	0.48356	0.35756	0.52756
Subject_587	0.49457	0.35994	0.52994
Subject_588	0.53759	0.3503	0.5203
Subject_589	0.43998	0.36786	0.53786
Subject_590	0.51347	0.35134	0.52134
Subject_591	0.533	0.33312	0.50312
Subject_592	0.49555	0.35833	0.52833
Subject_593	0.45649	0.36844	0.53844
Subject_594	0.5214	0.35615	0.52615
Subject_595	0.47881	0.36655	0.53655
Subject_596	0.48743	0.3695	0.5395
Subject_597	0.41554	0.38666	0.55666
Subject_598	0.42363	0.38177	0.55177
Subject_599	0.37649	0.3885	0.5585
Subject_600	0.45593	0.37196	0.54196
Subject_601	0.49249	0.3555	0.5255
Subject_602	0.47461	0.35535	0.52535
Subject_603	0.44422	0.37257	0.54257
Subject_604	0.54648	0.35161	0.52161
Subject_605	0.46438	0.37258	0.54258
Subject_606	0.52702	0.35333	0.52333
Subject_607	0.49383	0.35963	0.52963
Subject_608	0.47829	0.3618	0.5318
Subject_609	0.53658	0.34581	0.51581
Subject_610	0.48751	0.3673	0.5373
Subject_611	0.56022	0.32405	0.49405
Subject_612	0.48935	0.3601	0.5301
Subject_613	0.48477	0.36209	0.53209
Subject_614	0.39976	0.37982	0.54982
Subject_615	0.4571	0.37043	0.54043
Subject_616	0.49458	0.34625	0.51625
Subject_617	0.43607	0.37452	0.54452
Subject_618	0.43355	0.38075	0.55075
Subject_619	0.51525	0.34268	0.51268
Subject_620	0.4442	0.37395	0.54395
Subject_621	0.46343	0.368	0.538
Subject_622	0.47849	0.36756	0.53756
Subject_623	0.49353	0.35826	0.52826
Subject_624	0.52739	0.36184	0.53184
Subject_625	0.52192	0.36245	0.53245
Subject_626	0.5144	0.35214	0.52214
Subject_627	0.54816	0.34616	0.51616
Subject_628	0.54741	0.3488	0.5188
