	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_001	0.46185	0.37447	0.54447
Subject_002	0.43201	0.37807	0.54807
Subject_003	0.46148	0.37383	0.54383
Subject_004	0.46854	0.36351	0.53351
Subject_005	0.44235	0.37788	0.54788
Subject_006	0.49014	0.36708	0.53708
Subject_007	0.51277	0.35238	0.52238
Subject_008	0.52382	0.35124	0.52124
Subject_009	0.55933	0.33632	0.50632
Subject_010	0.46637	0.37602	0.54602
Subject_011	0.486	0.36408	0.53408
Subject_012	0.49063	0.36506	0.53506
Subject_013	0.4875	0.36909	0.53909
Subject_014	0.5051	0.36347	0.53347
Subject_015	0.501	0.35295	0.52295
Subject_016	0.52576	0.34706	0.51706
Subject_017	0.49766	0.36238	0.53238
Subject_018	0.5141	0.35712	0.52712
Subject_019	0.48075	0.37078	0.54078
Subject_020	0.52988	0.35492	0.52492
Subject_021	0.48645	0.37442	0.54442
Subject_022	0.44185	0.37829	0.54829
Subject_023	0.47478	0.3703	0.5403
Subject_024	0.54268	0.35725	0.52725
Subject_025	0.46732	0.36941	0.53941
Subject_026	0.52485	0.36078	0.53078
Subject_027	0.47425	0.36716	0.53716
Subject_028	0.44041	0.37238	0.54238
Subject_029	0.46478	0.37149	0.54149
Subject_030	0.54837	0.33509	0.50509
Subject_031	0.49659	0.36854	0.53854
Subject_032	0.43696	0.37709	0.54709
Subject_033	0.57289	0.34699	0.51699
Subject_034	0.53438	0.35679	0.52679
Subject_035	0.47436	0.36937	0.53937
Subject_036	0.46615	0.37337	0.54337
Subject_037	0.49483	0.3588	0.5288
Subject_038	0.51193	0.35785	0.52785
Subject_039	0.58174	0.3351	0.5051
Subject_040	0.47638	0.37036	0.54036
Subject_041	0.52612	0.3632	0.5332
Subject_042	0.52562	0.35526	0.52526
Subject_043	0.47838	0.37406	0.54406
Subject_044	0.53257	0.35579	0.52579
Subject_045	0.478	0.35781	0.52781
Subject_046	0.49169	0.36497	0.53497
Subject_047	0.49811	0.36134	0.53134
Subject_048	0.46456	0.37005	0.54005
Subject_049	0.49227	0.36717	0.53717
Subject_050	0.5257	0.36032	0.53032
Subject_051	0.51047	0.34421	0.51421
Subject_052	0.57935	0.33101	0.50101
Subject_053	0.50704	0.35568	0.52568
Subject_054	0.50184	0.35698	0.52698
Subject_055	0.47684	0.37078	0.54078
Subject_056	0.5267	0.35661	0.52661
Subject_057	0.48107	0.35986	0.52986
Subject_058	0.47773	0.3678	0.5378
Subject_059	0.46355	0.36859	0.53859
Subject_060	0.54562	0.35185	0.52185
Subject_061	0.50349	0.36001	0.53001
Subject_062	0.56248	0.33813	0.50813
Subject_063	0.44989	0.37947	0.54947
Subject_064	0.5008	0.36105	0.53105
Subject_065	0.55551	0.35248	0.52248
Subject_066	0.58482	0.34372	0.51372
Subject_067	0.52568	0.35835	0.52835
Subject_068	0.49952	0.36361	0.53361
Subject_069	0.43824	0.37949	0.54949
Subject_070	0.5615	0.3474	0.5174
Subject_071	0.57652	0.33048	0.50048
Subject_072	0.51595	0.35908	0.52908
Subject_073	0.47286	0.36219	0.53219
Subject_074	0.49842	0.3704	0.5404
Subject_075	0.51701	0.36233	0.53233
Subject_076	0.47517	0.37374	0.54374
Subject_077	0.55611	0.34523	0.51523
Subject_078	0.50463	0.35907	0.52907
Subject_079	0.52811	0.3485	0.5185
Subject_080	0.48516	0.3676	0.5376
Subject_081	0.54654	0.33628	0.50628
Subject_082	0.52485	0.3556	0.5256
Subject_083	0.47747	0.37034	0.54034
Subject_084	0.50899	0.36105	0.53105
Subject_085	0.4889	0.36642	0.53642
Subject_086	0.55363	0.36058	0.53058
Subject_087	0.58549	0.31636	0.48636
Subject_088	0.55393	0.34975	0.51975
Subject_089	0.53542	0.3507	0.5207
Subject_090	0.541	0.34707	0.51707
Subject_091	0.46575	0.37224	0.54224
Subject_092	0.54289	0.35615	0.52615
Subject_093	0.46467	0.36976	0.53976
Subject_094	0.4695	0.37317	0.54317
Subject_095	0.54179	0.34539	0.51539
Subject_096	0.49857	0.37203	0.54203
Subject_097	0.48203	0.36885	0.53885
Subject_098	0.50583	0.36433	0.53433
Subject_099	0.52915	0.35832	0.52832
Subject_100	0.50438	0.34554	0.51554
Subject_101	0.52724	0.36109	0.53109
Subject_102	0.41791	0.38172	0.55172
Subject_103	0.43085	0.38125	0.55125
Subject_104	0.50249	0.35657	0.52657
Subject_105	0.46109	0.37116	0.54116
Subject_106	0.41297	0.38193	0.55193
