	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_001	0.46523	0.36936	0.51936
Subject_002	0.43552	0.37584	0.52584
Subject_003	0.45791	0.36929	0.51929
Subject_004	0.4563	0.3632	0.5132
Subject_005	0.43462	0.37222	0.52222
Subject_006	0.48577	0.36531	0.51531
Subject_007	0.5189	0.34342	0.49342
Subject_008	0.52263	0.33873	0.48873
Subject_009	0.53471	0.32509	0.47509
Subject_010	0.46764	0.37096	0.52096
Subject_011	0.49533	0.35395	0.50395
Subject_012	0.48618	0.36052	0.51052
Subject_013	0.50123	0.36241	0.51241
Subject_014	0.4995	0.35838	0.50838
Subject_015	0.50836	0.34849	0.49849
Subject_016	0.52009	0.33978	0.48978
Subject_017	0.48815	0.36026	0.51026
Subject_018	0.5107	0.3473	0.4973
Subject_019	0.47657	0.3665	0.5165
Subject_020	0.51914	0.34327	0.49327
Subject_021	0.48333	0.37035	0.52035
Subject_022	0.4426	0.37403	0.52403
Subject_023	0.47863	0.36482	0.51482
Subject_024	0.54922	0.35125	0.50125
Subject_025	0.46479	0.3674	0.5174
Subject_026	0.52181	0.35608	0.50608
Subject_027	0.46615	0.36348	0.51348
Subject_028	0.43437	0.36925	0.51925
Subject_029	0.46576	0.36759	0.51759
Subject_030	0.5451	0.33285	0.48285
Subject_031	0.48267	0.36467	0.51467
Subject_032	0.43062	0.374	0.524
Subject_033	0.5715	0.34067	0.49067
Subject_034	0.52101	0.35339	0.50339
Subject_035	0.45628	0.36756	0.51756
Subject_036	0.47068	0.37077	0.52077
Subject_037	0.49296	0.35182	0.50182
Subject_038	0.51741	0.35641	0.50641
Subject_039	0.57311	0.32726	0.47726
Subject_040	0.47266	0.36625	0.51625
Subject_041	0.51247	0.35074	0.50074
Subject_042	0.51465	0.34278	0.49278
Subject_043	0.48263	0.36959	0.51959
Subject_044	0.52269	0.34919	0.49919
Subject_045	0.47248	0.35116	0.50116
Subject_046	0.4889	0.36299	0.51299
Subject_047	0.48941	0.35757	0.50757
Subject_048	0.45663	0.36962	0.51962
Subject_049	0.48772	0.35867	0.50867
Subject_050	0.52272	0.35829	0.50829
Subject_051	0.499	0.33983	0.48983
Subject_052	0.57014	0.32077	0.47077
Subject_053	0.51299	0.35159	0.50159
Subject_054	0.49477	0.35102	0.50102
Subject_055	0.47021	0.36657	0.51657
Subject_056	0.51058	0.35375	0.50375
Subject_057	0.46961	0.3555	0.5055
Subject_058	0.47076	0.36401	0.51401
Subject_059	0.4573	0.36599	0.51599
Subject_060	0.54471	0.34693	0.49693
Subject_061	0.49146	0.35686	0.50686
Subject_062	0.55407	0.32919	0.47919
Subject_063	0.45056	0.37451	0.52451
Subject_064	0.49741	0.35869	0.50869
Subject_065	0.54095	0.34739	0.49739
Subject_066	0.57998	0.33443	0.48443
Subject_067	0.52208	0.35343	0.50343
Subject_068	0.48387	0.36087	0.51087
Subject_069	0.42994	0.37807	0.52807
Subject_070	0.54117	0.33829	0.48829
Subject_071	0.5797	0.31407	0.46407
Subject_072	0.5169	0.35088	0.50088
Subject_073	0.45905	0.35455	0.50455
Subject_074	0.50138	0.36639	0.51639
Subject_075	0.50408	0.3563	0.5063
Subject_076	0.46284	0.37158	0.52158
Subject_077	0.53901	0.34055	0.49055
Subject_078	0.49773	0.3546	0.5046
Subject_079	0.51801	0.34408	0.49408
Subject_080	0.478	0.3629	0.5129
Subject_081	0.53822	0.31749	0.46749
Subject_082	0.52171	0.34958	0.49958
Subject_083	0.47576	0.36524	0.51524
Subject_084	0.49457	0.35714	0.50714
Subject_085	0.48204	0.36333	0.51333
Subject_086	0.54508	0.35544	0.50544
Subject_087	0.57773	0.30873	0.45873
Subject_088	0.52702	0.34346	0.49346
Subject_089	0.53591	0.34614	0.49614
Subject_090	0.53009	0.33861	0.48861
Subject_091	0.47041	0.36632	0.51632
Subject_092	0.53816	0.34708	0.49708
Subject_093	0.46345	0.36809	0.51809
Subject_094	0.46377	0.37067	0.52067
Subject_095	0.53755	0.32897	0.47897
Subject_096	0.48391	0.37025	0.52025
Subject_097	0.48854	0.35856	0.50856
Subject_098	0.5129	0.35924	0.50924
Subject_099	0.52129	0.35077	0.50077
Subject_100	0.47098	0.33373	0.48373
Subject_101	0.5208	0.35512	0.50512
Subject_102	0.42136	0.37772	0.52772
Subject_103	0.42854	0.37967	0.52967
Subject_104	0.48681	0.35259	0.50259
Subject_105	0.45989	0.36226	0.51226
Subject_106	0.40361	0.38061	0.53061
Subject_107	0.46724	0.37212	0.52212
Subject_108	0.51674	0.3415	0.4915
Subject_109	0.51247	0.35625	0.50625
Subject_110	0.5011	0.34098	0.49098
Subject_111	0.43264	0.36992	0.51992
Subject_112	0.44267	0.37025	0.52025
