	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_258	0.4815	0.34412	0.44412
Subject_259	0.428	0.32513	0.42513
Subject_260	0.42054	0.30689	0.40689
Subject_261	0.52001	0.30542	0.40542
Subject_262	0.43647	0.34468	0.44468
Subject_263	0.48744	0.31237	0.41237
Subject_264	0.55463	0.25374	0.35374
Subject_265	0.41179	0.33708	0.43708
Subject_266	0.54935	0.309	0.409
Subject_267	0.4459	0.30819	0.40819
Subject_268	0.44094	0.31526	0.41526
Subject_269	0.4994	0.26948	0.36948
Subject_270	0.38038	0.36989	0.46989
Subject_271	0.49966	0.32035	0.42035
Subject_272	0.48876	0.3072	0.4072
Subject_273	0.42849	0.35255	0.45255
Subject_274	0.47953	0.31423	0.41423
Subject_275	0.45084	0.32413	0.42413
Subject_276	0.40923	0.2972	0.3972
Subject_277	0.49471	0.28429	0.38429
Subject_278	0.4752	0.33341	0.43341
Subject_279	0.52598	0.3124	0.4124
Subject_280	0.47952	0.33288	0.43288
Subject_281	0.48099	0.30704	0.40704
Subject_282	0.45931	0.32636	0.42636
Subject_283	0.39526	0.32942	0.42942
Subject_284	0.38988	0.33007	0.43007
Subject_285	0.48305	0.30265	0.40265
Subject_286	0.46104	0.32454	0.42454
Subject_287	0.42748	0.32548	0.42548
Subject_288	0.41302	0.33169	0.43169
Subject_289	0.48162	0.33436	0.43436
Subject_290	0.43463	0.28587	0.38587
Subject_291	0.39688	0.3503	0.4503
Subject_292	0.50814	0.32086	0.42086
Subject_293	0.41547	0.29438	0.39438
Subject_294	0.4936	0.31496	0.41496
Subject_295	0.46393	0.31834	0.41834
Subject_296	0.49742	0.33332	0.43332
Subject_297	0.50233	0.28179	0.38179
Subject_298	0.46702	0.32342	0.42342
Subject_299	0.46359	0.34039	0.44039
Subject_300	0.48044	0.29666	0.39666
Subject_301	0.4566	0.3352	0.4352
Subject_302	0.48661	0.32869	0.42869
Subject_303	0.42804	0.25229	0.35229
Subject_304	0.48759	0.31208	0.41208
Subject_305	0.42674	0.32971	0.42971
Subject_306	0.44707	0.30487	0.40487
Subject_307	0.50208	0.30242	0.40242
Subject_308	0.43216	0.32397	0.42397
Subject_309	0.50295	0.27357	0.37357
Subject_310	0.49172	0.21191	0.31191
Subject_311	0.48537	0.32098	0.42098
Subject_312	0.42533	0.32299	0.42299
Subject_313	0.42519	0.34614	0.44614
Subject_314	0.4409	0.33008	0.43008
Subject_315	0.50613	0.3063	0.4063
Subject_316	0.49149	0.33289	0.43289
Subject_317	0.49423	0.25916	0.35916
Subject_318	0.54106	0.26249	0.36249
Subject_319	0.4719	0.32643	0.42643
Subject_320	0.49299	0.31532	0.41532
Subject_321	0.44028	0.3071	0.4071
Subject_322	0.45475	0.33118	0.43118
Subject_323	0.45178	0.29272	0.39272
Subject_324	0.49551	0.24907	0.34907
Subject_325	0.43764	0.33128	0.43128
Subject_326	0.50459	0.29881	0.39881
Subject_327	0.50379	0.31531	0.41531
Subject_328	0.43854	0.35216	0.45216
Subject_329	0.46916	0.32136	0.42136
Subject_330	0.48845	0.2848	0.3848
Subject_331	0.47176	0.32042	0.42042
Subject_332	0.44529	0.32339	0.42339
Subject_333	0.46942	0.31038	0.41038
Subject_334	0.44766	0.30816	0.40816
Subject_335	0.46341	0.3334	0.4334
Subject_336	0.48059	0.33425	0.43425
Subject_337	0.51667	0.27981	0.37981
Subject_338	0.47177	0.28713	0.38713
Subject_339	0.45744	0.32475	0.42475
Subject_340	0.43071	0.34816	0.44816
Subject_341	0.41871	0.35212	0.45212
Subject_342	0.45695	0.33318	0.43318
Subject_343	0.48464	0.31575	0.41575
Subject_344	0.50922	0.26324	0.36324
Subject_345	0.49625	0.31107	0.41107
Subject_346	0.4959	0.32672	0.42672
Subject_347	0.47194	0.31992	0.41992
Subject_348	0.47216	0.28313	0.38313
Subject_349	0.52919	0.3185	0.4185
Subject_350	0.49095	0.31929	0.41929
Subject_351	0.45881	0.33741	0.43741
Subject_352	0.42555	0.3463	0.4463
Subject_353	0.44506	0.32198	0.42198
Subject_354	0.48319	0.292	0.392
Subject_355	0.42499	0.34103	0.44103
Subject_356	0.39554	0.3281	0.4281
Subject_357	0.40052	0.31759	0.41759
Subject_358	0.49883	0.29808	0.39808
Subject_359	0.46994	0.29725	0.39725
Subject_360	0.48571	0.32481	0.42481
Subject_361	0.49209	0.32047	0.42047
Subject_362	0.48069	0.26509	0.36509
Subject_363	0.42551	0.31383	0.41383
Subject_364	0.47474	0.31799	0.41799
Subject_365	0.34854	0.3667	0.4667
Subject_366	0.45274	0.31933	0.41933
Subject_367	0.50249	0.33141	0.43141
Subject_368	0.53697	0.27744	0.37744
Subject_369	0.44119	0.33873	0.43873
Subject_370	0.50829	0.30737	0.40737
Subject_371	0.46426	0.33619	0.43619
Subject_372	0.48972	0.31634	0.41634
Subject_373	0.42793	0.35063	0.45063
Subject_374	0.43249	0.33386	0.43386
Subject_375	0.53588	0.30313	0.40313
Subject_376	0.53004	0.27857	0.37857
Subject_377	0.51219	0.26509	0.36509
Subject_378	0.49851	0.32701	0.42701
Subject_379	0.49798	0.22554	0.32554
Subject_380	0.44475	0.33684	0.43684
Subject_381	0.46118	0.3371	0.4371
Subject_382	0.43497	0.3099	0.4099
Subject_383	0.40951	0.33138	0.43138
Subject_384	0.46015	0.28993	0.38993
Subject_385	0.4661	0.33014	0.43014
Subject_386	0.46679	0.30227	0.40227
Subject_387	0.47984	0.3097	0.4097
Subject_388	0.45377	0.34643	0.44643
Subject_389	0.44243	0.30826	0.40826
Subject_390	0.4366	0.3466	0.4466
Subject_391	0.46796	0.29755	0.39755
Subject_392	0.45443	0.32337	0.42337
Subject_393	0.46349	0.30467	0.40467
Subject_394	0.50989	0.31003	0.41003
Subject_395	0.35036	0.35802	0.45802
Subject_396	0.44717	0.29677	0.39677
Subject_397	0.47258	0.33333	0.43333
Subject_398	0.4323	0.34449	0.44449
Subject_399	0.51138	0.3181	0.4181
Subject_400	0.45771	0.29006	0.39006
Subject_401	0.44426	0.35315	0.45315
Subject_402	0.39274	0.35564	0.45564
Subject_403	0.46467	0.32487	0.42487
Subject_404	0.48191	0.3327	0.4327
Subject_405	0.46113	0.28866	0.38866
Subject_406	0.52467	0.29543	0.39543
Subject_407	0.48478	0.33011	0.43011
Subject_408	0.3694	0.35094	0.45094
Subject_409	0.44334	0.3371	0.4371
Subject_410	0.43529	0.32237	0.42237
Subject_411	0.50336	0.32728	0.42728
Subject_412	0.44802	0.32093	0.42093
Subject_413	0.45144	0.33664	0.43664
Subject_414	0.51997	0.2727	0.3727
Subject_415	0.46642	0.3242	0.4242
Subject_416	0.46084	0.32839	0.42839
Subject_417	0.45263	0.31577	0.41577
Subject_418	0.46283	0.3129	0.4129
Subject_419	0.46304	0.32211	0.42211
Subject_420	0.43411	0.31746	0.41746
Subject_421	0.45025	0.2967	0.3967
Subject_422	0.47315	0.28551	0.38551
Subject_423	0.4424	0.33455	0.43455
Subject_424	0.50104	0.28697	0.38697
Subject_425	0.38137	0.35052	0.45052
Subject_426	0.41734	0.32262	0.42262
Subject_427	0.47319	0.32506	0.42506
Subject_428	0.38554	0.36092	0.46092
Subject_429	0.49241	0.25169	0.35169
Subject_430	0.40979	0.34879	0.44879
Subject_431	0.40331	0.35068	0.45068
Subject_432	0.43056	0.33629	0.43629
Subject_433	0.39233	0.33983	0.43983
Subject_434	0.49133	0.33824	0.43824
Subject_435	0.4129	0.34676	0.44676
Subject_436	0.46548	0.33746	0.43746
Subject_437	0.4435	0.30695	0.40695
Subject_438	0.46815	0.32526	0.42526
Subject_439	0.49264	0.29526	0.39526
Subject_440	0.41351	0.31712	0.41712
Subject_441	0.41919	0.35802	0.45802
Subject_442	0.44188	0.31457	0.41457
Subject_443	0.40779	0.34523	0.44523
Subject_444	0.4603	0.31301	0.41301
Subject_445	0.4458	0.34457	0.44457
Subject_446	0.43382	0.31558	0.41558
Subject_447	0.42339	0.28555	0.38555
Subject_448	0.49145	0.27982	0.37982
Subject_449	0.48442	0.32876	0.42876
Subject_450	0.4182	0.33113	0.43113
Subject_451	0.47953	0.30406	0.40406
Subject_452	0.53033	0.29319	0.39319
Subject_453	0.46693	0.29647	0.39647
Subject_454	0.48495	0.31559	0.41559
Subject_455	0.48252	0.30438	0.40438
Subject_456	0.40996	0.34301	0.44301
Subject_457	0.42888	0.34721	0.44721
Subject_458	0.45072	0.28193	0.38193
Subject_459	0.43967	0.30256	0.40256
Subject_460	0.44176	0.32226	0.42226
Subject_461	0.47009	0.30411	0.40411
Subject_462	0.37899	0.3552	0.4552
Subject_463	0.4762	0.30605	0.40605
Subject_464	0.47524	0.24188	0.34188
Subject_465	0.43813	0.3474	0.4474
Subject_466	0.43249	0.32632	0.42632
Subject_467	0.47428	0.30849	0.40849
Subject_468	0.49785	0.31687	0.41687
Subject_469	0.44888	0.28674	0.38674
Subject_470	0.53536	0.20682	0.30682
Subject_471	0.39419	0.35965	0.45965
Subject_472	0.46269	0.30915	0.40915
Subject_473	0.40081	0.34192	0.44192
Subject_474	0.4082	0.25734	0.35734
Subject_475	0.38864	0.31855	0.41855
Subject_476	0.41753	0.32619	0.42619
Subject_477	0.446	0.31365	0.41365
Subject_478	0.42323	0.3229	0.4229
Subject_479	0.4796	0.27023	0.37023
Subject_480	0.3787	0.34627	0.44627
Subject_481	0.44792	0.3089	0.4089
Subject_482	0.3946	0.35453	0.45453
Subject_483	0.38764	0.35573	0.45573
Subject_484	0.4545	0.32791	0.42791
Subject_485	0.48349	0.306	0.406
Subject_486	0.39429	0.34497	0.44497
Subject_487	0.39708	0.35603	0.45603
Subject_488	0.45611	0.28489	0.38489
Subject_489	0.3963	0.34512	0.44512
Subject_490	0.42729	0.30054	0.40054
Subject_491	0.42137	0.32974	0.42974
Subject_492	0.47024	0.28022	0.38022
Subject_493	0.45012	0.33282	0.43282
Subject_494	0.44467	0.34002	0.44002
Subject_495	0.44845	0.32554	0.42554
Subject_496	0.42142	0.33156	0.43156
Subject_497	0.4677	0.31004	0.41004
Subject_498	0.47316	0.21884	0.31884
Subject_499	0.42925	0.3382	0.4382
Subject_500	0.463	0.2496	0.3496
Subject_501	0.44722	0.33551	0.43551
Subject_502	0.41865	0.34105	0.44105
Subject_503	0.46512	0.31364	0.41364
Subject_504	0.42782	0.34779	0.44779
Subject_505	0.4308	0.34554	0.44554
Subject_506	0.44124	0.33155	0.43155
Subject_507	0.41577	0.3309	0.4309
Subject_508	0.42363	0.34375	0.44375
Subject_509	0.42884	0.32991	0.42991
Subject_510	0.49115	0.27461	0.37461
Subject_511	0.50084	0.30229	0.40229
Subject_512	0.41776	0.29658	0.39658
Subject_513	0.52456	0.28997	0.38997
Subject_514	0.46423	0.31321	0.41321
Subject_515	0.43501	0.33187	0.43187
Subject_516	0.38568	0.32907	0.42907
Subject_517	0.50662	0.28235	0.38235
Subject_518	0.52613	0.32588	0.42588
Subject_519	0.38699	0.35023	0.45023
Subject_520	0.41578	0.35052	0.45052
Subject_521	0.46099	0.31656	0.41656
Subject_522	0.45156	0.32347	0.42347
Subject_523	0.48179	0.29154	0.39154
Subject_524	0.34463	0.36759	0.46759
Subject_525	0.48624	0.28863	0.38863
Subject_526	0.45478	0.29658	0.39658
Subject_527	0.49243	0.2917	0.3917
Subject_528	0.48356	0.32037	0.42037
Subject_529	0.47381	0.32438	0.42438
Subject_530	0.47242	0.33266	0.43266
Subject_531	0.42237	0.30774	0.40774
Subject_532	0.44987	0.34019	0.44019
Subject_533	0.48566	0.29226	0.39226
Subject_534	0.39466	0.30686	0.40686
Subject_535	0.44161	0.26775	0.36775
Subject_536	0.43899	0.25443	0.35443
Subject_537	0.50633	0.34287	0.44287
Subject_538	0.3943	0.34468	0.44468
Subject_539	0.42613	0.27966	0.37966
Subject_540	0.44093	0.32308	0.42308
Subject_541	0.44263	0.31973	0.41973
Subject_542	0.45288	0.34298	0.44298
Subject_543	0.41219	0.33313	0.43313
Subject_544	0.42592	0.33731	0.43731
Subject_545	0.47266	0.31654	0.41654
Subject_546	0.39931	0.34291	0.44291
Subject_547	0.40834	0.34443	0.44443
Subject_548	0.44758	0.33983	0.43983
Subject_549	0.39449	0.35127	0.45127
Subject_550	0.4274	0.32371	0.42371
Subject_551	0.39347	0.3345	0.4345
Subject_552	0.40826	0.32061	0.42061
Subject_553	0.49328	0.27408	0.37408
Subject_554	0.46297	0.31363	0.41363
Subject_555	0.45836	0.29533	0.39533
Subject_556	0.43938	0.34942	0.44942
Subject_557	0.4558	0.33881	0.43881
Subject_558	0.43485	0.33555	0.43555
Subject_559	0.41475	0.32336	0.42336
Subject_560	0.48916	0.31919	0.41919
Subject_561	0.39977	0.3652	0.4652
Subject_562	0.43276	0.29471	0.39471
Subject_563	0.45709	0.33566	0.43566
Subject_564	0.47401	0.32768	0.42768
Subject_565	0.48846	0.29052	0.39052
Subject_566	0.44268	0.29922	0.39922
Subject_567	0.50404	0.26082	0.36082
Subject_568	0.50722	0.30588	0.40588
Subject_569	0.44072	0.33008	0.43008
Subject_570	0.46128	0.3198	0.4198
Subject_571	0.38563	0.3541	0.4541
Subject_572	0.41502	0.35299	0.45299
Subject_573	0.45513	0.31025	0.41025
Subject_574	0.3548	0.36062	0.46062
Subject_575	0.50361	0.25398	0.35398
Subject_576	0.47408	0.31295	0.41295
Subject_577	0.44405	0.32828	0.42828
Subject_578	0.52758	0.22469	0.32469
Subject_579	0.48745	0.31705	0.41705
Subject_580	0.49053	0.31669	0.41669
Subject_581	0.43309	0.31567	0.41567
Subject_582	0.39088	0.33585	0.43585
Subject_583	0.46778	0.30746	0.40746
Subject_584	0.39208	0.35754	0.45754
Subject_585	0.4466	0.31209	0.41209
Subject_586	0.45624	0.30475	0.40475
Subject_587	0.44862	0.31365	0.41365
Subject_588	0.49315	0.27112	0.37112
Subject_589	0.4119	0.30513	0.40513
Subject_590	0.49362	0.2956	0.3956
Subject_591	0.49171	0.30323	0.40323
Subject_592	0.45734	0.3109	0.4109
Subject_593	0.42909	0.33376	0.43376
Subject_594	0.46141	0.30218	0.40218
Subject_595	0.49062	0.319	0.419
Subject_596	0.50212	0.3217	0.4217
Subject_597	0.38166	0.3648	0.4648
Subject_598	0.41822	0.35244	0.45244
Subject_599	0.35598	0.36679	0.46679
Subject_600	0.43945	0.33666	0.43666
Subject_601	0.43649	0.30423	0.40423
Subject_602	0.4034	0.3105	0.4105
Subject_603	0.43014	0.33836	0.43836
Subject_604	0.48561	0.30959	0.40959
Subject_605	0.41409	0.33055	0.43055
Subject_606	0.51345	0.31626	0.41626
Subject_607	0.45061	0.31705	0.41705
Subject_608	0.43859	0.32509	0.42509
Subject_609	0.45623	0.30778	0.40778
Subject_610	0.47827	0.33504	0.43504
Subject_611	0.48404	0.25495	0.35495
Subject_612	0.43648	0.31275	0.41275
Subject_613	0.43775	0.3188	0.4188
Subject_614	0.35994	0.33726	0.43726
Subject_615	0.4172	0.34232	0.44232
Subject_616	0.46029	0.30064	0.40064
Subject_617	0.42615	0.336	0.436
Subject_618	0.37975	0.3582	0.4582
Subject_619	0.45738	0.2797	0.3797
Subject_620	0.4479	0.3392	0.4392
Subject_621	0.37294	0.33187	0.43187
Subject_622	0.44134	0.3385	0.4385
Subject_623	0.43955	0.31686	0.41686
Subject_624	0.48501	0.32249	0.42249
Subject_625	0.50173	0.32088	0.42088
Subject_626	0.47366	0.30115	0.40115
Subject_627	0.49088	0.29469	0.39469
Subject_628	0.45733	0.28925	0.38925
