	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_001	0.47051	0.3338	0.4338
Subject_002	0.41897	0.35717	0.45717
Subject_003	0.44299	0.34176	0.44176
Subject_004	0.41708	0.33907	0.43907
Subject_005	0.42894	0.34304	0.44304
Subject_006	0.47835	0.32765	0.42765
Subject_007	0.52426	0.29193	0.39193
Subject_008	0.47977	0.31427	0.41427
Subject_009	0.50238	0.2464	0.3464
Subject_010	0.4741	0.33467	0.43467
Subject_011	0.48379	0.32722	0.42722
Subject_012	0.46312	0.33738	0.43738
Subject_013	0.49625	0.3222	0.4222
Subject_014	0.45926	0.32336	0.42336
Subject_015	0.51538	0.27528	0.37528
Subject_016	0.49841	0.28492	0.38492
Subject_017	0.45185	0.31285	0.41285
Subject_018	0.47484	0.3062	0.4062
Subject_019	0.45352	0.33524	0.43524
Subject_020	0.47133	0.31345	0.41345
Subject_021	0.47322	0.33526	0.43526
Subject_022	0.42508	0.33611	0.43611
Subject_023	0.45921	0.3267	0.4267
Subject_024	0.49384	0.29656	0.39656
Subject_025	0.4525	0.34128	0.44128
Subject_026	0.50321	0.31129	0.41129
Subject_027	0.4623	0.3294	0.4294
Subject_028	0.42614	0.34553	0.44553
Subject_029	0.4353	0.33852	0.43852
Subject_030	0.50913	0.30039	0.40039
Subject_031	0.46944	0.3359	0.4359
Subject_032	0.39391	0.34527	0.44527
Subject_033	0.5536	0.30578	0.40578
Subject_034	0.49189	0.31639	0.41639
Subject_035	0.42182	0.32932	0.42932
Subject_036	0.47018	0.34552	0.44552
Subject_037	0.49504	0.32336	0.42336
Subject_038	0.46124	0.32067	0.42067
Subject_039	0.55548	0.28067	0.38067
Subject_040	0.45422	0.33541	0.43541
Subject_041	0.47073	0.32755	0.42755
Subject_042	0.47777	0.30595	0.40595
Subject_043	0.4407	0.33748	0.43748
Subject_044	0.50125	0.31161	0.41161
Subject_045	0.46186	0.305	0.405
Subject_046	0.4726	0.33013	0.43013
Subject_047	0.47173	0.3339	0.4339
Subject_048	0.45604	0.34374	0.44374
Subject_049	0.46253	0.32096	0.42096
Subject_050	0.48377	0.32786	0.42786
Subject_051	0.47876	0.31593	0.41593
Subject_052	0.51303	0.27975	0.37975
Subject_053	0.47267	0.31616	0.41616
Subject_054	0.48951	0.31917	0.41917
Subject_055	0.44405	0.32953	0.42953
Subject_056	0.50614	0.3158	0.4158
Subject_057	0.44741	0.30861	0.40861
Subject_058	0.49449	0.30839	0.40839
Subject_059	0.42675	0.33194	0.43194
Subject_060	0.50646	0.31253	0.41253
Subject_061	0.47137	0.32755	0.42755
Subject_062	0.51845	0.26851	0.36851
Subject_063	0.46481	0.34274	0.44274
Subject_064	0.48648	0.31442	0.41442
Subject_065	0.50933	0.30978	0.40978
Subject_066	0.55365	0.30577	0.40577
Subject_067	0.50275	0.31235	0.41235
Subject_068	0.46991	0.33754	0.43754
Subject_069	0.43097	0.34945	0.44945
Subject_070	0.53841	0.28674	0.38674
Subject_071	0.55213	0.24483	0.34483
Subject_072	0.49705	0.31567	0.41567
Subject_073	0.43997	0.31798	0.41798
Subject_074	0.49842	0.33639	0.43639
Subject_075	0.45558	0.31298	0.41298
Subject_076	0.45844	0.34201	0.44201
Subject_077	0.48778	0.30074	0.40074
Subject_078	0.48161	0.32387	0.42387
Subject_079	0.48856	0.30473	0.40473
Subject_080	0.48126	0.30148	0.40148
Subject_081	0.52302	0.28746	0.38746
Subject_082	0.47182	0.30162	0.40162
Subject_083	0.45175	0.33123	0.43123
Subject_084	0.47971	0.31363	0.41363
Subject_085	0.45008	0.3247	0.4247
Subject_086	0.50608	0.31061	0.41061
Subject_087	0.54192	0.26305	0.36305
Subject_088	0.5031	0.28626	0.38626
Subject_089	0.47203	0.31994	0.41994
Subject_090	0.48282	0.28839	0.38839
Subject_091	0.43789	0.33515	0.43515
Subject_092	0.52326	0.29771	0.39771
Subject_093	0.46236	0.34135	0.44135
Subject_094	0.44435	0.33138	0.43138
Subject_095	0.52602	0.26125	0.36125
Subject_096	0.47283	0.3442	0.4442
Subject_097	0.49275	0.32893	0.42893
Subject_098	0.50261	0.3217	0.4217
Subject_099	0.5071	0.32688	0.42688
Subject_100	0.44348	0.27752	0.37752
Subject_101	0.53557	0.32079	0.42079
Subject_102	0.4027	0.35342	0.45342
Subject_103	0.3984	0.35228	0.45228
Subject_104	0.48666	0.30994	0.40994
Subject_105	0.47142	0.33309	0.43309
Subject_106	0.38379	0.36153	0.46153
Subject_107	0.47734	0.3424	0.4424
Subject_108	0.49483	0.29511	0.39511
Subject_109	0.48117	0.32381	0.42381
Subject_110	0.48943	0.28339	0.38339
Subject_111	0.40441	0.34319	0.44319
Subject_112	0.43921	0.34607	0.44607
Subject_113	0.50628	0.29706	0.39706
Subject_114	0.48255	0.26688	0.36688
Subject_115	0.45422	0.34927	0.44927
Subject_116	0.47923	0.31881	0.41881
Subject_117	0.45334	0.31589	0.41589
Subject_118	0.50652	0.2874	0.3874
Subject_119	0.40997	0.34072	0.44072
Subject_120	0.52132	0.30108	0.40108
Subject_121	0.49121	0.32744	0.42744
Subject_122	0.47656	0.3318	0.4318
Subject_123	0.48122	0.33853	0.43853
Subject_124	0.50663	0.29224	0.39224
Subject_125	0.43921	0.34513	0.44513
Subject_126	0.42261	0.33468	0.43468
Subject_127	0.53207	0.27221	0.37221
Subject_128	0.42536	0.32165	0.42165
Subject_129	0.56696	0.31741	0.41741
Subject_130	0.51409	0.28536	0.38536
Subject_131	0.52765	0.31008	0.41008
Subject_132	0.47786	0.31648	0.41648
Subject_133	0.47425	0.32414	0.42414
Subject_134	0.43965	0.30196	0.40196
Subject_135	0.49173	0.32922	0.42922
Subject_136	0.44876	0.31912	0.41912
Subject_137	0.45988	0.33195	0.43195
Subject_138	0.48185	0.32905	0.42905
Subject_139	0.5284	0.30386	0.40386
Subject_140	0.54721	0.32893	0.42893
Subject_141	0.50843	0.26994	0.36994
Subject_142	0.44011	0.32143	0.42143
Subject_143	0.45932	0.34757	0.44757
Subject_144	0.46317	0.30751	0.40751
Subject_145	0.47914	0.32497	0.42497
Subject_146	0.45243	0.3251	0.4251
Subject_147	0.40862	0.34609	0.44609
Subject_148	0.42097	0.30983	0.40983
Subject_149	0.50286	0.31106	0.41106
Subject_150	0.50036	0.30251	0.40251
Subject_151	0.45583	0.34184	0.44184
Subject_152	0.50493	0.2996	0.3996
Subject_153	0.44344	0.34712	0.44712
Subject_154	0.48227	0.32151	0.42151
Subject_155	0.41554	0.33906	0.43906
Subject_156	0.44421	0.32403	0.42403
Subject_157	0.39777	0.3581	0.4581
Subject_158	0.45815	0.33405	0.43405
Subject_159	0.43649	0.23799	0.33799
Subject_160	0.44669	0.32389	0.42389
Subject_161	0.45592	0.31015	0.41015
Subject_162	0.46943	0.30706	0.40706
Subject_163	0.4965	0.29994	0.39994
Subject_164	0.42927	0.33698	0.43698
Subject_165	0.48828	0.27512	0.37512
Subject_166	0.45244	0.33177	0.43177
Subject_167	0.46746	0.31275	0.41275
Subject_168	0.56189	0.27561	0.37561
Subject_169	0.52263	0.27748	0.37748
Subject_170	0.43765	0.33288	0.43288
Subject_171	0.43895	0.32274	0.42274
Subject_172	0.4907	0.33243	0.43243
Subject_173	0.42334	0.33889	0.43889
Subject_174	0.51007	0.31577	0.41577
Subject_175	0.42821	0.33351	0.43351
Subject_176	0.49314	0.27578	0.37578
Subject_177	0.46134	0.29858	0.39858
Subject_178	0.4424	0.30355	0.40355
Subject_179	0.53411	0.28056	0.38056
Subject_180	0.44655	0.33491	0.43491
Subject_181	0.51094	0.29483	0.39483
Subject_182	0.4515	0.33008	0.43008
Subject_183	0.51532	0.24369	0.34369
Subject_184	0.47149	0.31415	0.41415
Subject_185	0.45327	0.31536	0.41536
Subject_186	0.41018	0.35004	0.45004
Subject_187	0.42077	0.33763	0.43763
Subject_188	0.44217	0.33479	0.43479
Subject_189	0.51319	0.31783	0.41783
Subject_190	0.41856	0.3517	0.4517
Subject_191	0.44101	0.325	0.425
Subject_192	0.42006	0.33238	0.43238
Subject_193	0.45789	0.30917	0.40917
Subject_194	0.47992	0.3122	0.4122
Subject_195	0.48015	0.31199	0.41199
Subject_196	0.50611	0.27788	0.37788
Subject_197	0.48914	0.27779	0.37779
Subject_198	0.5019	0.27138	0.37138
Subject_199	0.50031	0.30492	0.40492
Subject_200	0.51463	0.28402	0.38402
Subject_201	0.3966	0.35185	0.45185
Subject_202	0.49556	0.29295	0.39295
Subject_203	0.44591	0.31692	0.41692
Subject_204	0.41676	0.33516	0.43516
Subject_205	0.42236	0.33734	0.43734
Subject_206	0.46013	0.31335	0.41335
Subject_207	0.45277	0.3315	0.4315
Subject_208	0.53244	0.28311	0.38311
Subject_209	0.47648	0.29143	0.39143
Subject_210	0.51223	0.2971	0.3971
Subject_211	0.48879	0.27151	0.37151
Subject_212	0.50546	0.23538	0.33538
Subject_213	0.44223	0.31747	0.41747
Subject_214	0.50979	0.28716	0.38716
Subject_215	0.4954	0.31356	0.41356
Subject_216	0.52325	0.3026	0.4026
Subject_217	0.45584	0.34172	0.44172
Subject_218	0.49379	0.28824	0.38824
Subject_219	0.57427	0.27642	0.37642
Subject_220	0.47257	0.32885	0.42885
Subject_221	0.52701	0.27836	0.37836
Subject_222	0.45657	0.31897	0.41897
Subject_223	0.45012	0.33372	0.43372
Subject_224	0.47969	0.30444	0.40444
Subject_225	0.4038	0.33119	0.43119
Subject_226	0.49783	0.20967	0.30967
Subject_227	0.48337	0.32957	0.42957
Subject_228	0.44824	0.32576	0.42576
Subject_229	0.41929	0.34221	0.44221
Subject_230	0.5196	0.2481	0.3481
Subject_231	0.50208	0.30955	0.40955
Subject_232	0.40754	0.3473	0.4473
Subject_233	0.47245	0.34488	0.44488
Subject_234	0.46109	0.33761	0.43761
Subject_235	0.45581	0.282	0.382
Subject_236	0.48813	0.3137	0.4137
Subject_237	0.476	0.31782	0.41782
Subject_238	0.4885	0.28882	0.38882
Subject_239	0.46457	0.3291	0.4291
Subject_240	0.45579	0.35353	0.45353
Subject_241	0.4308	0.32508	0.42508
Subject_242	0.48338	0.24079	0.34079
Subject_243	0.47248	0.32762	0.42762
Subject_244	0.45855	0.34272	0.44272
Subject_245	0.4197	0.3479	0.4479
Subject_246	0.48203	0.3228	0.4228
Subject_247	0.51314	0.3278	0.4278
Subject_248	0.46079	0.33576	0.43576
Subject_249	0.43716	0.33311	0.43311
Subject_250	0.41038	0.34314	0.44314
Subject_251	0.45438	0.33416	0.43416
Subject_252	0.46154	0.30314	0.40314
Subject_253	0.45125	0.34236	0.44236
Subject_254	0.47042	0.28109	0.38109
Subject_255	0.51031	0.32718	0.42718
Subject_256	0.47244	0.28373	0.38373
Subject_257	0.48652	0.32471	0.42471
