	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_001	245.4618	48.011	101.9839	109.8411	264.4138	97.3875	131.7978	137.5968	291.9406	148.8261	229.8854	102.5734	94.4438	100.2347	164.1173	173.9166	156.7849	132.0496	158.0757	194.0807	83.2461	95.9823	118.3255	103.8602	107.2495	34.6032	139.3366	158.8078	247.9621	176.5823	24.1932	112.4118	47.9959	162.4269	182.8572	27.5085	118.9227	18.766	119.6816	38.9794	62.184	172.8604	260.2495	241.8111	44.3314	251.9943	78.4044	55.1788	55.4354	94.7364	25.2907	185.271	182.943	132.8203	131.2996	239.1802	161.9783	124.5392	196.0365	17.245	87.671	82.9958	106.8889	242.6321	28.1199	199.6942	110.4058	47.0296	38.029	198.8387	106.7326	187.1585	187.9398	55.1212	128.1447	202.0546	128.0439	116.4643	77.916	67.8598	177.4304	40.1178	46.2468	266.8547	334.3156	141.5836	234.1563	328.2035	109.8676	122.8814	374.0655	128.7595	422.1174	85.829	204.0451	286.0901	7.0726	65.0513	84.3052	243.51	207.3476	50.2594	37.9744	117.0054	26.7713	85.3131	150.3678	283.783	109.6143	120.3055	63.8697	210.3421	320.2822	32.3716	88.5436	325.4489	39.0526	22.6243	166.3544	137.3982	29.8174	463.1438	234.5236	102.6872	145.3239	101.935	168.9964	60.6502	150.2504	91.3024	123.1858
Subject_002	374.9342	119.8503	48.9096	103.8863	114.354	101.2563	153.4446	122.363	80.8627	13.5389	80.5454	149.1407	127.3444	80.4467	86.2167	160.3255	134.9833	97.5274	74.0116	42.8925	284.1512	217.3908	157.2817	119.1427	221.6342	156.406	267.8075	126.4246	132.6658	167.2543	134.4422	263.0656	43.729	57.8165	164.664	40.4463	79.5864	102.1025	114.9391	18.4581	38.4695	195.0815	205.4811	167.5445	48.6972	118.8448	136.9686	34.5383	66.9884	94.4666	36.0082	210.0794	137.1757	93.6725	107.4649	76.5062	65.4281	112.8353	137.7743	57.8444	64.9792	53.0279	78.3184	33.8255	94.3917	171.027	162.4316	265.8036	166.4991	106.2159	151.5074	37.8791	78.7919	19.7191	275.8849	185.4047	283.288	182.9152	69.892	147.7896	301.4245	197.5774	94.8999	45.7921	182.0072	113.8838	211.2249	77.4923	141.3288	202.8638	293.5213	48.5117	177.81	271.2055	174.172	138.1997	63.7933	246.7412	267.5457	158.1	89.4793	57.3083	49.9934	87.441	194.1199	422.1408	100.7708	102.0736	79.0494	138.3323	115.1287	60.6269	497.7448	45.6136	262.1377	209.3047	112.3763	100.721	436.1093	65.953	86.0196	143.6606	336.7556	61.808	103.146	219.9216	163.7411	83.3218	67.8846	67.0476	35.4695
Subject_003	148.1943	68.1939	85.9839	56.4878	109.1136	259.6234	133.2349	138.9352	123.0015	150.3226	197.6959	257.9571	43.0848	131.0696	286.3344	104.0183	327.0169	108.9163	223.7589	55.0423	78.5415	61.8994	88.1043	45.7775	66.0746	14.9845	104.7352	124.5246	216.2993	307.6352	67.3767	140.0518	90.5841	146.3862	69.7085	143.1787	123.8197	13.9298	289.8952	37.8514	14.5359	188.6032	354.0503	102.1744	138.0953	148.2596	220.0886	74.3921	25.873	199.9517	101.2182	127.2504	127.5318	112.6657	163.7457	63.8072	240.3244	100.3101	315.7282	195.5185	62.6507	395.221	82.7558	18.0749	14.5494	301.0673	201.8272	252.7402	104.5222	205.986	54.5516	178.2972	88.2553	60.5265	245.032	132.7644	113.5107	32.9336	2.6883	60.4242	27.5489	73.5182	5.2849	106.5386	661.5965	258.394	163.017	649.8632	250.8026	59.806	284.5741	137.5352	294.8413	55.1873	120.218	91.0762	61.3591	142.7814	69.8506	107.5811	166.0702	64.654	47.4513	94.3232	58.9816	321.6353	148.9025	242.4222	38.909	43.0086	126.7397	297.0841	140.9012	40.0308	50.8727	135.0672	162.7729	113.5765	239.3426	152.6905	346.4644	92.2672	76.6952	291.0025	38.7914	68.724	20.0531	103.1112	62.491	42.2743	43.4686
Subject_004	100.8052	39.7078	134.3456	9.7863	3.665	53.6645	479.5642	225.4727	530.5235	46.6743	37.9217	225.2598	219.7227	137.2147	77.2952	73.1618	10.7767	35.1582	187.1459	118.0251	79.8951	125.1922	24.8851	42.7629	90.1695	1.6857	106.2573	301.969	276.3852	76.7567	49.3615	294.2201	7.2038	73.9819	3.1315	103.7758	208.2195	0	6.9168	36.0973	181.7454	71.2873	225.2679	18.3809	262.3074	79.4694	187.4981	3.9509	126.1065	106.7443	16.9987	471.2749	61.2963	210.7723	126.4777	86.565	93.9921	115.5933	74.4252	169.8808	207.0718	48.4151	6.7364	32.327	19.3964	116.7245	53.0605	142.0135	74.8182	329.9761	144.3696	16.1085	75.8774	0	149.1451	8.3114	47.4801	87.5002	0	312.2764	269.003	248.8961	374.5351	40.3647	169.7436	114.2635	376.9456	213.7818	18.4734	561.6505	335.7114	263.7005	71.1988	60.0922	33.7005	242.5287	192.2212	166.6171	142.7469	4.1486	299.6932	27.7806	33.9485	368.2738	0	207.8291	180.0229	4.9231	189.948	4.3878	59.7696	96.1016	232.5719	79.8793	259.5588	274.581	313.0624	5.3578	297.2793	83.8419	387.2274	229.6199	225.8908	60.8614	225.2211	232.5845	368.8299	260.9901	17.6189	237.5806	145.0413
Subject_005	140.1175	137.0805	58.0178	173.1314	119.3705	176.352	165.4071	134.8138	322.4183	152.32	191.9075	248.3602	48.3905	107.8046	233.2586	99.317	43.9304	83.0213	236.2625	47.4261	130.2793	88.9488	278.8877	186.5503	111.1732	188.3285	68.3964	162.0791	40.5887	46.0945	74.3741	99.69	156.0356	55.0743	141.5655	236.0189	55.5184	44.0569	127.3861	27.7032	35.0293	279.9547	207.142	88.0585	234.0115	148.1622	189.5156	201.6773	42.2943	52.1182	263.0005	123.4885	182.0672	95.8672	84.9494	129.2107	85.4835	174.468	132.9262	66.7901	112.019	145.948	114.6323	105.9182	6.4435	219.3378	220.4593	121.3901	129.6026	243.3389	90.5108	213.3387	76.3495	253.0213	123.4666	120.1745	154.5021	132.611	128.2368	49.5214	50.6611	48.6713	15.483	130.853	224.2976	72.0526	40.5823	120.123	144.0177	569.4517	150.051	126.9686	235.9538	46.165	127.3202	120.2614	68.0043	180.9174	230.1697	194.0727	176.8205	171.2967	75.72	86.4333	80.0878	67.3693	235.1735	221.2311	299.5144	116.5332	228.9524	186.6611	106.0361	111.0708	53.8717	74.4708	133.4352	60.1223	290.4208	85.9128	73.5482	85.4943	113.9046	92.3191	174.7556	196.5061	151.191	264.3138	49.3009	141.686	14.2751
Subject_006	183.5487	21.4676	105.9215	2.001	142.2396	158.2758	121.5539	100.5034	334.6792	106.6604	221.2825	191.8805	107.9543	384.9559	256.8218	315.9364	129.0083	111.4551	148.8618	183.3402	311.1084	192.835	119.8261	642.5778	55.33	6.3489	107.9013	213.1366	271.4095	237.5193	188.8117	221.2544	66.9201	55.1752	137.2583	128.1946	26.8979	9.0002	72.5569	117.839	188.5311	121.6002	52.7014	154.6227	70.7328	0.33333	67.5848	260.478	109.6766	54.6449	146.8491	161.2055	212.999	290.4874	193.5254	102.9249	173.219	107.977	45.9064	95.2156	48.5732	270.8291	40.6887	222.3049	274.6241	381.6067	168.4071	379.5689	180.6675	259.3886	297.9724	63.5953	75.5099	38.8662	287.0698	46.284	174.9502	15.7511	2.1983	80.6147	49.2956	14.7151	183.9942	420.7794	64.5206	356.6179	36.3236	313.8298	203.613	108.1696	279.5557	200.434	232.9435	166.4856	117.8763	252.3746	111.5929	178.1651	110.6329	147.5142	117.9171	104.2638	40.2299	1.6958	19.2565	216.563	190.3507	178.0004	205.5729	47.4464	203.7347	42.3455	77.0686	8.4156	206.5894	242.9563	102.086	105.6076	56.7461	67.7206	40.443	107.8703	197.8767	50.3381	52.151	55.1397	96.2819	99.6525	80.8459	104.7465	31.7192
Subject_007	151.3759	13.7796	202.8851	109.5374	74.7207	388.7338	355.9298	375.5927	88.596	80.6235	205.921	179.5203	82.1227	442.6971	102.2573	59.4152	324.6442	447.0681	114.9143	236.9196	358.6599	203.1292	99.6793	167.9823	263.0785	406.628	231.8138	99.6232	453.2522	163.7258	393.4174	526.5473	193.704	18.5728	265.9981	294.42	39.3266	24.9404	16.5764	0	390.6203	157.8416	249.0441	113.8172	316.3682	56.2238	27.3961	126.9	404.3711	343.2146	108.1934	304.7735	2.6012	240.1253	344.1436	12.3147	14.9979	38.0718	139.4552	59.8499	49.8485	11.6954	0	449.8953	2.3082	250.7725	45.0025	102.067	28.2541	45.7701	294.1176	78.9888	25.5056	286.6616	127.0517	192.6004	132.3616	71.3224	26.8408	45.7068	98.5943	45.4534	19.6439	20.0541	276.25	328.5056	317.1933	41.4844	227.4381	201.5698	181.4848	328.3217	164.9405	32.8023	196.7315	139.2493	103.7538	277.2776	294.9245	73.7995	151.2698	68.9201	76.8839	150.8359	20.2514	191.4973	277.3838	243.4572	50.2143	54.2248	63.5542	262.5347	64.4701	83.4344	62.4644	77.6455	78.6464	35.3852	198.9907	174.9289	43.4757	1.9754	159.7811	125.7864	299.4974	66.0453	1.2598	2.2226	85.9339	344.7417	170.3912
Subject_008	336.0551	101.2425	465.0067	66.6996	128.377	278.19	99.2389	138.9819	65.9597	233.5658	279.5056	222.3913	169.0045	168.4248	191.8967	119.193	61.1376	150.0058	84.7367	226.9559	121.8236	140.1197	212.1287	173.6535	103.0029	124.3472	43.1297	305.0032	364.1706	386.6885	78.8501	205.9177	53.2628	60.6992	196.2898	249.3035	54.1745	258	7.2593	5.269	56.7077	154.6975	197.7137	4.7748	180.9904	44.0035	58.9447	31.3541	22.5162	221.6716	170.6061	243.1727	152.9611	207.5524	113.1912	115.119	97.5952	217.0409	43.0098	21.8563	36.3613	14.7392	79.3217	127.6907	0	26.5328	165.8605	13.6187	1.4165	197.6696	95.2852	297.2685	108.0239	241.6553	243.5899	46.6772	175.3233	180.373	272.2669	3.0277	95.4276	78.8901	48.345	196.3238	101.9115	132.4616	122.1304	120.6281	72.4349	571.9815	376.1296	89.8526	88.7916	289.8472	237.0389	109.1559	98.8737	647.6689	357.0172	317.9886	425.495	246.0143	55.7675	142.4226	19.5711	71.3655	535.7039	76.9722	308.4067	337.7112	99.4052	4.711	242.6123	96.3793	109.6059	199.9795	9.0113	19.7611	292.8502	251.1346	89.0399	90.8141	8.9414	194.0281	375.7384	493.4246	175.5283	48.6851	254.8981	180.9856	76.2939
Subject_009	490.4124	0	54.851	117.8137	180.6291	50.639	242.0731	85.2484	148.6859	156.7458	71.2691	436.8709	152.0699	300.9954	86.6985	170.6037	308.6247	84.0434	274.8607	71.9092	426.6773	163.0195	218.0371	202.5919	145.7745	36.9809	124.5534	245.7974	112.0932	90.7501	134.3427	105.6596	28.42	152.1593	105.9681	123.6659	36.0318	31.1681	96.947	0.55263	0	83.3486	599.7535	104.9398	21.0923	0	16.7278	18.494	97.8684	170.2567	69.838	141.7694	19.7157	281.6587	233.6773	47.2212	37.4274	316.7877	12.2777	312.9606	58.3114	31.7504	62.211	68.5765	88.5137	304.5057	284.2517	213.5672	6.011	119.7435	160.4053	478.8992	45.0637	477.0684	42.8724	143.6167	77.6107	18.9415	118.8649	0	55.2801	564.7807	8.428	281.5712	148.9484	169.6092	607.8089	53.4393	112.077	204.9579	309.1596	92.5534	188.6134	92.7899	336.1166	195.594	264.0945	145.4483	128.635	8.0499	84.3272	436.1189	0	53.1823	1.2166	224.6659	36.2151	226.9859	699.6292	177.1533	10.8232	48.7487	90.249	321.7933	242.9434	509.1205	164.1559	289.0611	361.5392	253.2061	322.6968	17.3796	258.8079	16.058	614.8074	66.4452	162.5487	231.7414	116.348	132.2426	0
Subject_010	270.645	151.5619	140.769	96.7297	203.0374	98.331	142.0574	261.8667	211.5874	87.4806	87.0118	92.1347	95.4325	248.9705	44.3578	96.44	271.633	85.9308	230.378	152.9311	136.0357	167.3374	108.3854	62.3541	183.032	16.2436	99.5674	192.6799	190.8659	205.4264	137.0356	344.3621	97.6243	59.4228	49.1147	186.9236	67.0152	10.9264	154.0796	40.3133	16.6724	283.2747	51.0804	244.6026	221.3885	326.2567	31.4917	34.4318	218.5024	268.8279	86.9431	71.7377	102.7847	77.784	48.5789	136.2463	106.5607	275.4531	114.8514	139.2553	109.9577	171.5462	33.3433	106.716	27.166	197.7244	159.3372	135.3266	114.6762	127.5731	155.3768	60.8328	78.3195	263.1337	157.8086	188.8722	134.6277	51.3339	108.5611	31.0766	138.735	84.9407	83.2874	65.3646	235.6356	138.3854	234.971	49.3115	64.2688	122.0801	71.8486	362.6881	90.6833	231.4653	119.9741	226.7531	86.0587	83.1387	318.2566	283.7345	86.9173	145.5613	44.9182	226.9991	4.6198	66.4628	277.9936	43.4267	205.801	180.0388	230.3624	480.1889	134.453	48.2446	64.3457	71.5168	121.2783	240.5415	343.6588	218.4682	48.2533	158.0854	86.5645	111.0462	83.4492	74.6286	256.6266	28.2331	38.7612	48.6123	11.2968
