	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_151	0.48235	0.36923	0.56923
Subject_152	0.54345	0.35672	0.55672
Subject_153	0.46714	0.37702	0.57702
Subject_154	0.52364	0.36541	0.56541
Subject_155	0.47771	0.36821	0.56821
Subject_156	0.49102	0.36306	0.56306
Subject_157	0.40402	0.38612	0.58612
Subject_158	0.48982	0.37551	0.57551
Subject_159	0.56541	0.30876	0.50876
Subject_160	0.49616	0.36882	0.56882
Subject_161	0.49758	0.3636	0.5636
Subject_162	0.49862	0.36893	0.56893
Subject_163	0.53849	0.35457	0.55457
Subject_164	0.46615	0.36866	0.56866
Subject_165	0.55555	0.34865	0.54865
Subject_166	0.49399	0.36806	0.56806
Subject_167	0.48008	0.36915	0.56915
Subject_168	0.59838	0.34059	0.54059
Subject_169	0.57071	0.34541	0.54541
Subject_170	0.47439	0.36937	0.56937
Subject_171	0.49137	0.36857	0.56857
Subject_172	0.52117	0.36442	0.56442
Subject_173	0.48895	0.37225	0.57225
Subject_174	0.50164	0.36045	0.56045
Subject_175	0.47424	0.37358	0.57358
Subject_176	0.56991	0.33973	0.53973
Subject_177	0.52694	0.35892	0.55892
Subject_178	0.50741	0.36435	0.56435
Subject_179	0.55413	0.35757	0.55757
Subject_180	0.4596	0.37499	0.57499
Subject_181	0.55615	0.3451	0.5451
Subject_182	0.53265	0.3679	0.5679
Subject_183	0.56228	0.33106	0.53106
Subject_184	0.5103	0.36451	0.56451
Subject_185	0.51196	0.36677	0.56677
Subject_186	0.45127	0.37526	0.57526
Subject_187	0.44614	0.37448	0.57448
Subject_188	0.4865	0.37124	0.57124
Subject_189	0.49925	0.36082	0.56082
Subject_190	0.4494	0.37821	0.57821
Subject_191	0.51121	0.35936	0.55936
Subject_192	0.46287	0.37224	0.57224
Subject_193	0.52701	0.35549	0.55549
Subject_194	0.51351	0.36268	0.56268
Subject_195	0.5076	0.3686	0.5686
Subject_196	0.54438	0.35111	0.55111
Subject_197	0.5649	0.34794	0.54794
Subject_198	0.55046	0.34849	0.54849
Subject_199	0.53876	0.35287	0.55287
Subject_200	0.52494	0.35523	0.55523
Subject_201	0.45645	0.37503	0.57503
Subject_202	0.54172	0.35974	0.55974
Subject_203	0.51812	0.35277	0.55277
Subject_204	0.45317	0.37555	0.57555
Subject_205	0.49538	0.36637	0.56637
Subject_206	0.52128	0.36091	0.56091
Subject_207	0.46749	0.37502	0.57502
Subject_208	0.54622	0.3547	0.5547
Subject_209	0.51406	0.36139	0.56139
Subject_210	0.53846	0.35482	0.55482
Subject_211	0.546	0.3489	0.5489
Subject_212	0.59133	0.33755	0.53755
Subject_213	0.48767	0.3672	0.5672
Subject_214	0.53672	0.35963	0.55963
Subject_215	0.51299	0.36387	0.56387
Subject_216	0.53748	0.36138	0.56138
Subject_217	0.47478	0.37614	0.57614
Subject_218	0.55914	0.34381	0.54381
Subject_219	0.57823	0.34682	0.54682
Subject_220	0.50209	0.36885	0.56885
Subject_221	0.53969	0.35243	0.55243
Subject_222	0.49511	0.36667	0.56667
Subject_223	0.47156	0.36848	0.56848
Subject_224	0.50993	0.36388	0.56388
Subject_225	0.44497	0.37657	0.57657
Subject_226	0.58712	0.32239	0.52239
Subject_227	0.48601	0.36858	0.56858
Subject_228	0.51673	0.36136	0.56136
Subject_229	0.46736	0.37205	0.57205
Subject_230	0.57535	0.33202	0.53202
Subject_231	0.51589	0.36194	0.56194
Subject_232	0.46624	0.36614	0.56614
Subject_233	0.47082	0.37557	0.57557
Subject_234	0.4885	0.37029	0.57029
Subject_235	0.54324	0.35823	0.55823
Subject_236	0.53129	0.35716	0.55716
Subject_237	0.49474	0.3662	0.5662
Subject_238	0.55291	0.3458	0.5458
Subject_239	0.50983	0.36413	0.56413
Subject_240	0.47209	0.37649	0.57649
Subject_241	0.49004	0.36579	0.56579
Subject_242	0.54121	0.28937	0.48937
Subject_243	0.52513	0.35931	0.55931
Subject_244	0.47784	0.37358	0.57358
Subject_245	0.44246	0.37818	0.57818
Subject_246	0.5126	0.36737	0.56737
Subject_247	0.5125	0.36657	0.56657
Subject_248	0.49697	0.37289	0.57289
Subject_249	0.48102	0.37493	0.57493
Subject_250	0.45068	0.37525	0.57525
Subject_251	0.50237	0.36471	0.56471
Subject_252	0.53237	0.35861	0.55861
Subject_253	0.45623	0.37684	0.57684
Subject_254	0.52907	0.34554	0.54554
Subject_255	0.54011	0.36596	0.56596
Subject_256	0.55276	0.35126	0.55126
Subject_257	0.50235	0.36637	0.56637
Subject_258	0.49164	0.37291	0.57291
Subject_259	0.49995	0.3657	0.5657
Subject_260	0.4807	0.36735	0.56735
Subject_261	0.53973	0.35619	0.55619
Subject_262	0.44169	0.37921	0.57921
Subject_263	0.5259	0.36109	0.56109
Subject_264	0.58912	0.33999	0.53999
Subject_265	0.46237	0.37449	0.57449
Subject_266	0.57728	0.34844	0.54844
Subject_267	0.51426	0.35773	0.55773
Subject_268	0.48659	0.36923	0.56923
Subject_269	0.58457	0.34317	0.54317
Subject_270	0.40317	0.38634	0.58634
Subject_271	0.54629	0.35298	0.55298
Subject_272	0.48936	0.36872	0.56872
Subject_273	0.47122	0.37649	0.57649
Subject_274	0.5215	0.3627	0.5627
Subject_275	0.52041	0.36328	0.56328
Subject_276	0.49477	0.35821	0.55821
Subject_277	0.59374	0.35392	0.55392
Subject_278	0.48821	0.37271	0.57271
Subject_279	0.53395	0.36278	0.56278
Subject_280	0.46787	0.37395	0.57395
Subject_281	0.51482	0.36115	0.56115
Subject_282	0.4764	0.37397	0.57397
Subject_283	0.46172	0.37015	0.57015
Subject_284	0.45882	0.37073	0.57073
Subject_285	0.5396	0.34719	0.54719
Subject_286	0.50463	0.36204	0.56204
Subject_287	0.47	0.37699	0.57699
Subject_288	0.46838	0.37269	0.57269
Subject_289	0.50388	0.36806	0.56806
Subject_290	0.5251	0.33476	0.53476
Subject_291	0.44207	0.37764	0.57764
Subject_292	0.52825	0.36501	0.56501
Subject_293	0.4929	0.36235	0.56235
Subject_294	0.54127	0.35298	0.55298
Subject_295	0.50916	0.35992	0.55992
Subject_296	0.49788	0.36826	0.56826
Subject_297	0.51327	0.35553	0.55553
Subject_298	0.50672	0.36424	0.56424
Subject_299	0.47935	0.37399	0.57399
Subject_300	0.55208	0.35686	0.55686
Subject_301	0.50437	0.36518	0.56518
Subject_302	0.49592	0.37088	0.57088
Subject_303	0.54356	0.32287	0.52287
Subject_304	0.54121	0.35332	0.55332
Subject_305	0.45542	0.37547	0.57547
Subject_306	0.53526	0.35161	0.55161
Subject_307	0.53298	0.34739	0.54739
Subject_308	0.47916	0.36866	0.56866
Subject_309	0.55166	0.34996	0.54996
Subject_310	0.57108	0.28226	0.48226
Subject_311	0.50854	0.36053	0.56053
Subject_312	0.44975	0.37634	0.57634
Subject_313	0.47034	0.3733	0.5733
Subject_314	0.47291	0.37476	0.57476
Subject_315	0.57588	0.34652	0.54652
Subject_316	0.49309	0.37194	0.57194
Subject_317	0.56925	0.33299	0.53299
Subject_318	0.58868	0.33899	0.53899
Subject_319	0.50042	0.36459	0.56459
Subject_320	0.51338	0.362	0.562
Subject_321	0.49238	0.35608	0.55608
Subject_322	0.50472	0.36315	0.56315
Subject_323	0.49711	0.36445	0.56445
Subject_324	0.58973	0.33929	0.53929
Subject_325	0.46401	0.37475	0.57475
Subject_326	0.58239	0.35772	0.55772
Subject_327	0.50104	0.36638	0.56638
Subject_328	0.46593	0.37546	0.57546
Subject_329	0.50828	0.36328	0.56328
Subject_330	0.55892	0.34557	0.54557
Subject_331	0.51087	0.36191	0.56191
Subject_332	0.47556	0.37452	0.57452
Subject_333	0.50443	0.3513	0.5513
Subject_334	0.49954	0.36635	0.56635
Subject_335	0.48144	0.3718	0.5718
Subject_336	0.49359	0.37087	0.57087
Subject_337	0.52624	0.36164	0.56164
Subject_338	0.57047	0.33782	0.53782
Subject_339	0.48229	0.36652	0.56652
Subject_340	0.44602	0.37776	0.57776
Subject_341	0.45518	0.37418	0.57418
Subject_342	0.48699	0.36852	0.56852
Subject_343	0.5417	0.35677	0.55677
Subject_344	0.56997	0.32575	0.52575
Subject_345	0.51716	0.36038	0.56038
Subject_346	0.51616	0.36167	0.56167
Subject_347	0.51224	0.36583	0.56583
Subject_348	0.56005	0.34838	0.54838
Subject_349	0.53548	0.36354	0.56354
Subject_350	0.51299	0.35351	0.55351
Subject_351	0.49324	0.36677	0.56677
Subject_352	0.45454	0.37426	0.57426
Subject_353	0.48162	0.36732	0.56732
Subject_354	0.52261	0.35135	0.55135
Subject_355	0.46346	0.37536	0.57536
Subject_356	0.46818	0.37062	0.57062
Subject_357	0.49843	0.35242	0.55242
Subject_358	0.54615	0.35665	0.55665
Subject_359	0.56	0.3346	0.5346
Subject_360	0.49124	0.36738	0.56738
Subject_361	0.52648	0.36559	0.56559
Subject_362	0.54458	0.3395	0.5395
Subject_363	0.48736	0.368	0.568
Subject_364	0.51209	0.36262	0.56262
Subject_365	0.41655	0.38411	0.58411
Subject_366	0.50271	0.36693	0.56693
Subject_367	0.49421	0.37097	0.57097
Subject_368	0.56904	0.35068	0.55068
Subject_369	0.48049	0.36437	0.56437
Subject_370	0.54199	0.35193	0.55193
Subject_371	0.51505	0.36399	0.56399
Subject_372	0.51007	0.36733	0.56733
Subject_373	0.44591	0.37677	0.57677
Subject_374	0.44737	0.37653	0.57653
Subject_375	0.55968	0.34846	0.54846
Subject_376	0.57439	0.34474	0.54474
Subject_377	0.55273	0.35493	0.55493
Subject_378	0.49898	0.36755	0.56755
Subject_379	0.58096	0.28523	0.48523
Subject_380	0.48748	0.36903	0.56903
Subject_381	0.50332	0.36331	0.56331
Subject_382	0.48812	0.35625	0.55625
Subject_383	0.48935	0.36457	0.56457
Subject_384	0.55265	0.35584	0.55584
Subject_385	0.51986	0.36579	0.56579
Subject_386	0.50864	0.36218	0.56218
Subject_387	0.51157	0.37059	0.57059
Subject_388	0.48374	0.37122	0.57122
Subject_389	0.53225	0.35948	0.55948
Subject_390	0.46743	0.37495	0.57495
Subject_391	0.54907	0.3562	0.5562
Subject_392	0.50096	0.36614	0.56614
Subject_393	0.53385	0.35105	0.55105
Subject_394	0.51175	0.36363	0.56363
Subject_395	0.44949	0.37819	0.57819
Subject_396	0.53347	0.35072	0.55072
Subject_397	0.48963	0.36648	0.56648
Subject_398	0.47545	0.3713	0.5713
Subject_399	0.5304	0.36135	0.56135
Subject_400	0.51956	0.36185	0.56185
Subject_401	0.45478	0.37647	0.57647
Subject_402	0.43168	0.38056	0.58056
Subject_403	0.4865	0.37159	0.57159
Subject_404	0.48514	0.37231	0.57231
Subject_405	0.53331	0.30545	0.50545
Subject_406	0.55094	0.35611	0.55611
Subject_407	0.50007	0.3671	0.5671
Subject_408	0.43548	0.37898	0.57898
Subject_409	0.47931	0.37112	0.57112
Subject_410	0.52997	0.3637	0.5637
Subject_411	0.50779	0.36601	0.56601
Subject_412	0.51739	0.36297	0.56297
