	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_001	320.36	99.3697	155.6715	134.986	327.614	125.7331	223.9555	252.27	465.7418	116.9492	170.7668	565.0754	84.9322	308.8199	164.6452	128.2139	442.9314	8.1266	119.0393	155.0125	212.7513	120.9015	135.9878	206.9048	182.5955	0	370.7983	238.9653	324.1461	135.4176	33.5417	176.4143	46.563	246.196	540.3721	71.7949	130.6177	254	54.3101	0	0	273.6873	184.1031	627.5662	29.0456	78.1653	158.7246	41.1567	5.5265	324.1314	33.0659	508.0178	263.6533	35.144	228.2145	135.583	204.0828	218.3477	156.418	68.1175	69.2029	392.0161	7.3394	445.4334	19.2971	274.9668	136.0156	170.8946	26.5119	292.2038	103.296	267.0342	212.0867	205.1542	48.3851	346.3478	334.5684	162.2159	41.0249	4.4032	293.6469	67.6839	54.8921	582.8075	618.8641	353.6607	703.4583	363.7946	150.2569	349.3346	867.6525	104.196	893.1259	235.7339	144.8739	469.0891	0	100.2809	14.5424	350.5672	42.8436	68.4744	0	28.0935	100.6552	5.8535	295.535	349.9561	150.7751	132.1942	2.4613	267.745	459.8816	72.7175	14.7724	668.8429	24.3881	186.8837	73.8357	31.1307	102.9927	217.3722	382.1722	26.084	300.4385	139.4856	300.5833	10.1859	159.5992	35.268	50.6765
Subject_002	622.6512	160.4632	195.8131	239.4748	318.3378	210.235	497.439	200.0939	102.6958	19.1814	111.2055	179.6801	295.1653	112.1477	154.6502	267.5985	316.0093	226.0562	193.6986	2.8242	230.5613	234.4378	51.5078	69.449	166.6718	83.3212	182.4867	187.7795	204.3074	271.5761	160.597	245.1854	16.0043	20.9857	190.9568	32.0745	34.8624	0	112.5805	0	7.3028	157.4487	264.1854	100.0673	88.0827	61.2543	205.9051	27.4501	33.5579	102.5036	84.4297	189.8334	125.0394	71.5273	197.6124	124.493	211.9004	163.5287	132.2117	53.0821	94.5323	11.2464	145.1913	101.431	31.3736	297.2124	185.2565	317.7687	171.0666	457.0474	164.0634	53.3108	114.015	23.2222	416.2427	283.0994	796.0562	206.1874	126.4402	156.2603	489.8667	35.8602	135.1643	51.1136	389.2105	184.4912	709.4055	69.9698	284.0419	19.7072	339.8625	45.1318	383.0887	345.288	248.4985	193.4122	171.269	121.7882	635.8426	88.5855	205.7207	132.6532	113.0045	274.6353	296.2576	546.9117	249.4063	77.7228	37.7844	302.4613	62.5442	269.6679	718.7063	166.1964	286.5804	243.831	348.343	95.6902	887.1605	4.3053	236.0691	354.7441	151.4119	312.4736	75.6108	355.7695	224.1983	97.1432	10.8764	19.3953	14.921
Subject_003	172.8734	75.9613	162.2081	69.7329	21.6136	279.289	192.5372	378.1877	224.2669	91.8668	645.6644	302.2564	61.323	143.5531	66.0862	165.8224	521.8791	82.3904	429.1233	26.5699	142.4545	25.6718	63.9832	46.2046	93.1487	0	235.9557	122.2996	379.0422	379.7795	43.0097	357.0983	152.7841	236.113	186.563	199.4407	90.6565	0	641.4862	87.1529	26.1838	430.0696	962.1978	0	176.4175	45.1178	232.9297	133.693	13.9626	540.1445	117.5563	132.2319	336.1137	85.1049	85.299	77.3125	211.1876	194.3241	250.6633	377.3307	42.0149	174.4185	120.6496	48.197	2.2387	243.4684	390.9265	348.7711	20.2331	363.3144	101.7731	96.8344	214.6321	143.6951	209.1232	244.0041	219.853	77.4887	0	12.8727	251.7681	463.3682	3.4375	302.6547	341.2374	210.749	503.1114	720.169	292.1628	42.4155	363.9368	307.9923	459.0752	146.6383	248.2217	78.869	69.4632	281.4365	92.3709	67.5265	243.0801	79.4235	76.6989	94.1167	67.6111	345.3355	330.7536	398.4243	190.2487	8.8796	336.0074	587.8578	190.6117	31.0713	19.3028	172.5965	27.4898	148.7011	452.337	74.5925	737.449	130.3196	100.1922	697.8138	39.4081	104.6206	112.9511	0	99.9032	154.8107	57.3888
Subject_004	154.5996	137.0284	337.139	0	0	36.553	617.7698	159.7921	474.107	18.2065	29.1368	571.5685	258.8204	123.8548	192.9394	155.8638	9.6639	19.5678	141.1557	133.1719	42.6371	105.3226	46.2198	3.9466	59.9575	1.5965	424.3414	288.5967	343.0757	0.42691	0	225.3661	0	84.7297	7.1769	14.5933	15.9593	0	12.2431	0	308.2634	105.4714	460.2235	42.547	222.4591	270.1417	393.4376	0	372.2345	24.7166	103.7293	49.2036	169.6506	93.3235	54.866	83.0378	70.2421	65.4854	74.9086	146.7947	180.6072	0	0	120.4052	9.5821	374.8315	67.1034	243.756	467.4033	1032.8446	32.4647	15.8646	245.579	0	249.4758	32.3268	54.4939	29.2265	0	407.13	24.8521	343.0691	895.5253	33.6095	415.3282	119.6209	477.6444	753.9412	0	993.3185	694.649	8	194.8574	104.862	8.617	484.4079	555.9912	313.1413	488.1464	0	481.826	5.0275	10.1085	641.8238	0	287.0203	185.6979	16.9849	454.0217	0	149.2029	352.2928	455.2597	135.2373	549.7037	392.3193	397.4397	1.0401	344.4395	47.5699	503.1853	262.2775	113.857	105.0139	249.4185	164.348	482.2599	131.6492	55.8498	191.3839	227.2015
Subject_005	411.316	15.4698	257.0178	123.2909	312.4121	207.8292	355.977	240.1843	828.1876	93.9102	271.7385	157.8247	214.8455	99.4558	568.3605	64.9748	154.109	185.2808	170.172	75.3461	223.0675	130.0145	647.9827	118.7689	450.7179	205.1856	270.1143	81.8408	38.8174	13.4847	20.8752	133.7284	514.9162	113.8921	127.1226	728.7723	25.5674	5.4353	152.1142	12.3031	35.5083	197.9702	258.58	15.44	91.2203	191.4063	255.7288	332.8168	78.9078	65.4948	269.987	225.6239	127.2895	322.1851	52.4169	207.9787	142.4495	415.5527	219.2072	20.1941	37.2682	13.47	165.3601	259.5524	8.52	454.2895	309.7265	165.3778	25.9851	321.7551	181.0149	376.3151	38.8277	182.4457	332.1012	346.1261	31.9777	126.8905	51.4465	81.2627	61.557	47.3846	0	54.4049	339.453	355.2245	91.3956	142.9887	546.5437	690.2034	462.9122	311.6023	418.0097	197.6719	106.6245	157.2202	149.6671	161.1518	418.7975	203.5093	194.1234	124.2393	16.0264	48.1831	81.4233	80.8143	28.772	452.0291	440.0342	0	227.4218	359.3545	73.6873	69.9007	138.7892	174.3968	428.2697	70.5437	73.9605	198.8612	187.7858	144.1094	306.1387	179.809	239.3752	25.3219	197.0104	279.1965	61.2301	433.7537	14.0224
Subject_006	607.066	3.0245	82.6659	0	256.0529	360.2756	266.7235	132.999	285.6494	144.1816	112.5341	66.309	440.3239	515.6408	383.4077	387.6715	228.3561	94.9585	194.8729	53.3482	321.4679	148.3162	271.3748	1125.0534	54.6822	0	15.4523	663.1905	195.5627	161.1577	277.193	108.5289	35.6916	19.4725	314.8263	411.0798	2.3945	0	231.4055	136.7197	57.8908	159.6323	147.4437	140.4683	295.0588	0	64.0236	512.3214	120.0435	99.839	70.1698	352.3519	415.1086	557.2566	117.2692	216.3033	295.9499	308.6824	21.5568	71.1843	185.938	318.5823	2.1561	279.3149	225.9212	252.9344	229.7585	401.4071	322.5737	471.2715	286.9877	189.9356	113.8489	0	409.2466	0	342.1509	0	0	17.1355	132.7289	2.5489	111.0889	531.607	67.6445	189.5865	14.0458	413.0306	544.4401	140.5774	235.8614	271.2033	750.0883	210.2223	128.414	267.2117	195.4288	245.4942	271.3161	262.5929	73.3882	268.9238	20.8977	0	4.8112	227.6693	54.3931	95.1769	423.6048	0	122.9972	214.2924	21.2356	50.2325	173.8591	300.1272	313.3018	185.6502	82.3671	73.4267	8.2756	44.9877	142.6441	136.4657	145.5693	0	236.9405	21.9521	211.7595	179.9939	32.5775
Subject_007	193.7602	0	0.62532	0	0	591.6528	567.11	572.9634	69.3355	232.7899	80.9704	228.9833	3.1087	682.6614	10.9382	56.2403	289.751	812.4793	157.5158	426.0889	278.8914	215.4117	105.4869	119.4478	25.9963	0	81.9713	83.2371	1492.4376	734.6573	245.6052	1587.0307	241.4037	12.1367	132.4373	258.6215	15.4265	0	0	0	246	286.3305	572.3966	180.7105	0.66204	33.7373	80.5061	103.7895	228.6727	157.4897	221.8885	234.8645	0	419.1797	252.045	95.32	20.7052	50.3541	98.443	206.7798	266.075	26.6027	0	416.3644	0	391.4556	110.6626	52.4662	37.0477	128.4454	836.5138	336.2876	56.5245	69.5209	66.9752	179.6134	325.8214	30.0799	8.2677	0	2.5559	128.9574	33.3101	0	44.9711	385.9885	656.8307	101.7128	189.485	45.2579	111.9249	354.4725	430.927	170.4706	263.7707	47.4008	59.0977	136.3331	488.1879	78.0293	313.8405	159.8792	0	0	69.7717	689.5879	1080.6386	160.7281	216.399	203.1406	49.2739	269.2952	194.8901	1.346	20.6268	0	69.8045	367.0958	493.9849	380.2984	27.5091	0	232.5243	107.9192	909.0177	192.1025	0	0	0	1033.8697	0
Subject_008	580.0755	81.3385	240.111	45.402	136.1244	23.5772	81.8748	352.0482	255.9176	505.6763	504.7588	125.2089	351.8209	398.0606	128.6027	16.5577	27.9832	49.4019	561.5838	539.5136	345.0821	32.0333	400.911	240.9712	345.3035	88.6642	112.9822	356.9879	268.6368	685.1067	7.3519	956.5003	25.0746	110.0023	12.0701	310.8312	67.7989	0	16.167	149.3586	10.6714	296.7327	340.2052	8.4124	27.9367	84.6411	12.3196	117.0245	21.4171	423.9839	172.4466	108.3895	338.615	539.6964	53.6366	199.1468	172.6357	14.8536	104.6101	29.6514	19.933	29.9888	133.2396	145.659	0	85.0994	304.262	65.9882	32.0534	285.5237	279.1662	211.6051	117.7704	190.0751	413.8259	145.0923	447.5481	51.2152	228.1261	1.0303	25.4065	43.8154	56.6355	146.0225	342.4612	53.4381	182.1788	217.329	48.4267	971.9671	439.0973	138.1188	131.0435	448.6636	246.2514	189.8321	4.5458	1569.1329	643.0143	997.1401	505.6446	216.1826	111.3129	219.5442	101.2212	354.92	0.46111	213.5167	983.859	265.2188	43.8135	0	266.9646	298.7922	76.8348	285.4081	0	6.0695	732.1727	156.6143	38.0355	17.8976	10.3882	162.774	469.3716	368.1953	97.0494	0	555.1163	649.0628	172.3383
Subject_009	310.4302	0	109.5327	83.5381	0	24.4958	183.3856	71.8039	1.3611	111.3706	136.3835	150.805	421.8459	512.6863	44.2443	307.5552	376.1544	91.4719	576.3181	115.1601	177.356	121.5769	291.3376	378.7696	280.1869	9.4154	157.4457	282.1831	24.9756	227.0044	131.7476	181.8094	135.4193	336.061	132.5389	28.9561	25	0	0	0	0	253.4316	256.0577	33.1638	1.9819	0	0	217.718	35.9184	392.7876	3.5121	103.493	89.1856	473.3541	419.3391	68.5393	0.49624	93.582	0.14286	14.2036	23.5689	3.6546	0	130.6064	238.6953	619.4828	594.7105	28.8983	0.73578	65.0986	313.3836	220.4075	108.7779	104.9408	316.1767	419.7257	77.2907	46.0853	126.4927	0	0	0	2	139.2472	188.5421	22.0522	337.0538	13.7348	86.0016	455.4818	468.5599	6.8602	913.7525	32.042	324.6148	284.8144	422.327	312.7117	91.3193	0	33.8194	363.8119	0	33.8081	0	160.4046	16.1503	1091.1119	516.1467	0	21.796	0	29.0934	26.7269	245.7245	1276.8993	277.4102	905.9239	120.6769	251.8475	868.9105	77.3353	227.911	235.6385	612.3493	142.1956	88.6021	324.6082	340.6729	69.3442	0
Subject_010	731.4867	443.1032	38.5085	121.6824	81.6004	195.4708	387.9107	395.8515	460.0061	106.4102	56.6018	288.2701	100.719	233.3355	190.4963	272.3191	396.0431	491.527	341.0618	49.2323	79.0787	230.1369	60.0722	77.2722	431.6382	3.3836	247.534	150.0202	232.0325	177.0756	131.1515	409.8368	136.3473	137.7473	112.9609	56.1959	19.4423	0	156.7383	314.6073	0	263.1648	95.4856	406.6385	360.3371	462.8401	27.1667	5.2136	510.7375	261.4359	306.6763	118.8267	204.6887	217.1325	172.6982	252.3998	133.1661	127.8872	408.0738	63.3223	85.1192	188.9014	265.7381	304.1292	0	194.5647	408.5426	601.1001	136.2853	298.3555	116.5685	47.7645	127.4957	59.4244	323.7431	489.9043	281.5027	103.2254	52.5708	458.672	125.8903	138.8009	0	343.2716	732.3108	164.2761	212.0783	81.402	127.4478	419.4043	186.6462	550.4509	264.2657	326.8835	62.4812	349.9072	109.3675	320.7802	390.8889	155.0899	112.9261	115.0117	163.4154	172.3795	11.7377	74.7292	197.9584	143.7197	318.0627	463.8919	415.412	409.888	251.8478	101.5702	53.4087	66.0716	69.2167	325.0249	352.9477	219.9446	26.8779	526.8322	34.9438	0	120.6369	1.3903	183.104	0	0	0	0
