;hemi;region;side;label;RSNET
125;left;V6;medial;lh_L_V6;
126;left;V2;medial;lh_L_V2;
127;left;V3;medial;lh_L_V3;
128;left;V4;medial;lh_L_V4;
129;left;V8;medial;lh_L_V8;
130;left;4;medial;lh_L_4;2
131;left;3b;medial;lh_L_3b;
132;left;V3A;medial;lh_L_V3A;
133;left;RSC;medial;lh_L_RSC;1
134;left;POS2;medial;lh_L_POS2;
135;left;FFC;medial;lh_L_FFC;
136;left;SFL;medial;lh_L_SFL;2
137;left;PCV;medial;lh_L_PCV;2
138;left;7Pm;medial;lh_L_7Pm;2
139;left;7m;medial;lh_L_7m;4
140;left;POS1;medial;lh_L_POS1;
141;left;23d;medial;lh_L_23d;2
142;left;v23ab;medial;lh_L_v23ab;1
143;left;d23ab;medial;lh_L_d23ab;1
144;left;31pv;medial;lh_L_31pv;1
145;left;5m;medial;lh_L_5m;
146;left;5mv;medial;lh_L_5mv;
147;left;23c;medial;lh_L_23c;
148;left;5L;medial;lh_L_5L;1
149;left;24dd;medial;lh_L_24dd;
150;left;24dv;medial;lh_L_24dv;
151;left;7AL;medial;lh_L_7AL;
152;left;SCEF;medial;lh_L_SCEF;2
153;left;6ma;medial;lh_L_6ma;
154;left;7Am;medial;lh_L_7Am;2
155;left;7PL;medial;lh_L_7PL;
156;left;1;medial;lh_L_1;
157;left;3a;medial;lh_L_3a;4
158;left;6mp;medial;lh_L_6mp;1
159;left;p24pr;medial;lh_L_p24pr;2
160;left;33pr;medial;lh_L_33pr;3
161;left;a24pr;medial;lh_L_a24pr;1
162;left;p32pr;medial;lh_L_p32pr;2
163;left;a24;medial;lh_L_a24;1
164;left;d32;medial;lh_L_d32;3
165;left;8BM;medial;lh_L_8BM;4
166;left;p32;medial;lh_L_p32;
167;left;10r;medial;lh_L_10r;
168;left;9m;medial;lh_L_9m;
169;left;8BL;medial;lh_L_8BL;
170;left;10d;medial;lh_L_10d;
171;left;10v;medial;lh_L_10v;
172;left;OFC;medial;lh_L_OFC;4
173;left;Pir;medial;lh_L_Pir;
174;left;EC;medial;lh_L_EC;2
175;left;PreS;medial;lh_L_PreS;2
176;left;H;medial;lh_L_H;
177;left;ProS;medial;lh_L_ProS;
178;left;PeEc;medial;lh_L_PeEc;
179;left;PHA1;medial;lh_L_PHA1;
180;left;PHA3;medial;lh_L_PHA3;1
181;left;TGd;medial;lh_L_TGd;
182;left;TF;medial;lh_L_TF;5
183;left;DVT;medial;lh_L_DVT;
184;left;V6A;medial;lh_L_V6A;
185;left;VMV1;medial;lh_L_VMV1;
186;left;VMV3;medial;lh_L_VMV3;
187;left;PHA2;medial;lh_L_PHA2;
188;left;VMV2;medial;lh_L_VMV2;
189;left;31pd;medial;lh_L_31pd;1
190;left;31a;medial;lh_L_31a;1
191;left;VVC;medial;lh_L_VVC;5
192;left;25;medial;lh_L_25;
193;left;s32;medial;lh_L_s32;
194;left;pOFC;medial;lh_L_pOFC;
195;left;TGv;medial;lh_L_TGv;
196;left;a32pr;medial;lh_L_a32pr;3
197;left;p24;medial;lh_L_p24;1
198;left;NA;medial;lh_???;
199;right;V1;medial;rh_R_V1;
200;right;V6;medial;rh_R_V6;
201;right;V2;medial;rh_R_V2;
202;right;V3;medial;rh_R_V3;
203;right;V4;medial;rh_R_V4;
204;right;V8;medial;rh_R_V8;
205;right;4;medial;rh_R_4;2
206;right;3b;medial;rh_R_3b;
207;right;V3A;medial;rh_R_V3A;
208;right;RSC;medial;rh_R_RSC;
209;right;POS2;medial;rh_R_POS2;
210;right;FFC;medial;rh_R_FFC;
211;right;SFL;medial;rh_R_SFL;2
212;right;PCV;medial;rh_R_PCV;
213;right;7Pm;medial;rh_R_7Pm;
214;right;7m;medial;rh_R_7m;
215;right;POS1;medial;rh_R_POS1;
216;right;23d;medial;rh_R_23d;
217;right;v23ab;medial;rh_R_v23ab;
218;right;d23ab;medial;rh_R_d23ab;
219;right;31pv;medial;rh_R_31pv;
220;right;5m;medial;rh_R_5m;
221;right;5mv;medial;rh_R_5mv;
222;right;23c;medial;rh_R_23c;
223;right;5L;medial;rh_R_5L;
224;right;24dd;medial;rh_R_24dd;
225;right;24dv;medial;rh_R_24dv;
226;right;SCEF;medial;rh_R_SCEF;2
227;right;6ma;medial;rh_R_6ma;
228;right;7Am;medial;rh_R_7Am;
229;right;7PL;medial;rh_R_7PL;
230;right;3a;medial;rh_R_3a;
231;right;6mp;medial;rh_R_6mp;
232;right;p24pr;medial;rh_R_p24pr;
233;right;33pr;medial;rh_R_33pr;
234;right;a24pr;medial;rh_R_a24pr;3
235;right;p32pr;medial;rh_R_p32pr;2
236;right;a24;medial;rh_R_a24;
237;right;d32;medial;rh_R_d32;3
238;right;8BM;medial;rh_R_8BM;2
239;right;p32;medial;rh_R_p32;
240;right;10r;medial;rh_R_10r;
241;right;9m;medial;rh_R_9m;
242;right;8BL;medial;rh_R_8BL;
243;right;10d;medial;rh_R_10d;
244;right;9a;medial;rh_R_9a;
245;right;10v;medial;rh_R_10v;
246;right;10pp;medial;rh_R_10pp;
247;right;OFC;medial;rh_R_OFC;1
248;right;Pir;medial;rh_R_Pir;
249;right;EC;medial;rh_R_EC;
250;right;PreS;medial;rh_R_PreS;
251;right;H;medial;rh_R_H;
252;right;ProS;medial;rh_R_ProS;
253;right;PeEc;medial;rh_R_PeEc;
254;right;PHA1;medial;rh_R_PHA1;
255;right;PHA3;medial;rh_R_PHA3;
256;right;TGd;medial;rh_R_TGd;
257;right;TF;medial;rh_R_TF;
258;right;DVT;medial;rh_R_DVT;
259;right;V6A;medial;rh_R_V6A;
260;right;VMV1;medial;rh_R_VMV1;
261;right;VMV3;medial;rh_R_VMV3;
262;right;PHA2;medial;rh_R_PHA2;
263;right;VMV2;medial;rh_R_VMV2;
264;right;31pd;medial;rh_R_31pd;
265;right;31a;medial;rh_R_31a;
266;right;VVC;medial;rh_R_VVC;
267;right;25;medial;rh_R_25;
268;right;s32;medial;rh_R_s32;
269;right;pOFC;medial;rh_R_pOFC;
270;right;TGv;medial;rh_R_TGv;
271;right;a32pr;medial;rh_R_a32pr;2
272;right;p24;medial;rh_R_p24;3
273;right;NA;medial;rh_???;
274;right;V1;lateral;rh_R_V1;
275;right;MST;lateral;rh_R_MST;
276;right;V2;lateral;rh_R_V2;
277;right;V3;lateral;rh_R_V3;
278;right;V4;lateral;rh_R_V4;
279;right;4;lateral;rh_R_4;2
280;right;3b;lateral;rh_R_3b;
281;right;FEF;lateral;rh_R_FEF;
282;right;PEF;lateral;rh_R_PEF;
283;right;55b;lateral;rh_R_55b;
284;right;V3A;lateral;rh_R_V3A;
285;right;V7;lateral;rh_R_V7;
286;right;IPS1;lateral;rh_R_IPS1;
287;right;FFC;lateral;rh_R_FFC;
288;right;V3B;lateral;rh_R_V3B;
289;right;LO1;lateral;rh_R_LO1;
290;right;LO2;lateral;rh_R_LO2;
291;right;PIT;lateral;rh_R_PIT;
292;right;MT;lateral;rh_R_MT;
293;right;A1;lateral;rh_R_A1;
294;right;PSL;lateral;rh_R_PSL;3
295;right;STV;lateral;rh_R_STV;
296;right;7AL;lateral;rh_R_7AL;
